Ród Smoka odc. 4 | Omawiamy Sezon 2
🔗 https://www.youtube.com/watch?v=lGTyj0MYkS8
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

17:  BFP - Taniec smoków już naprawdę się zaczął.
1575:  GW - Tak więc, no, jak koloryst dostanie kruka, to nie wiem co tam odwali, ale coś odwali.
1584:  KMM - To ja wybiję pytanie z czatu, które jest też moim pytaniem.
1587:  KMM - Czy ta szarża rejnic w takim razie mogłaby być spowodowana tym i zgłoszenie się na ochotniczkę, że poczuła się zdradzona i stwierdziła, że chce odejść w hefale?
1599:  KMM - Nie, raczej nie.
1600:  KMM - Myślę, że kalkulacja, raczej poczucie obowiązku.
1602:  BFP - Poczucie godności, poczucie obowiązku, bycie targaryenką, prawdziwą targaryenką.
1606:  BFP - Tomasz Mrzyk napisał,
1608:  BFP - niesprowokowany, że Corliss ma obecnie 76 lat.
1612:  BFP - I to jest ten moment, kiedy wreszcie wierzę, że to jest fantazy.
1616:  BFP - Bo nie mieści mi się to w głowie.
1618:  BFP - Szczególnie, że jednak w tym świecie ludzie nie dożywają sędziwego wieku, raczej.
1625:  BFP - Ale tak, ładny kadr swoją drogą.
1626:  KMM - No chyba, że są Melisandre.
1629:  KMM - Tak.
1629:  KMM - I pochodzą z Asshai, albo z Lens of the Shadow.
1632:  KMM - O Boże, dlaczego tam nie ma żadnego serialu w tamtym rejonie?
1635:  S05 - Och.
1639:  TN - Tutaj też chciałbym powiedzieć, że zgadzam się z Grzegorzem, że tak, no tutaj Renes i Corlys mieli mnóstwo takich intymnych scen, które miały nam pokazać, jak blisko mają między sobą relacje, no i na pewno Corlys będzie mocno rozpaczał i pomimo tego, że on ją zdradził i wypłynął na kilka lat na morze, to oni cały czas byli blisko siebie, więc na pewno będzie po tym rozpaczał.
1664:  KMM - A to jest też piękna scena, no ja sam mówiąc.
1667:  KMM - I to jest scena, którą teraz widzicie, na poziomie rozmów między wielkim mesterem Pycelem i kimkolwiek, albo Lordem Varysem.
1676:  KMM - To jest na tym poziomie scena.
1678:  KMM - Jest świetnie wyważona tonalnie i później jest taka repryza tej sceny, jak przychodzi... Ja oczywiście nie jestem w stanie przypomnieć sobie... Larys.
1688:  KMM - Więc właśnie, Larys, to znaczy mistrz szpiegów obecny.
1691:  KMM - Coś absolutnie rewelacyjnego.
1693:  KMM - Ale zobaczcie, ta scena jest niesamowicie subtelna, jedna i druga.
1699:  GW - Niby oficjalnie wiadomo, znaczy tak, wszyscy wiedzą o co chodzi, ale nikt nie jest w stanie się do tego przyznać.
1707:  GW - Po prostu dworska hipokryzja tutaj aż... O nie, to jest mądra dyplomacja.
1712:  BFP - Ona mówi, czy uważasz, że mój ojciec chciał, żeby Aegon wstąpił na tron?
1717:  BFP - A ten gościu chwilę stoi i myśli, nie rozumiem pytania i wychodzi.
1722:  GW - Tak, tak, pomidor.
1723:  GW - Pomidor.
1724:  GW - Czymkolwiek jest.
1725:  KMM - Bardzo mądrze odpowiedział.
1728:  KMM - Widzowie na czatach jeszcze zauważają, że został rozbity kolejny element kolekcji LEGO Viserysa.
1735:  KMM - To znaczy smog teraz już jest stracony.
1738:  TN - I to jest ten smog, który nawet Alicent sama wcześniej skleiła.
1742:  KMM - Gdzie ty to widziałeś?
1743:  KMM - Przecież na początku tej sceny to się dzieje.
1746:  GW - Kompletny upadek.
1749:  GW - Wszystko się rozlatuje.
1751:  KMM - Figurki z Warhammera upadają.
1753:  GW - Ach... Te figurki są po prostu odwzorowaniem królestwa, no.
1760:  BFP - Bo ona ma herbatkę w ogóle.
1762:  BFP - I ona ma herbatkę... Tak, tak, już ta herbatka.
1765:  BFP - Do czegoś, do czegoś, co rymuje się z szmaszmorcją.
1770:  GW - No, wiesz, kiedyś to ciastko musiało być, wiesz... Czekaj, czekaj, czekaj... Bardzo mnie interesuje ta metafora.
1779:  BFP - Kiedyś to ciastko musiało być co?
1780:  GW - Kiedyś... z kremem, nie?
1784:  BFP - Okej.
1785:  GW - Okej.
1786:  GW - No, Izby dalej.
1787:  GW - Renis be like, Renis be like.
1791:  BFP - Renis be like.
1792:  BFP - Renis, nie, dobrze mówię, Renis.
1794:  BFP - W ogóle, kurczę, mam wrażenie, że w pierwszych odcinkach pierwszego sezonu Renis miała jednak więcej do zagrania i ta aktorka.
1806:  BFP - I trochę żałuję, że nie dostała nieco więcej także w drugim sezonie.
1811:  BFP - Tym bardziej, że drugi sezon w zasadzie zaczynał się od jej rozmowy z Daemonem.
1815:  BFP - Daemon wraca z patrolu, czy ona wraca z patrolu, nie pamiętam, oni się mijają, rozmawiają ze sobą chwilę i mieliśmy tylko te krótkie sceny między nią a Corlyssem, jak tam leżą sobie w łóżku, jak wchodzi w krótki dialog z Rhaenyrą.
1831:  BFP - Mam wrażenie, że zanim odeszła, brakowało mi czegoś istotnego jeszcze z jej udziałem.
1835:  BFP - Czegoś, co by było albo jakimś przekazaniem, dajmy na to, mądrości, czy jakiejś dodatkowej odwagi, albo jakiegoś planu Rynny, czy czegoś, co by ją, nie wiem, jeszcze połączyło z Kornelusem.
1847:  BFP - Co prawda dała jej plan.
1849:  TN - To prawda.
1850:  TN - Ale to nie był mądry plan, to nie był plan, który nam się spodobał, bo był to plan udania się do królewskiej przystani.
1855:  TN - Tak.
1855:  BFP - Tak, co też jest interesujące, bo kiedy tutaj właśnie wraca, widać w jakim rozgardiaszu jest ta rada Czarnych i w momencie, w którym wraca, jak gdyby nigdy nic, Rennera, no co tam, ale to jeszcze nie ta scena, to jej syn stawia jej się tak, jakby nie wypadało wręcz, biorąc pod uwagę, że dopiero co trzy odcinki temu mówił do swojej matki, wasza wysokość, a tu przy ludziach,
1882:  BFP - stawia się jakby nigdy nic.
1884:  BFP - Na zasadzie, gdzie ty byłaś?
1886:  GW - A to mi minęło po prostu trochę czasu i się wszyscy już tam wpieniali o to?
1892:  GW - Bo to trochę chyba o to się rozchodziło.
1893:  BFP - No pewnie tak, ale trochę jakoś tak mi to nie skleja się.
1897:  KMM - Znaczy ja w ogóle nie rozpoznałem, że to jest jej syn, ale to wiecie dlaczego, tak?
1902:  KMM - No to był ten moment, kiedy ja musiałem sobie bardzo solidnie przypomnieć, aha, aha, to jest ten nowy aktor, to zastąpię, okej, rozumiem już.
1910:  KMM - jest nawiasem mówiąc kompletnie niepodobny do swojego poprzednika, bo czasem jest tak, że rzeczywiście są oni upodobnieni w miarę, a czasem jest tak, że totalnie się nie przypominają.
1918:  KMM - No to jest ten kazus.
1919:  KMM - No ja po prostu nie rozpoznałem w żaden sposób.
1921:  KMM - Znaczy uważam, że powinny być jakieś minimalne przynajmniej podpowiedzi ze strony twórców, no bo wiadomo, człowiek się w którymś momencie domyśli, ale jednak bez przesady.
1929:  KMM - Ja mam wtedy vibe od razu Crimes of Grindelwald, gdzie wchodzi mi
1934:  KMM - Grindelwald, który wygląda jak amerykański księgowy i nikt nie odnosi się do tego, że zmienił nagle wygląd, ponieważ wycastrowali innego aktora.
1940:  KMM - No nie znoszę czegoś takiego.
1942:  KMM - Kryston Cole zyskuje w moich oczach.
1944:  KMM - Aha, i jeszcze najlepsze jest to, że ludzie napisali, że to nie jest nowy aktor.
1950:  BFP - Ale ja też myślałem, że to jest nowy aktor.
1952:  BFP - To ja już nic nie... No coś jest nie tak.
1956:  BFP - Ser Ciasteczko zaczyna robić wrażenie, dlatego że do tej pory wiedzieliśmy, że jest
1963:  BFP - Niezły w mieczu, przynajmniej w dwóch rozumieniach tego słowa.
1968:  BFP - Że bez problemu radzi sobie w turniejach.
1973:  BFP - Ale nie wiedzieliśmy, czy on rzeczywiście by się sprawdził w jakiejś funkcji, którą by mu powierzono.
1978:  BFP - Jeśli okazuje się, że to jest naprawdę niezły strateg wojenny.
1980:  BFP - Ten gościu odnosi sukces za sukcesem.
1983:  BFP - I zresztą sami czarni przyznawają w poprzedniej rozmowie, którą widzieliśmy na spotkaniu rady, że Kristen Cole zbiera coraz większą armię.
1993:  BFP - podporządkowuje sobie kolejne i kolejne fortyfikacje i kolejne rody.
1997:  BFP - Zresztą bardzo brutalnie.
1999:  GW - To prawda siłą i właśnie albo się dostosujecie, albo zginiecie.
2004:  GW - Zresztą też widać właśnie, bo tutaj sobie chyba dwie różne tam armie podporządkowuje
2010:  GW - i potem widać ich insygnia na tych żołdakach, którzy idą na froncie do zestrzelenia przy oblężeniu zamku.
2018:  GW - Także widać jeszcze, że to jest regulacja przez strach i karę i kij, a nie marchewkę.
2024:  BFP - Dragomira i Michał napisali bardzo ważną rzecz na czacie, która faktycznie powinna dać do myślenia.
2030:  BFP - Czy to na pewno Kristen Cole jest tym strategiem, czy nie Eymont?
2034:  BFP - Czy to nie Eymont realizuje ten plan?
2036:  GW - On sobie siedzieli przed Eymontem, także oni sobie rozrysowywali ten plan wcześniej, nie?
2042:  KMM - Też mi się wydaje, że on po prostu może być dobrym żołnierzem, może być dobrym dowódcą, natomiast czy jest planistą i strategiem, ciężko powiedzieć.
2050:  KMM - To zdecydowanie Eymont, ale ta scena jeszcze przed nami podczas spotkania Małej Rady pokazuje lwi pazur absolutnie.
2058:  KMM - Taki lwi pazur dosłownie, bo to jest zmysł strategiczny dla Nisterów.
2062:  KMM - Wspaniała sprawa absolutnie.
2065:  KMM - Natomiast Christian Cole wreszcie dostał po dupie.
2067:  KMM - Przynajmniej tyle.
2068:  TN - Plus dodatkowo on zajmuje jednak małe zamki, no to jest Rozbi i Daskendel, które nie są jakoś mocnymi zamkami, mocno obsadzonymi, więc to też nie jest tak, że one były jakoś trudne do zdobycia.
2083:  BFP - I wiecie co?
2083:  BFP - Chyba zastanawiam się, co on znajduje w tym liście.
2086:  BFP - Wydaje mi się, że to może być właśnie... To jest o Daymonda.
2089:  BFP - No właśnie, co tylko potwierdza to, że jednak realizuje jego plan.
2094:  BFP - Ale wciąż, Kristen Cole zyskuje w moich oczach, bo wydaje się być naprawdę skuteczny w tym, co robi, a nie tylko i wyłącznie wyładowywać na innych swoje napięcie i mieszać się tam, gdzie nie powinien się mieszać.
2106:  GW - Pokazujących bardzo... Powiedziawszy mi, pokazuje po prostu tylko jakby jego bezwzględność i z kolei upadek moralny, bo cały czas zaznaczają, że nie jesteś godzien nosić tej białej szaty.
2118:  TN - Tomku?
2120:  TN - Ale jak właśnie podnieśliśmy jeszcze ten temat rozmowy Ejmonda z Christianem Collem, to jak wam się wydaje, dlaczego oni rozmawiali tylko ze sobą o tym?
2132:  TN - Ponieważ to może dwie rzeczy.
2136:  TN - właśnie dwie rzeczy mogą przychodzić na myśl, dlaczego oni to robią, ponieważ po pierwsze albo podejrzewają, że ktoś w Małej Radzie spiskuje przeciwko nim, tak, że mają jakiegoś szpiega i że tylko między sobą właśnie to ustalają,
2150:  TN - Albo, że po prostu oni by zbanowali ten pomysł, jeżeli oni by wyszli na jaw.
2157:  KMM - Ja stawiam na to, że Eymont... Wiecie, biw między Eymontem a królem Aegonem jest już długi.
2164:  KMM - Mieliśmy tę scenę upokarzającą mocno w burdelu w poprzednim odcinku bodaj.
2169:  KMM - Więc wydaje mi się, że to jest jedna z możliwych przyczyn, to znaczy taka osobista, więc jest zadra osobista, to było pierwsze.
2175:  KMM - Po drugie, Amon sobie doskonale zdaje sprawę z tego samego, z czego sobie zdaje sprawę Alicent Hightower, to znaczy, że król Aegon jest idiotą.
2182:  KMM - Dokładnie to chciałem powiedzieć.
2185:  KMM - Na wszelki wypadek przy nim nic nie mówi, bo król Aegon tylko potrafi piąstkami jak Ananiasz w Mikołajka powiedzieć, że nie ma być tak jak ja chcę, a jak chcesz...
2195:  KMM - No dobrze, żeby było.
2198:  KMM - I to jest wszystko, co on jest w stanie wykrztuzić.
2200:  KMM - I to zresztą wychodzi w późniejszej rozmowie z Alicen, więc jestem głęboko przekonany, że Eymont kalkuluje na takiej zasadzie, to znaczy, jeżeli mu się uda, to król będzie musiał go pochwalić, a jeżeli mu się nie uda, to w razie czego powie królowi, no widzisz, ja wziąłem to na siebie, żebyś ty nie podejmował ryzykownych decyzji.
2216:  KMM - Więc w każdym scenariuszu wygrywa.
2219:  TN - Tak, no i prawdopodobnie było tak, że po prostu gdyby Eymont z Kristenem Colem wyszli na małą radę z tym pomysłem, no to najprawdopodobniej zostałoby to zbanowane poprzez to, że Eymont właśnie jest kapryśny, Aegon jest kapryśny i że tak naprawdę jak zawieje wiatr, taką zdecyduje i równie dobrze mógłby ten pomysł właśnie zbanować.
2238:  BFP - Aegon jest nie do zniesienia dla mnie.
2240:  BFP - Naprawdę nie jestem w stanie zdzierżyć tego gościa.
2244:  GW - Dlatego bardzo mi się podobała scena z Alicendia, jak go sprowadziła do parteru po prostu.
2249:  GW - Bo w końcu powiedziała wprost, że jest figurantem.
2252:  KMM - Masz nie robić nic.
2253:  KMM - Każdy irytujący kuzyn, niesforny dyzio tego serialu.
2258:  KMM - Straszne absolutnie.
2260:  KMM - My wszyscy by się ucieszyli, jakby przyjdzie nam wspomnieć tę wspaniałą scenę, która jeszcze przed nami, ale teraz jest ta właśnie sekwencja w Małej Radzie, która pokazuje ten geniusz strategiczny Amon.
2273:  BFP - To, co widzicie w tym momencie, to jest Amon, to jest Krzysztof u mnie, który robi mi setup do streamów, a to jestem ja pytając, a czy może być tak.
2284:  BFP - Tak, a potem Krzysztof zadaje im pytanie po starowaleriańsku, a ja dukam.
2288:  BFP - Ja chcę, ja grać.
2289:  GW - Ale właśnie, to było piękne, że on nawet się nie potrafił nauczyć mowy swoich przodków.
2294:  BFP - Więcej, więcej, zwróćcie uwagę, zwróćcie uwagę, że kiedy on leci na swoim smoku, on do niego mówi...
2303:  BFP - w tej mowie wspólnej, czyli po angielsku dla nas.
2307:  BFP - Wszyscy Targaryeni mówią w starowalryjańskim do swoich smoków, tylko nie on.
2314:  KMM - W ogóle to czy to, że Aemon mówi w wysokowalryjskim i to tyle po pierwsze skomplikowanych wypowiedzi, a na to Aegon, król wielki, odpowiada, ja bitwa dobrze uważać, wspaniałe.
2328:  KMM - Ryknąłem wtedy śmiechem niesamowicie.
2330:  KMM - To był roast na poziomie Tywina Lannistera zamiatającego podłogę Benkartem Lannisterów.
2338:  BFP - Coś wspaniałego.
2339:  BFP - Rivenk mówi, ale Dracarys na pewno zna.
2341:  BFP - Tak, tylko w przeciwieństwie do wszystkich innych Targaryenów nie mówi Dracarys, tylko Dracarys.
2346:  BFP - Ale Smog go rozumie, więc nie ma z tym problemu.
2349:  BFP - Zresztą Smog jest chyba jedyną osobą na świecie, która go kocha.
2352:  BFP - O czym też jeszcze będziemy mówili.
2354:  TN - Jeszcze Criston Cole go kochał.
2356:  TN - Bo od razu pojechał, jak właśnie Ejmont, Ejgon spadł.
2361:  TN - Faktycznie.
2363:  TN - Faktycznie, coś w tym nie jest.
2364:  TN - Chociaż możliwe, że to jest po prostu jego praca i dlatego to zrobił.
2369:  GW - Albo jest wierny pracy, albo jest wierny królowi, w każdym razie czemuś jest wierny i jedno i drugie skupia się w tym, żeby Ejmont żył, Ejgon żył.
2378:  GW - Ale to, że Ejmont niekoniecznie podziela tą opinię, to jest inna sprawa.
2382:  BFP - Znaczy Eymont, wreszcie dostajemy dobrą dawkę Eymonta w tym odcinku.
2387:  BFP - Znaczy naprawdę Ewan Mitchell, aktor, który gra Eymonta jest magnetyczny.
2394:  BFP - On po prostu, on rządzi.
2398:  GW - On dosłownie rządzi.
2399:  GW - Wybaczam, że go nie było tyle konkretnie przez te pierwsze odcinki.
2405:  GW - Dzisiaj po prostu w tym odcinku dostaliśmy taką intensywną dawkę Eymonta, że...
2412:  TN - I odpłaca Egonowi za jego drywiny.
2415:  BFP - Tak jest.
2415:  BFP - I powiem wam, ci aktorzy, oni się tak różnią od swoich postaci charakterologicznie.
2422:  BFP - Wiecie, jak oglądacie sobie Homlandera i Anthony'ego Starr'a, albo oglądacie Roberta Deuneya Juniora i Tony'ego Starka, to widzicie pewne podobieństwo w sposobie bycia, humorze i tak dalej.
2431:  BFP - Natomiast oni są tak różni.
2433:  BFP - Na przykład ta aktorka, która gra Helene jest niezwykle rozgadana.
2437:  BFP - Z kolei Ewan Mitchell jest niezwykle łagodny, delikatny, subtelny.
2441:  BFP - Aegon, aktor, który gra Aegona jest rozgadany, zabawny.
2444:  BFP - Oni będą, przypuszczam, aktorami, którzy zrobią wielkie kariery dzięki temu serialowi.
2449:  BFP - Tak jak gra o trono tworzyła drogę do kariery bardzo wielu aktorom wówczas.
2454:  BFP - Ale ciekawie jest widzieć ich także w tych wszystkich materiałach, które są w kontekście serialu.
2458:  BFP - Bardzo wam je polecam na YouTubie.
2460:  KMM - No przy czym uczciwie trzeba powiedzieć, że Gra o Tron katapultowała do kariery kilkudziesięciu aktorów, a House of a Dragon ma szansę to zrobić z dwójką z trójką.
2470:  BFP - I muszę powiedzieć jeszcze jedną rzecz, szybko tylko wrzucę, bo w tym tygodniu ukaże się mój odcinek o tym, jakie są granice body shamingu i krytyki ciała.
2480:  BFP - I wychodzę tam od tych oczywistych przypadków takich jak Erin Moriarty, która gra w The Boys, Starlight, czy Zac Efron, którego też wizerz się niedawno zmienił, ale kontruję to z przypadkiem właśnie Ewyna Mitchella, który gra Amonda, który w zeszłotygodniowym odcinku, jak wiecie, wystąpił nago.
2497:  BFP - I on nie miał dublera, on nie używał żadnej prostetyki, on zupełnie wystąpił nago.
2502:  BFP - Co się stało?
2503:  BFP - Otóż parę grup, które są prowadzone oczywiście przez facetów, zrobiło sobie memy, w których nabija się z jego przyrodzenia.
2510:  BFP - No naturalnie.
2512:  BFP - Bylibyście zaskoczeni, jak wszyscy zgodnie stanęli w jego obronie i zwyzywali adminów tych stron.
2519:  BFP - Bardzo dobrze.
2519:  BFP - Będę podawał to jako przykład body shamingu, który naprawdę można nazwać body shamingiem.
2525:  KMM - Bardzo dobrze, bo ta garstka facetów to są ci sami, którzy na Twitterze twierdzą, że nie istnieje toksyczna męskość.
2530:  BFP - Tak.
2531:  BFP - A ja tylko chcę powiedzieć, że szanuję bardzo Iłyna Mitchella za to, że nie wybrał dublera, nie wybrał żadnej prostetyki, po prostu stwierdził, ja jestem aktorem, to jest moja robota i zamierzam to zrobić dobrze i poprawnie.
2542:  BFP - Bardzo często takiego szanuję.
2544:  GW - A swoją drogą ja nie rozumiem, czego się czepiali.
2546:  GW - Chłop ma...
2549:  GW - Mówię dokładnie to samo.
2552:  GW - Czym problem kuźwa?
2554:  GW - Co im nie pasuje?
2555:  BFP - Zazdrość.
2556:  BFP - To się nazywa zazdrość.
2558:  BFP - Jeżeli nie możesz czegoś mieć, to przynajmniej chcesz sprowadzić kogoś innego do swojego poziomu.
2562:  BFP - Jedziemy dalej.
2563:  BFP - A propos sprowadzania do swojego poziomu Jegona, który patrzy z ukosa i myśli, kurwa, jak ja już bym zamówił pizzę.
2573:  GW - Znowu przyrównujesz do siebie.
2575:  KMM - Ale on w którymś momencie przecież faktycznie wstaje i to jest piękna scena.
2581:  KMM - Nudzicie mnie.
2581:  KMM - Tak, nudzicie mnie.
2583:  KMM - Po czym oni wstają, oddają mu honory jako wychodzącemu monarsze
2587:  KMM - I wznawiają rozmowę jak gdyby nigdy nic, bo przecież jego obecność wcześniej absolutnie nic nie zmieniła.
2594:  GW - Nie wnosił żadnej wartości do tej dyskusji, tak.
2598:  BFP - Alicent, ciekawe w jakim stanie psychicznym jest Alicent, bo ona cały czas mieli w swojej głowie to, co usłyszała od Renery, zauważcie.
2607:  TN - Tak, ona nie może się pogodzić i dlatego też szuka książek i jakichś informacji na temat pieśni Lodu i Ognia, ale no zapewne ich nie znajdzie.
2615:  BFP - Ale to jest w ogóle dobra sytuacja, jak wchodzi i mówi, gdzie są książki twojego starego?
2620:  BFP - Pozbyłem się, ale jak się pozbyłeś?
2623:  BFP - Tak, tak, ja wiem, ale a propos właśnie tego szukania książek, gdzie... Kazałem je usunąć, nie spalić.
2630:  BFP - Tak.
2632:  GW - Tutaj sobie Allison robi okład i podsumowują właśnie te zdarzenia.
2637:  GW - Tu też pokazuje właśnie jak Larys jest postrzegawczy i widzi po prostu te wszystkie wici dookoła i sam rozkłada kolejne.
2646:  KMM - Ale jakimi metaforami sam mówi.
2649:  KMM - To jest jeden z najlepiej napisanych dialogów tego odcinka.
2652:  KMM - Cała ta sekwencja i cała ta ich wymiana zdań jest absolutnie znakomita.
2656:  KMM - Pomijam fakt, że zaczyna się od jego złośliwej aluzji do herbatki.
2660:  KMM - W ogóle ciekawostka lore'owa.
2662:  BFP - Larys przetrwał 180 lat, wyłysiał i zmienił imię na Varys.
2667:  BFP - Tak było.
2668:  BFP - Tak było.
2669:  KMM - Potem jeszcze stał się eunuchem, ponieważ chciał doskonale ogrywać tę rolę.
2674:  BFP - Myślałem, że połączysz to jakoś z jego kinkiem, że chciał pozbyć się swojej jedynej słabości, którą miał albo coś.
2682:  BFP - Alicent, podoba mi się Alicent, która jest w trybie wyjebki, gdzie rozmawia, okej, może z Laryssem nie rozmawia otwarcie wciąż, zachowuje pewne pozory, ale już potem w rozmowie ze swoim synem, może chodzi na rauszu cały czas, może tak te leki działają.
2699:  GW - Przecież to widać, że pije, zresztą jak później Aegon wchodzi do tej komnaty, gdzie ona jest, to próbuje znaleźć karawkę wina, w której cokolwiek jest, wszystko jest opróżnione, także ona tam faktycznie na banie chodzi non stop.
2711:  BFP - Dawid jeszcze napisał a propos tamtej sprawy z body shamingiem.
2714:  BFP - Ciekawe, czy te osoby zagrałyby nago w serialu?
2717:  BFP - Myślę, że nie tylko tamte osoby, myślę, że większość aktorów i aktorek nie zagrałaby nago, tylko właśnie od tego mają dublerów.
2723:  BFP - A jeżeli jest aktor, który mówi, a ja nie chcę dublera, ja chcę, żeby była moja postać zupełnie autentyczna.
2728:  BFP - Szanuję.
2729:  BFP - Tym bardziej zaznaczę jedną rzecz, że przecież gra o tron była krytykowana za to, że cały czas eksponowała kobiecą nagość i wręcz aktorki eksploatowała gra o tron w taki sposób, że taka Emilia Clarke na przykład, która nie czuła się z tym najlepiej, miała zagrać zupełnie nago, czy jakby z przodu nago, z tyłu nago, ale już taki Jason Momoa nie.
2749:  BFP - I nagle pojawia się taki młody aktor Ewan Mitchell i mówi, ja nie mam z tym problemu, ja się pojawię zupełnie nago.
2755:  BFP - Szanuję to, naprawdę.
2758:  BFP - Jedziemy dalej.
2759:  BFP - Larys is fucking creepy, ale to już dobrze wiemy.
2763:  KMM - No dobrze, dobrze.
2764:  KMM - Musi być, jest mistrzem szpiegów.
2767:  KMM - Jeżeli mistrz szpiegów nie byłby creepy, to nie byłby mistrzem szpiegów.
2770:  KMM - Musi być creepy.
2771:  KMM - Dlatego podejrzewasz wtedy, że jest mistrzem szpiegów, ale to jest tak naprawdę podwójny blef, bo myślisz sobie, a mógłby być mistrzem szpiegów, czyli pewnie nie jest, a on tak naprawdę jest mistrzem szpiegów.
2782:  GW - Czyli kłamca zawsze kłamie, nawet jeżeli go zapytasz, czy jest kłamcą.
2785:  BFP - Tak.
2787:  BFP - To jest kadr z cyklu, ja w swoim nowym mieszkaniu, kiedy słyszę skrzypnięcie podłogi.
2793:  BFP - Damon... Znaczy mi się podobają te sceny.
2797:  GW - To mieszkanie cię ztraumatyzowało stary.
2800:  KMM - Ono mnie dalej traumatyzuje.
2801:  KMM - Może Filip, ono jest zbudowane z czar drzewa po prostu i na tym polega problem.
2806:  BFP - Może.
2808:  BFP - No teraz pora na trochę zachwytów.
2811:  BFP - Aktorka, która gra Alice Rivers, jak i sama postać Alice Rivers jest dla mnie objawieniem tego sezonu.
2820:  GW - Pogadana, dowcipna, nie wiadomo tak naprawdę jeszcze do końca o co jej chodzi.
2824:  GW - Jeszcze w ogóle wyjechała z ciekawym tekstem, że jest stodolaną sową, z czego sowa zazwyczaj symbolizuje jakiś śmierć, omen czegoś złego i tak dalej.
2834:  GW - Więc zastanawiam się, co tu się jeszcze odwali po prostu.
2837:  GW - A na końcu jeszcze w trakcie tego całego wspaniałego dialogu, w którym
2842:  GW - właśnie rozpatrują jego złe sny i całą politykę dookoła.
2847:  GW - Ona podaje, masz, napij się, a potem dostajemy scenę, która wygląda jak... Kac Vegas.
2853:  GW - Kac Vegas, dokładnie.
2855:  GW - Kac Harrenhal.
2857:  GW - Budzę się i tak, gdzie?
2858:  BFP - Nie, no totalnie, Kac Harrenhal jest, gdzie on po prostu mówi, no dobra, napij się.
2862:  BFP - Dwa dni później.
2863:  BFP - Gościu siedzi w ogóle, słucha...
2865:  GW - Tutaj jedna rzecz mnie zastanowiła, gdzieś tutaj jak będziesz przewijał, może to złapie, że ona pyta się, czy będzie zdobyć coś, czy zdobyć to, co uważa za jego i ona się wtedy łapała za brzuch.
2880:  GW - I się tak zastanawiam, czy ona przewiduje, że tutaj go jakoś usiedli, czy że już coś zrobiła, a on o tym nie wie?
2887:  GW - To jest...
2890:  KMM - Ona na pewno będzie wygrała jakąś rolę ważną.
2891:  GW - Mnie to ułożyli, bardzo dziwnie to ułożyli, że ona w tym momencie, ona nie musiała tego robić, dlatego się cały czas zastanawia, co tu się, o co chodzi.
2899:  GW - Nie wiem, Tomasz, wiesz coś, co ewentualnie nam nie zespoluje w całości?
2902:  TN - Tak, no to jest, to jest po prostu postać, która jest powoli wprowadzana i która będzie miała większą rolę.
2909:  TN - Ale no nie chcę więcej mówić, bo oczywiście bym wam spoilerował.
2915:  GW - To ja was zasmucę wszystkich.
2916:  GW - Czyli to nie było z czapy, rozumiem, to, to...
2920:  BFP - David napisał jeszcze wizja, która pokazuje Ejmonda jako Daemona.
2924:  BFP - Nie rozumiem, czy ja coś przeoczyłem?
2926:  TN - Tak, była taka wizja, gdzie on goni właśnie korytarzami po Harrenhal i właśnie widzi siebie z opaską.
2937:  KMM - Faktycznie było coś takiego.
2938:  KMM - Zasmucę was wszystkich, Rabę napisał na czacie, że to widzicie, tak mógłby wyglądać Wiedźmin.
2945:  KMM - Tak, jeżeli chodzi, no.
2946:  KMM - Prawda?
2947:  KMM - Bo to jest ten vibe.
2948:  KMM - To jest ten vibe właśnie, którego nie ma w przeklętym serialu wiedźmińskim Netflixa.
2953:  KMM - To jest właśnie to.
2954:  GW - I zobaczcie, HBO pokazuje Netflixowi tak jak Eymont Egonowi, gdzie jego miejsce.
2959:  GW - Tak powinien wyglądać Wiedźmin.
2961:  GW - Mamy już Geralta, mamy Yennefer, mieliśmy Ciri, także no.
2966:  BFP - No.
2968:  BFP - Kristen Cole to jaskier.
2970:  BFP - Wszystko się zgadza.
2972:  BFP - Nikt się ze mną nie zgodził.
2974:  GW - Nie, co do tego niciula się do tego nie zgodził.
2978:  BFP - Ale tak, rzeczywiście to, co powiedzieliście... Już prędzej aktor grający Corlisa Velariona mógłby być jaskrem.
2984:  BFP - To, co powiedzieliście na czatach, kurczę, no rzeczywiście, tak jak nawet się patrzy na te właśnie takie rzeczy jak scenografia, rekwizyty, nie?
2992:  BFP - to nawet nie chodzi o ujęcia, ale po prostu czy kupujesz ten świat?
2996:  BFP - Czy on jest dla ciebie wystarczająco plastyczny, żeby powiedzieć ci, że to jest świat, który został przemyślany jako świat dla dorosłych ludzi, którzy chcą oglądać i czytać dorosłe fantazy?
3008:  BFP - Czy nie?
3008:  BFP - Czy to są jakieś pozostałości po wehikule czasu?
3012:  TN - No i kurczę, no... Przede wszystkim ten świat jest trochę brudny, a na przykład właśnie w Wiedźminie to wszystko jest plastikowe.
3019:  GW - Jakby było zamówione w sali ekspresu, a tutaj to faktycznie ktoś się przyłożył do tej scenografii.
