Dlaczego AKOLITA jest tak ZŁY?
🔗 https://www.youtube.com/watch?v=A4nbDZSWiHA
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
ML (Michał Lipiński, Ponarzekajmy o Filmach)

41:  BFP - Wiecie po czym poznać prawdziwych przyjaciół?
1436:  BFP - Sączy mu jakieś myśli na zasadzie, swoją drogą widziałem taki mem, żeby zwrócić uwagę za każdym razem, kiedy Torbin po prostu chce wrócić do domu.
1443:  BFP - I Torbin rzeczywiście bardzo często, że chce wrócić do domu, ale dlatego, że ona mu wpuściła taką myśl.
1446:  BFP - Mówi, chcesz wrócić do domu, chcesz.
1450:  ML - Czekaj, ale jego postać to jest w ogóle kolejny już w ogóle ewenement tej historii, gdzie w pierwszych odcinkach jest chłop popełnia samobójstwo, w ogóle make-up jego, doceńmy, nie?
1458:  ML - Ogólnie production design można docenić, ale jego make-up w drugim odcinku, jak on tam taki jest, perfekcja po prostu, no nie?
1464:  ML - Taki w sumie podobny cosplay na moim poziomie, ale chłop popełnia samobójstwo, więc przez cały serial myśmy, no dobra, no jak nic tam kogoś sieknął, no jak coś się wydarzyło, teraz jest, czuje się winny,
1476:  ML - Nie, on po prostu zrobił Leroy Jenkins i pobiegł kurwa tam na miejsce jako pierwszy, bo on chciał do domu.
1484:  ML - Bo on chciał do domu, bo on od dwóch miesięcy, i teraz cofnijmy się jeszcze dalej, on od dwóch miesięcy, czy pięciu, czy iluś, chodzi po tej planecie z wykrywaczem metalu, ponieważ Jedi szukają Virgins in the Force, nie wiem jak było w polskich napisach.
1496:  KMM - Dlaczego potrzebowali wykrywaczy metalu tutaj?
1498:  ML - Właśnie, ja chcę powiedzieć, pomyślcie o tym serialu, pomyślcie, wyjdźcie na chwilę z lore'u.
1504:  ML - Macie zakon mnichów, kapłanów, Jedi w kosmosie, którzy tam wyczuwają mocą przyszłość, przeszłość, dobro, zło.
1513:  ML - Jadą w jakieś miejsce, lecą, gdzie jest, nie wiem jak jest tłumaczone vergence po polsku, ale no na zasadzie jakieś źródło mocy, coś, jakieś tam, coś magicznego.
1521:  ML - Szmoc.
1522:  ML - Tak, dokładnie, coś magicznego.
1524:  ML - Oni nie szukają kawałka metalu, oni nie szukają, kurwa, jaworka w lesie.
1529:  S02 - Oni szukają Siri.
1529:  ML - Oni szukają... Oni szukają, no takiej zasadzie, szukają magii.
1533:  ML - I mamy scenę, jak jeden pakuje mech, kurwa, do torebki, tak jakby miał zaraz to wysłać do laboratorium, a drugi idzie z wykrywaczem metalu po ziemi.
1540:  ML - To pięciu Jedi się kręci od czterech miesięcy.
1542:  BFP - Tak.
1544:  BFP - Znaczy, rzeczywiście, przepełniałeś mi tę scenę.
1548:  BFP - Jak Torbin w pewnym momencie wykrzykuje, tam siedzi, jest Indara, jest Sol, jeszcze jest ten Wookie, czy ta Wookie, nie pamiętam jak ona ma.
1559:  BFP - Zawsze śmieszne będzie oglądać Wookiego, który macha mieczem świetlnym.
1563:  BFP - I on niesprowokowany nagle wykrzykuje, teraz rozumiem.
1569:  BFP - I teraz już wiem dlaczego.
1570:  BFP - I zaczyna biec do tego śmigacza i w ogóle nic nie konsultuje z nimi.
1573:  BFP - Po prostu odjeżdża im.
1575:  BFP - Leroy Jenkins!
1577:  BFP - Czemu?
1578:  BFP - Czemu?
1578:  BFP - To jest moim zdaniem zgodne z dalszą częścią rozwoju tej postaci psychologiczną, jak myślę minęło parę dekad.
1586:  BFP - Przecież ten Thorwin, który się unosi w powietrzu i cały czas medytuje, lewituje, nie kontaktuje, chociaż jest okładany ciosami, dzień później dopiero przestaje lewitować, widzi May, która dzień wcześniej go okładała, rzucała w niego nożami i mówi...
1599:  BFP - O, May, dobrze, że przyszłaś, bo ja czekałem na ciebie.
1602:  BFP - Cieszę się, że jesteś.
1605:  BFP - Świetny telepata i empata, jeżeli chodzi o wyczucie mocy, że wykrył moment, w którym ona się pojawiła po raz drugi.
1613:  KMM - To jest przezabawne, że oni wprowadzają jakieś potężne źródło, nie?
1617:  KMM - Po czym je kompletnie trywializują, nic o tym nie mówią, dlaczego akurat to było ważne, co się tam rzeczywiście stało, czy to źródło było wykorzystywane przez ten zakon do tworzenia życia, jeżeli tak, to jak?
1627:  KMM - I my się tego wszystkiego, żeby było śmiesznie, nie dowiemy, bo to było zaplanowane na dwa sezony, ale ten drugi sezon nie jest odnowiony, w każdym razie Disney nic na ten temat nie mówi, a już tyle minęło od serialu, że zwykle się okłasza, że będzie kontynuacja, czyli prawdopodobnie to zostanie zawieszone w próżni,
1642:  KMM - Ale zostaliśmy z bzdurą wprowadzone takim typowym McGuffinem, do którego wykrywania został wprowadzony nowy McGuffin w postaci wykrywacza McGuffinów, którego używali Jedi'e.
1652:  KMM - I z tego McGuffina powstała następnie McGuffinka, która została rozłożona na dwie istoty.
1658:  KMM - To znaczy jest przed McGuffin, jest pod McGuffin.
1661:  KMM - Czy to mi przypomina monolog Wiesława Dymnego z Piwnicy pod Baranami, który niestety pamiętam praktycznie in extenso.
1668:  KMM - Mianowicie, jeżeli się dwa lechizmy, jeden czynny, a drugi bierny, ustawią na dwóch krańcach prostej, która jest śladem punktu biegnącego znikąd donikąd, to jak się rozpędzą i pieprzą, tak powstanie architektura polska.
1681:  KMM - To jest dosłowna definicja Oszy i May z tego serialu.
1684:  KMM - One...
1685:  KMM - One w którymś momencie się pieprznęły i z tego powstała fabuła.
1688:  KMM - Potem to się wszystko odwróciło i Osza stała się May, a May stała się Oszą.
1693:  KMM - I to wszystko pięknie ilustruje odcinek trzeci i siódmy, które powinny być wykładane w łódzkiej szkole filmowej.
1699:  KMM - Na zasadzie tak się nie robi serialu.
1702:  KMM - To znaczy, te odcinki powtarzają swoją treść z dwóch różnych perspektyw, ale nie wnoszą nowej perspektywy narracyjnej.
1709:  KMM - Zauważcie, one dosłownie powtarzają sceny, które już były.
1711:  KMM - Więc wyobraźcie sobie...
1713:  KMM - Co to z mózgiem robi człowieka, który nie pamięta fabuły?
1716:  ML - Na plus, za drugim razem było widać troszeczkę mniej fatalnie zagranych przez te małe dziewczynki scen, jak się tam sztucznie przepychają.
1724:  ML - Nie wiem, czy pamiętacie w tym odcinku trzecim, ale... Tak, tak.
1727:  ML - Jeszcze jest jedna rzecz.
1728:  ML - A propos w ogóle tego, że one są jedną osobą, nie?
1732:  ML - Bo ten serial w tych ostatnich odcinkach to sprzedaje na zasadzie.
1735:  ML - You are one person, Osha.
1738:  ML - A ja mam tak... I co z tego?
1740:  KMM - No właśnie, tak.
1741:  KMM - Dobre pytanie.
1741:  ML - Ale przedstawiają to jako takie tu-tu-tu-tu i takie o kurwa, to jest jedna osoba.
1746:  ML - I co z tego?
1747:  BFP - Ale może jest to związane z tym rytuałem Power of Many.
1751:  ML - No bo jest związane z tymi magafinowymi, jakimiś tam lore'owymi rzeczami.
1755:  BFP - No ale to na czym miało być?
1757:  ML - kiedyś wróci, coś wytłumaczą.
1758:  BFP - Na czym miałoby polegać to wyniesienie, do którego zmierza ta matka i te wiedźmy?
1763:  BFP - No bo zakładam, że właśnie ma być jakiś rytuał na nich.
1766:  BFP - Co one mają się połączyć w jedną osobę?
1769:  BFP - Czy o co chodzi?
1770:  BFP - Bo ja tego nie do końca rozumiem, bo chyba nie bardzo mogło to wyjść, skoro jedna chciała zrezygnować, a druga nie.
1775:  BFP - Nie wiem, ale widziałem taki komentarz osoby, która próbowała bronić ten serial i ja absolutnie jestem otwarty na argumenty i z przyjemnością będę je czytał i się do nich odnosił, ale
1786:  BFP - Ta osoba generalnie w większości używała argumentu tak, ale nie wiesz.
1792:  BFP - Tak nie wiem, bo mi serial nie powiedział, a nie wiem i to dobrze, bo może drugi sezon mi to wyjaśni.
1797:  BFP - Nie, pisanie seriali tak nie działa.
1800:  BFP - To nie jest tak, że liczę na plus to, że czegoś nie wiem, bo twórcy wciąż mają okazję mi to wyjaśnić.
1805:  BFP - Nie, to się liczy na minus dla twórców, że nie byli w stanie mi tego jasno wyłożyć, a co gorsza, że nie byli w stanie mnie tym zainteresować albo coś sknocili względem kanonu i pomieszali niepotrzebnie.
1815:  BFP - Albo co gorsza, potrzebują tak dużo środków wyrazu do tego, żeby powiedzieć tak niewiele.
1820:  BFP - Tak proste rzeczy.
1821:  BFP - Kimir nieważne ile powie, on nie przekonuje mnie swoimi argumentami, bo jedyne co potrafi powiedzieć, to ściągnąć koszulkę i powiedzieć, wiesz, pożądanie pomaga lepiej kontrolować moc.
1832:  ML - No i jak jesteśmy przy Kimirze i tym, co on tam mówi, to w ogóle może wróćmy do tej labilności tych postaci.
1838:  ML - Ile razy w tym serialu Osha i May się zamieniły miejscami, zmieniły całkowicie zdanie z jakiegoś mordowania i drogi życiowej na to, że teraz nie będzie... Bro, Osha staje się Sifem ot tak.
1849:  BFP - Po prostu.
1850:  BFP - Dołącza do Kimira, bo ma ładną klatę.
1853:  BFP - i z zimną krwią morduje Sola i nawet tego nie wspomina do końca serialu.
1859:  ML - Po prostu... I jeszcze, i jeszcze przy tym, bo to, wiecie co, to jest tak, przy każdej scenie jest jakaś głupota wkurwiająca, do której jeszcze jest kilka głupotek podczepionych, to jest jak jakiś taki po prostu... vergence in the głupota, nie?
1871:  ML - Gdzie...
1872:  ML - On mógł jej wytłumaczyć.
1874:  ML - Sol przez pięć odcinków jest taka sytuacja, że muszę ci powiedzieć prawdę, jej nie mówi.
1879:  ML - I tuż przed śmiercią, jak miało jej powiedzieć prawdę, to nic nie powiedział i ona go udusiła.
1882:  ML - Gdzie mógł powiedzieć, że nie, nie, no zabiłem matkę, ale... Zaczęła robić... Musiałem cię uratować, ty zaczęłaś znikać, coś... Nie tłumaczy.
1890:  BFP - On to zachowuje po prostu w swojej śmierci.
1892:  BFP - Dokładnie.
1892:  BFP - Myślałem, że ona chce cię skrzywdzić.
1894:  BFP - Wystarczy.
1895:  ML - Już, już się kurwa sytuacja rozwiązuje.
1897:  BFP - Myślałem, że chce cię skrzywdzić.
1898:  BFP - Chciała ci połączyć z siostrą w Transformersa.
1902:  ML - I czemu w ogóle oni to zatajają przed Jedi, tak a propos?
1905:  BFP - A w ogóle ta...
1907:  ML - Ja mam tyle, przepraszam, ja mam po prostu jeszcze 30 czemu, nie wiem, czy się wyrobimy.
1911:  KMM - Nie uważacie, że ta Matrona była ciekawą postacią w ogóle, że ona została zabita w momencie, w którym zaczynała się rozwijać w coś interesującego i nie mam na myśli tego cienia.
1921:  KMM - Bo myśmy się mogli czegoś dowiedzieć właśnie o tej cholernej wergencji, o tym jakimś matriarchalnym, dziwnym stowarzyszeniu.
1928:  KMM - Dlaczego w zasadzie, w jaki sposób, nie wiem, one przychodziły do tego konwentyklu, że jakoś musiały tam się zjawiać, tak?
1936:  ML - I jak zbudowały tą jaskinię, która się spaliła?
1938:  KMM - To też pytanie, bo zauważcie, jeżeli tam, no bo tam nie było mężczyzn, bo miały w jakiś sposób się rozmnażać, więc zakładam, znaczy tam nie było celowo mężczyzn, bo oni w galaktyce Kathleen Kennedy nie są potrzebni, ale to jest inna rzecz.
1950:  ML - Tam nie było mężczyzn, więc elektryka była chujowa i się cała jaskina spaliła.
1953:  KMM - Jezus Maria, natomiast...
1955:  KMM - Przecież one muszą robić dokładnie to samo, co Jedi.
1958:  KMM - To znaczy muszą porywać albo przygarniać, w zależności od przychylnej lub nieprzychylnej interpretacji, silne w mocy kobiety i gromadzić je w jednym miejscu, żeby było power of many.
1969:  KMM - Więc są dokładnie tym samym, co zwalczają.
1972:  BFP - Przeczytałem komentarz, że wergencja to skupisko mocy jest w miejscu, przedmiotach i osobie, ale to o co chodzi?
1978:  BFP - Znaczy, czy Osha i Mei to jest power bank?
1980:  BFP - Chodzi o to, że one są takim power bankiem i Jedi by ich chcieli i Kimmy by ich chciał, bo dzięki temu może, nie wiem, czerpać ich mocy?
1987:  ML - I czemu Sol nie wrócił potem z ekipą do Jedi i powiedział, Yoda, sytuacja wygląda tak, ona zrobiła pch, ja zrobiłem pch.
1995:  ML - O, pożar był.
1996:  ML - Chodźcie sprawdzić.
1996:  BFP - Nie, no chyba coś tam przekazali, no bo Wernestra o tym wiedziała, no Wernestra.
2001:  ML - Ale to, ale nieprawdę.
2002:  ML - Przekazali jakieś, zataili, że był chyba pożar i co?
2004:  BFP - Nie, to Wernestra chyba zataiła.
2006:  BFP - Bo przeczytam w ogóle komentarz Johna L. Skrula.
2008:  BFP - Przy okazji ten serial zniszczył postać mistrzyni Wernestry.
2012:  BFP - ważnej postaci w pierwszej fazie Wielkiej Republiki.
2015:  BFP - Z heroicznej altruiski zmieniła w cyniczną, arogancką biurokratkę, czy jak też ja lubię mówić, permanentną panią z dziekanatu.
2021:  BFP - Tylko zaznaczę, bo ja dużo słyszałem o tym, że w tym serialu jest zła gra aktorska.
2026:  BFP - Nie przeszkadzały mi te aktorki, którą grają Osze i May, szczególnie ta... Ja nawet nie wiem, czy to są dwie aktorki, czy to jest jedna aktorka.
2033:  KMM - To jest jedna aktorka, to jest jeden.
2034:  BFP - To jest im plus nawet.
2035:  BFP - No to czyli jedna osoba, rzeczywiście.
2037:  BFP - W każdym razie...
2040:  BFP - Mistrzyni Wernestra jest dla mnie naprawdę popisem fatalnego aktorstwa.
2045:  BFP - Znaczy ja, niedobrze mi się robiło, jak ją widziałem na ekranie.
2048:  BFP - Znaczy sposób w jaki, nie, no ona, jeżeli pani Leslie Headland chciała zniechęcić nas do Jedi, to udało jej się to osiągnąć z pomocą jej własnej żony, która zagrała Mistrzynię Wernestra.
2066:  ML - Mogę jeszcze parę czemu?
2067:  BFP - Jasne, oczywiście, a potem Krzysztof niech jedzie.
2070:  ML - Nie, bo ja mam jeszcze kilka czemu.
2072:  ML - Czemu cały czas też gadał przez ten serial, jakby położony był na tym punkt u Sola, że on mówi, musimy złapać obie siostry, żeby mi uwierzyli Jedi, że jest to Vergeant, że to jedna osoba.
2083:  ML - Czemu?
2085:  ML - Czy Yoda by po prostu nie zaufał?
2087:  ML - Słuchaj, były dwie, jedna, próbowałem, trzymałem mosty, bo jestem debilem, nie złapałem mocą dwóch dziewczynek, złapałem dwa dwutonowe mosty, podczas gdy one stały jak NPC-ki zacięte i robiły, Osha!
2098:  ML - Mej!
2098:  BFP - O Jezu, ile razy to zostaje powtarzane.
2100:  ML - Mej!
2101:  ML - No zatrzymie więcej, a on trzyma dwa tonowe mosty zamiast dziewczynki mocą, które są na tych mostach.
2106:  ML - No ale dobra, no jakby...
2109:  ML - Ja bym zrobił to samo.
2111:  ML - Nie no, zamiast wszystko powiedzieć prawdę, to on tak jakby nie miał dowodu.
2114:  ML - Tutaj gdzieś ma ja czy w tle fabuła, którą już widziałem w filmach typu Beverly Hills Cup.
2120:  ML - Dopiero co mówiliśmy, dopiero co Eddie Murphy był.
2122:  ML - W każdym filmie Eddie Murphy wie, że od początku wiemy, kto jest bad guyem, ale ten bad guy to jest jakiś umoczony, czarny charakter na zasadzie tam szef policji i wiadomo, że on musi odnaleźć jakieś twarde dowody na niego, bo nikt mu nie uwierzy.
2134:  ML - Ale tutaj nie było takiej sytuacji.
2135:  ML - Tutaj dosłownie mają jeszcze próbki krwi, bo przecież o midichloriana gadają.
2139:  BFP - Znaczy ja się w ogóle zastanawiam nad tym jak, bo w Ernestra jest niby ta bardzo poruszająca scena na końcu.
2148:  BFP - Czy to było słychać?
2149:  BFP - Było słychać pewnie trąbienie, okej.
2151:  KMM - Znaczy nie, nie, po prostu urwało cię na moment.
2154:  BFP - Okej, przepraszam, bo zbiera czasem pewne rzeczy i nie wiem czy mikrofon to zbiera czy nie.
2158:  BFP - Nie, nie zbiera.
2159:  BFP - No to bardzo dobrze, ale czaty słyszały, w każdym razie.
2164:  BFP - Wernestra daje taką przemowę i buduje tę wersję historii, która nie miała miejsca, bądź tylko połowicznie podaje prawdę, w połowie posługuje się kłamstwem i tłumaczy, co się właściwie wydarzyło.
2176:  BFP - Cholera wie, dlaczego pozbywa się jednej z tych sióstr w swojej narracji.
2180:  BFP - Ja nie wiem, nie mam pojęcia, ale...
2182:  BFP - Przepraszam, ja muszę to powiedzieć.
2183:  BFP - Who fucking cares?
2185:  BFP - Jakby to była jakaś zapyziała planeta z jakimś zakonem, którego nikt nie znał.
2190:  BFP - To nie było jakieś masowe ludobójstwo.
2192:  BFP - To nie była czystka etniczna, którą przeprowadzili Jedi.
2196:  BFP - To nie jest historia Amerykanów w Wietnamie.
2200:  BFP - I wzięcie jakiejś właśnie tej drobnej, śmiesznej planety, na której były wiedźmy, które nikogo nie obchodziły, bo to było wszystko w tajemnicy i zrobienie z tego jeszcze większego, kruchego bardzo kłamstwa, bo ono się sypie pod własnym ciężarem, zrzucenie tego wszystkiego na sola, jakby po co tyle zachodu?
2217:  BFP - Czy naprawdę Jedi stracą wsparcie albo poparcie Republiki, bo tam był jeden z, nie pamiętam, to był chyba senator, tak mi się wydaje, który reprezentował Republikę i mówił, o wy Jedi wcale nie jesteście tacy święci, wam się powinien... W ostatnim odcinku, że przez trzy sekundy zamiast przeprowadzić jakąś trygę.
2235:  KMM - I on miał rację, nawiasem mówiąc, to jest jedyny przypadek.
2238:  ML - On miał rację, bo mu scenariusz wystawał zza pazuchy, wiesz, bo on reprezentował opcję po prostu scenarzystki, która ustawi tego bohatera, mówi, no a tutaj są przeciwnicy Jedi.
2249:  ML - I jeszcze kiedyś upadniecie i was jakiś Anakin pewnie wszystkich zabije z Palpatinem pod waszym nosem.
2255:  KMM - Ja w ogóle chciałem sprostować jeszcze jedną rzecz, bo a propos tej Virgins, to było tłumaczone jako konwergencja.
2261:  KMM - Ja teraz zrozumiałem, dlaczego ja zgłupiałem, ponieważ Qui-Gon Jinn na Tatooine faktycznie mówi, że znalazł konwergencję mocy i ja to tak znałem, natomiast teraz nagle to Virgins zaczęło być tłumaczone jako wergencję.
2272:  KMM - Nie ma takiego słowa w języku polskim, więc tutaj jest, nie wiem, jakaś dziwna zmiana w kanonie.
2278:  KMM - Przeciwieństwo konwergencji.
2280:  KMM - No właśnie, a to było tłumaczone dosłownie jak konwergencja.
2284:  KMM - Więc rzeczywiście jest tak, że nigdy tego zasadniczo nie tłumaczono na ekranie, tak, widzom, czym to konkretnie jest.
2290:  KMM - No ale jeżeli tu się pojawia Vergens i Vergens się pojawia w odniesieniu do Anakina, to chyba nie mamy najmniejszych wątpliwości, po co zostało to wprowadzone do akolity, to tak nawiasem mówiąc.
2300:  KMM - I to tylko pokazuje, że to jest rzeczywiście MacGuffin, no na wyłączną celę taką, żeby ta fabuła pokazywała, że Anakin nie był jedyny.
2307:  KMM - Po prostu i zwyczajnie.
2310:  KMM - Natomiast jeżeli chodzi o jeszcze ten wątek biurokratyczny, zauważcie, że biurokracja była wrogiem i Sifów, i Jedi.
2317:  KMM - To znaczy Palpatine dosłownie mówi w transmisji do Anakina, że musimy skończyć z biurokracją w Republice.
2323:  KMM - I on faktycznie to robi.
2326:  KMM - Te rządy silne ręki imperialne, one prowadzą do skończenia z biurokracją w republice, bardzo radykalnego i ostatecznego.
2332:  KMM - A Jedi z kolei mówią, to słowami Mace'a Windu, że nie możemy sądzić Palpatina, ponieważ on kontroluje sądy, w związku z powyższym biurokracja była także wrogiem Jedi.
2342:  KMM - Natomiast tutaj okazuje się, że biurokracja jest po stronie dobra.
2346:  KMM - To Jedi są źli.
2347:  KMM - I to jest zmienione też w serialach.
2349:  KMM - Dlatego cały czas mówię, że tutaj są zmiany w lore, bo one są bardzo istotne.
2353:  KMM - Struktury skostniałe, biurokratyczne, republikańskie, które podlegają krytyce cały czas, bo nieprzypadkowo rebelia jest organizacją terrorystyczną i to nawet w trylogii sequeli.
2365:  KMM - Bo po prostu one więdną i nie działają.
2367:  KMM - I tak samo jeżeli chodzi o Imperium Sithów.
2369:  KMM - One powstawały wskutek tego, że był uwiąd instytucji demokratycznych.
2372:  KMM - A w tym serialu instytucje demokratyczne sprawują się świetnie.
2377:  BFP - Zobaczcie, jak bardzo uprościłoby się ten serial, gdyby przede wszystkim skupiło się na dramacie takiego mistrza Sola, który jest mistrzem Jedi i jak pokazać, że droga Jedi nie jest właściwą drogą, pokazać, że jest człowiek, którym odzywają się po prostu ojcowskie emocje i on od początku w jakiś sposób
2398:  BFP - jest niezwykle empatyczny względem Oszy i May i to on chce pomóc Oszy wyjść z tego chorego, z tej chorej instytucji totalnej, w której się znajduje, totalitarnej zresztą również i mam tu na myśli Matrony, Wiedźmy, Bene Gesserit w domu, Bene Gesserit z temu.
2417:  BFP - I sama perspektywa mistrza Sola byłaby naprawdę bardzo ciekawa i ukazanie tego, że on nosi w sobie wielkie poczucie winy, że musiał wybrać, to jest ten wybór Sofii, znakomity film, gdzie musiał wybrać jedną z tych dwóch dziewczyn i wybrał tą, którą faktycznie gdzieś tam preferował w rozumieniu, że ona sama chciała wyjść z tego zakonu, ale chciał uratować obydwie.
2437:  BFP - To jest straszne, że ten serial tak bardzo...
2440:  BFP - brutalnie obchodzi się z tą tragedią mistrza Sol.
2443:  BFP - Ja tylko przypomnę, że jedna z lepszych rzeczy w tym serialu, a nie ma ich wiele, to dla mnie to jest odcinek piąty, mistrz Sol traci dwójkę swoich uczniów.
2453:  BFP - Ja widziałem, że on się na moment zatrzymuje i trochę popłakuje i to tyle.
2458:  BFP - Jak ja bym oglądał Mistrza Solo od początku jako POV charakter, gdybym w drugim odcinku zobaczył, o co chodziło z Oszą i May, jaką on tragedię nosi w sercu, że zabił ich matkę, że on obwinia się i nosi tę tajemnicę i nie chce się tym podzielić, bo boi się, że Osza go odrzuci i jeszcze traci dwójkę swoich uczniów.
2476:  KMM - On wrakiem psychicznym powinien być.
2478:  KMM - Philip, The Force Is Female nie może być stary, biały, znaczy w tym przypadku nie biały, to jest zabawne, ale nie może być stary mężczyzna absolutnie głównym bohaterem, co ty bredzisz i co ty mówisz.
2491:  KMM - Teraz jest młoda gwardia, jest przecież wspaniały, czarnoskóry szturmowiec, którego porzuciliśmy i nie opowiedzieliśmy jego historii w ogóle, ponieważ był przecież tylko po to, żeby być na plakatach amerykańskich, bo Skinny Kiss King został wygumkowany, ponieważ Disney jest niesamowicie tolerancyjny.
2506:  KMM - Następnie mieliśmy też azjatyckiej rasy mechaniczkę, która też została wygumkowana później, bo nie miała żadnej funkcji i roli.
2516:  KMM - I to jest wszystko młode pokolenie, które miało przejąć pałeczkę, w związku z tym nie ma szans, żebyś dostał taką postać.
2522:  KMM - I ja nawet nie ironizuję, ja bym bardzo chciał zobaczyć serial z tej perspektywy, bo możemy zrobić na przykład włączoną perspektywę, że z jednej strony masz perspektywę tych młodocianych adeptek, z jednej strony ciemnej strony, z drugiej jasnej strony,
2534:  KMM - a z drugiej będziesz mieć tego właśnie Mistrza Sola, z którego perspektywy widzimy chociażby różnego rodzaju problemy w Zakonie Jedi.
2541:  KMM - O nie wiem, zastanówmy się, tak to Qui-Gon Jinn je pokazywał?
2545:  KMM - Qui-Gon Jinn pokazywał już problemy w Zakonie Jedi i to robił w Mrocznym Widmie, przypominam.
2550:  KMM - W związku z powyższym też ludzie, którzy mówią, że to teraz nagle widzimy problemy w Zakonie Jedi,
2554:  KMM - To jest zagadanie.
2555:  KMM - Przecież cała trylogia prequeli jest o tym.
2558:  KMM - W związku z powyższym, jeżeli zakładamy, że 200 lat wcześniej się zaczęły te problemy i co więcej zakładamy, że mistrz Joda wiedział.
2566:  KMM - O Boże, to źle brzmi.
2567:  KMM - Jan Paweł wiedział.
2568:  KMM - Mistrz Joda wiedział.
2572:  KMM - Co działo się z dziećmi?
2575:  KMM - Tak, autentycznie szwarc charaktera całej historii, no bo jeżeli on wszystkiego tego był świadomy, to nie ma już żadnej tej narracji o tym, że Sifowie zaciemnili wizję mocy i w związku z powyższym dżedaj tracili nad wszystkim kontrolę.
2588:  KMM - Wszystko to przestaje mieć jakikolwiek sens.
2591:  KMM - A co sądzicie?
2592:  S05 - Naćpany siedzę tutaj.
2594:  S05 - Jacyś dżedań żyją.
2600:  KMM - Michał to mówi dokładnie tym samym głosem.
2603:  KMM - Ja o dzieciach nie wiedziałem nic.
2605:  KMM - Który?
2605:  KMM - Mój Filip też.
2607:  KMM - w którym mówi mistrz Yoda z parodii autorstwa Stanisława Monderka, gdzie mistrz Yoda jest przekupywany po to, żeby nauczyciela wprowadzić nowego do Akademii Jedi.
2618:  KMM - I jak to było?
2619:  KMM - I pyta, czy są jakieś referencje i tam dostaje.
2623:  KMM - On nie potrzebuje żadnych referencji, dostaje pieniądze.
2625:  KMM - A referencji nie potrzebuje on.
2629:  BFP - Ja tylko chciałem zobaczyć, jak Yoda dołącza do tej kongregacji kobiet i robi Power of one, power of two.
2638:  ML - Taka kamera odjeżdża, jak one to robią, a Yoda sobie tam siedzi z tyłu.
2644:  ML - Cały czas tam był.
2645:  ML - On o wszystkim wiedział.
2646:  BFP - A co macie do powiedzenia o...
2649:  BFP - w spektakularnym zniechęcaniu do protagonistek, do głównych bohaterek przez to, jak one są napisane, wspominał o tym w swojej recenzji.
2660:  BFP - Nie lubimy May od początku, bo ona... Ja nie zapomnę tej sceny.
2664:  BFP - Pierwsza scena, prezentujemy bohaterkę, widzimy jej zacięcie, determinację, chęć zemsty.
2669:  BFP - Kto kupuje?
2670:  BFP - Ale to jest przekroczenie pewnej granicy.
2672:  BFP - To jest tak, jakby Pani Cher strzelał do tych złych, ale nie przejmował się cywilami.
2677:  BFP - Natychmiast byśmy nie lubili Pani Chera.
2679:  BFP - A Pani Cher przejmuje się cywilami.
2682:  BFP - I mamy taką May, która wręcz wykorzystuje niewinnych do tego, żeby...
2689:  BFP - wykazać słabość Jedi, który musi uchronić ludzkie życie.
2692:  BFP - Ale gdyby tego nie zrobiła, gdyby się spóźniła, to zabiłaby ich.
2695:  BFP - Wręcz, kiedy już nie żyje Indara, to ona schodzi na dół i chce zabić tego szefa lokalu.
2701:  BFP - I zaczynamy od postaci, która jest antypatyczna, która jest bezlitosna.
2707:  ML - Wydaje się nie mieć wyrzutów synenia.
2711:  ML - Ale conveniently wymazali jej 16 lat życia.
2714:  ML - Do tego momentu jak faceci w czerni.
2716:  ML - Nagle mamy taką moc.
2717:  ML - Nie no, cały wątek obu dziewczynek nie ma absolutnie sensu, jeśli chodzi o to, co one robią, dlaczego, komu ufają, ten cały wątek z tym Kumirem, czy jak mu tam jest z MyLorendem, że dlaczego... Dlaczego on się... Ona nie wie, jak on wygląda, gdzie my od początku wiemy, że to będzie on, nie?
2734:  ML - Wiecie, na zasadzie... Wczoraj widziałem, do Akolity wrzucił ten... Kocham kanał Pitch Meetings Ryana George'a, nie wiem, czy znacie.
2742:  ML - Wczoraj wrzucił do Akolity i oczywiście było...
2744:  ML - No, no to ona ma jednego kumpla, z którym współpracuje, on się tam nazywa jakoś i jest jeszcze syf, któremu ona... Nie wiemy kim jest, to ona mu służy.
2753:  ML - O, to będzie on.
2754:  ML - Nikogo innego nie wprowadziłeś, a on tak... Of course, no of course, że to był on.
2759:  ML - Wszyscy wiedzieliśmy, że to był on.
2761:  ML - I czemu, czemu on się jej mniej nie pokazuje?
2765:  ML - Czemu on jej rozkazuje zabijać Jedi w formie jakiegoś challenge'u na YouTube bez broni?
2769:  BFP - O, przypomnieliście mi zajebistą scenę.
2771:  ML - Czemu ona właśnie zabija, poza tymi, że się mści coś za swoją przeszłość, zabija przypadkowych ludzi, próbuje.
2777:  ML - Czemu potem sekundę w lesie zmienia i mówi, nie, jednak jestem ze swoją siostrą, idę jej pomóc.
2782:  KMM - Ale to w ogóle jest zabawne, bo przecież jak on przylatuje z nią na tę nieszczęsną planetę, to tam dosłownie jest on i ona, w związku z tym, jeżeli jest zaszlachtowany ten Łuki, mistrz ostatni, no to wiadomo, kto to zrobił, tak, a on ma takie...
2797:  KMM - Kto to mógł być?
