Krzysztof M. Maj - szczęśliwy jak JAMNIK || W sumie ciekawi ludzie @KrzysztofMMaj
🔗 https://www.youtube.com/watch?v=yzBa4XN-e8w
SR (Szymon Rusnarczyk)
KMM (Krzysztof M. Maj)

0:  KMM - Ja mam złą pamięć, ale chyba ja już po tę książkę w tej jaskini raz chodziłem.
1330:  KMM - I to jest bardzo skomplikowane, bo to brzmi od razu jak prywatyzacja szkolnictwa i wiem, i nie.
1335:  KMM - To jest ostatnia rzecz, która się powinna zadziać, bo przekonanie, że sprywatyzowana szkoła jest lepsza, bierze się z tego, i to jest ciekawe, że większość szkół prywatnych w Polsce stosuje alternatywne metody pedagogiczne.
1348:  KMM - W związku z tym wszyscy ludzie, którzy mówią, że prywatyzacja jest rozwiązaniem, tak naprawdę przyznają rację mnie i wszystkim osobom, które mówią, że system pruski jest nieodpowiedni.
1358:  KMM - Więc to jest interesujące, bo bardzo często, gdyby wypytać te osoby, głównie konserwatywne, to powiedzą, że nie, nie, nie, ma być tak, jak było zawsze.
1366:  KMM - A tymczasem, wskazując na szkoły prywatne, wskazują na szkoły Montessori, Waldorskie i wszystkie inne, które właśnie są prywatne w Polsce, najczęściej, bo nie zawsze, ale najczęściej.
1376:  KMM - To nie jest rozwiązanie.
1377:  KMM - Nie ma dobrego systemu szkolnego.
1378:  KMM - Jedyny system szkolny, który w moim przekonaniu jest dobry, to jest powrót do korzeni edukacji i zastanowienia się nad tym, do czego realnie potrzebujesz tego budynku w XXI wieku.
1390:  KMM - I dobra szkoła się zaczyna od pomyślenia tego i odpowiedzi takiej, wiesz, poważnej na to pytanie.
1396:  SR - Szczególnie, że COVID udowodnił, że faktycznie można robić dużo więcej.
1399:  KMM - Wiesz, dużo się mówi teraz, była wyborcza, robi cykle artykułów na ten temat, krytycznych, jak to wyborcza, o szkole w chmurze.
1409:  KMM - I mówi, że na przykład jest niższy wynik o parę punktów procentowych z tego przedmiotu od skali ogólnokrajowej.
1414:  KMM - I ja mówię, czyli tak,
1417:  KMM - Porównajmy sobie, czyli masz 14 lat w szkolnictwie, gdzie jesteś umoczony w tym wszystkim, czego nie potrzebujesz i zdajesz egzamin o kilka punktów procentowych wyżej niż w sytuacji, gdy nie masz tego wszystkiego i po prostu się przygotowujesz do egzaminu.
1430:  KMM - To jest kompromitacja.
1433:  KMM - Gdyby ten system chciał udowodnić, że działa, to ludzie z wszystkich szkół w chmurze, pamiętajmy, że to jest jedna firma, tylko chodzi o edukację domową, musieliby mieć zero z egzaminów.
1443:  KMM - Albo 1%, albo 10, albo 12.
1446:  KMM - Jeżeli mają powyżej 50, to już to jest kompromitacja.
1449:  KMM - To jest strasznie smutne, bo tylko pokazuje, że te egzaminy, które są ogólnokrajowe, one nie sprawdzają w zasadzie niczego, do czego potrzebujesz tego budynku i tej kosztownej infrastruktury.
1461:  KMM - Ale to, do czego potrzebujesz tego budynku, to żeby się ludzie ze sobą spotykali, żeby była jakaś społeczność.
1467:  KMM - No i wiesz, i tu już zaczynają być rzeczy nieostre.
1469:  KMM - To nie jest coś, co możesz wymienić w programie ministerialnym, że ma być krzewiona społeczność.
1473:  KMM - A to jest ważne, żeby ludzie mieli poczucie sprawczości w społeczeństwie demokratycznym.
1478:  KMM - To jest dla państwa ważne.
1479:  KMM - Nie jest dla państwa istotne to, co ty konkretnie wiesz.
1482:  KMM - Naprawdę, jak ja się rekrutowałem na AGH, nikt nie sprawdzał moich ocen, no litości.
1487:  KMM - A powiedziałbym, że przy rekrutacji na stanowisko uczelniane to chyba jest taki jedyny moment, kiedy powinno się sprawdzać.
1492:  SR - A matury nie sprawdzali?
1494:  KMM - Przyrodnie nie.
1494:  KMM - Zresztą ja akurat byłem zwolniony z matury, z olimpiada, bo ja hakowałem ten system od początku, bo bym nie zdał.
1499:  KMM - Znaczy nie zdałem próbnej słynnej mojej historii na 22%.
1502:  KMM - Potem to było swoją drogą, bo nie mówiłem szczegółów, to było...
1507:  KMM - O Zbigniewie Herbercie, którego kochałem zresztą, miałem test czytania ze zrozumieniem, więc nie rozumiałem ewidentnie.
1513:  KMM - Po czym dwa tygodnie później był ten sam, to była proza poetycka, chyba z Króla Mrówek, ten sam fragment był na olimpiadzie na szczeblu wojewódzkim i dostałem tam 100%.
1525:  KMM - I wiesz, ja się wtedy wkurzyłem, bo zrozumiałem, że coś jest naprawdę nie tak.
1529:  KMM - I to było bardzo dawno temu.
1531:  KMM - Bywa dwutysięczne lata w każdym razie.
1533:  KMM - Więc to nie jest tak, że to jest od niedawna.
1535:  KMM - To jest od bardzo dawna.
1536:  KMM - I musimy sobie odpowiedzieć na pytanie, okej, ale co teraz, tak?
1540:  KMM - Bo w czasach, kiedy ja się uczyłem,
1542:  KMM - Nie było internetu tak rozbuchanego, nie było mediów społecznościowych, nie było alternatyw.
1546:  KMM - Tego rodzaju edukacja, gdyby były, to bym się w niej uczył.
1549:  KMM - Zwłaszcza przy tym, że moi rodzice się denerwowali, że mnie muszą puścić do szkoły, bo tak musieli, do zerówki jeszcze musieli.
1557:  KMM - I nie było po prostu alternatywy.
1559:  KMM - Czwarta rzecz, chyba jeszcze ważniejsza.
1562:  KMM - Nie było możliwości łączenia się na odległość, robienia takiego tutoringu.
1565:  KMM - Pamiętam, jak mój nauczyciel muzyki, fortepiano, jeszcze mi mówił, że w Australii jest taki patent, że przez tablet się łączysz z uczniem swoim i grasz na Yamasze, a ta Yamaha akurat jest elektroniczna, w związku z powyższym klawiszem się same przyciskają zdalnie.
1579:  KMM - I to było takie wow dla mnie wtedy.
1582:  S04 - To dzisiaj jest.
1584:  KMM - I wiesz, i jeszcze dochodzi Ci do tego, sieci neuronowe, duże modele językowe i cholerna AI.
1591:  KMM - I wiesz, to już jest poważny moment na zadanie sobie tego rodzaju pytań.
1595:  KMM - Ja nie mam pojęcia, dlatego właśnie odpowiadając Ci, domykając ten temat, nie mam pojęcia, jaka jest dobra szkoła, bo to jest coś, nad czym się trzeba namyślić teraz, bo moje poglądy są na podstawie tego, co ja pamiętam z lat 90. i 2000.
1605:  KMM - Więc totalnie nie przystaję do tego, co jest teraz.
1609:  KMM - Więc ja w zasadzie to, co ja mówię na kanale,
1611:  KMM - I to wiele razy mówili studenci pedagogiki, którzy czasem wpadają na streamy.
1615:  KMM - To nie jest nic, czego by nie mówiło się na pedagogice.
1618:  KMM - Wszyscy to mówią na pedagogice.
1619:  KMM - Problem polega na tym, że było takie przeświadczenie, że no dobrze, to jest taka piękna filozofia i teoria, a teraz mamy tę glinę, ten brud, te prawdziwe, realne problemy, które nie przystają do tych ideałów szczytnych.
1634:  KMM - No i teraz się nagle okazuje, że ludzie odchodzą, że ponad 60 tysięcy ludzi poza systemem się kształci w Polsce.
1642:  KMM - To jest dużo.
1642:  SR - Czy to jest ciekawe z tej perspektywy, że mam taką tezę w głowie, że wydaje mi się, że ludzie...
1650:  SR - że społeczeństwo patrzy na polityków, że to politycy na wszystko wpływają i to przez tych złych polityków mamy tak, jak mamy.
1658:  SR - A wydaje mi się, po tym, co mówisz i po tym, co obserwujesz, że w zasadzie to my jako społeczeństwo nie nadążamy za rozwojem technologii już często.
1666:  SR - I wydaje nam się, że jesteśmy młodzi, więc ogarniamy to wszystko, bo jak to tak?
1669:  SR - No my nie ogarniamy Instagrama, TikToka, no wszystko ogarniamy.
1673:  SR - Tylko właśnie nie nadążamy zupełnie za tym, co powinniśmy wprowadzać w społeczeństwie, jakie zmiany powinny zajść.
1678:  KMM - Wiesz co, pamiętam, że ilekroć jakikolwiek był projekt polityczny, to w którymś momencie na uczelnię spływają prośby o konsultacje.
1686:  KMM - Więc środowisko wpływa na to, co się dzieje.
1689:  KMM - Środowisko nauczycieli, środowisko pedagogów, społeczeństwo, środowisko rodziców.
1693:  KMM - Jeżeli jakaś szkoła mówi, że nie będzie ocen, a rodzice mówią, że chcemy mieć ocenę, bo chcemy mieć łatwo i wiedzieć, że uczeń jest piątkowy albo córcia ma czwórki, to wtedy trzeba popracować i zatrudnić korepetentora.
1704:  KMM - Nie na zasadzie, że chcę wiedzieć, co moje dziecko wie.
1707:  KMM - Realnie.
1708:  KMM - A prawda jest taka, że dzisiaj to jest o wiele bardziej praktyczne, bo nie masz takiego łatwego systemu, że idziesz na Biolchem, idziesz na biotechnologię, zostajesz biotechnologiem.
1717:  KMM - A tak było w latach 90.
1719:  KMM - Teraz tak nie jest.
1720:  KMM - Idziesz na Biolchem, potem nie dostajesz się na biotechnologię, ponieważ punkciki z matury, w związku z powyższym idziesz na kulturoznawstwo, a zostajesz Chief Financial Officerem w korporacji amerykańskiej 20 lat później.
1731:  KMM - Czy ma to jakikolwiek sens?
1732:  KMM - Nie, żadnego, ponieważ nie ma żadnego w tej chwili przełożenia, o czym wszystkim mówię, między studiami, które robisz, a pracą, którą wykonujesz.
1739:  KMM - Moja pierwsza praca to było B plus R, czyli badania plus rozwój, stanowisko doradcze, konsultacyjne w projekcie IT w Warszawie.
1747:  KMM - Kończyłem polonistykę.
1749:  SR - Znaczy, ja ci podam ciekawy przykład, że ja w liceum miałem bardzo złe oceny z polskiego.
1756:  SR - Bardzo złe.
1758:  SR - Zresztą, jak w większości przypadków często, ale z polskiego często byłem właśnie, czepiali się o lektury, tego typu rzeczy, a teraz pracuję w pracy, w której wymagany jest język polski w większości, pisanie scenariuszy i tak dalej.
1769:  SR - Jak ja pisałem teksty dla mojej nauczycielki od polskiego, to było wszystko źle.
1773:  SR - Później oczywiście
1775:  SR - Miałem studia, jako project manager się studiowałem, znaczy studiowałem project management, o w ten sposób, i pracowałem tylko przez dwa miesiące jako project manager w całym swoim życiu, także to jest... Ale to się szybko zmieniło, nie?
1788:  KMM - I teraz rzeczywiście ludzie z jednej strony na uczelniach się usiłuje do tego dostosować, tworzą takie kierunki, które są mixem wszystkiego, też jest błąd, bardzo duży.
1795:  SR - Są studia z influencerstwa nawet.
1797:  KMM - No więc właśnie, ja wszystkim mówię, żeby się wystrzegali tego, ponieważ żeby zaaprobować jakikolwiek program na studiach, potrzebujesz minimum dwóch lat, bo musi zagłosować Senat, musi to przejść przez wszystkie komisje i tak dalej.
1809:  KMM - W związku z powyższym zastanówmy się, czy przez dwa lata na rynku pracy się nic nie zmienia.
1813:  KMM - Wszystko się zmienia.
1814:  SR - Szczególnie jak był COVID, to już w ogóle było zmianę w ciągu dwóch lat, nagle było wszystko zupełnie inaczej.
1819:  KMM - No więc wiesz, krótko mówiąc, potrzebujemy czegoś, co będzie na miarę.
1823:  KMM - Na miarę jednej osoby edukacja.
1825:  KMM - Oczywiście na poziomie podstawowym nie, ale przypominam, że na poziomie podstawowym my też nie pamiętamy, co jest najważniejsze w edukacji.
1830:  KMM - Najważniejsze jest czytanie, liczenie, słuchanie, mówienie.
1835:  KMM - To są kompetencje, które są istotne.
1837:  KMM - A potem wchodzą do tego jeszcze kompetencje na wyższych etapach szkoły zdania obywatelskiej, które z perspektywy państwa są istotne.
1843:  KMM - Historia z perspektywy państwa jest istotna, bo to jest budowanie tożsamości.
1846:  KMM - Nie historia literatury, tylko historia.
1849:  KMM - Jeżeli chodzi o czytanie tekstów, to potrzebujemy kompetencji po prostu do czytania tekstów, różnych tekstów.
1853:  KMM - Potrzebujemy kompetencji do pisania tekstów, niewątpliwie.
1855:  KMM - I oczywiście masz ścieżki profesjonalizacyjne.
1858:  KMM - Jeżeli ktoś zaczyna się interesować czymś, biologią, fizykochemią itd., to wtedy idzie w tym kierunkach.
1864:  KMM - Natomiast nauki podstawowe, to nauki podstawowe.
1867:  KMM - Tego nie wyrugujesz, prawda?
1868:  KMM - Ale jeżeli ktoś ma jakieś zainteresowanie i zaczyna je kształtować, to w którymś momencie zaczyna się to pojawiać.
1873:  KMM - Na wczesnych etapach kształcenia trzeba to rozbudzać.
1875:  KMM - Jak się rozbudza zainteresowania?
1876:  KMM - Przez zabawę, przez...
1878:  KMM - Doświadczenia przez eksperymentowanie i tego w szkołach mega brakuje.
1881:  KMM - I nie tylko w szkołach, zresztą licealiści przychodzą na uczelnie bardzo często, albo gimnazjaliści, albo ludzie z podstawówek, znaczy teraz nie ma gimnazjów, właśnie, aha, boomerstwo się odezwało.
1891:  KMM - No więc jak ludzie z podstawówek przychodzą, to czego oczekują?
1896:  KMM - Doświadczeń.
1896:  KMM - bo tamtego nie ma po prostu, więc na AG bardzo często właśnie takie są spotkania z ludźmi ze szkół i tam zawsze są doświadczenia fizyczne i chemiczne i ludzie mają takie oczy, bo wcześniej widzieli to w podręcznikach, wydrukowanych oczywiście, z jakimiś obrzydliwymi rysunkami, natomiast nie mieli tego w realu i tego brakuje, a to jest zabawa, ciężkiej cholery i jak się mówi o zabawie w szkole i rzuca się takie hasło,
1919:  KMM - pedagogiczna, która jest znana od lat.
1920:  SR - Nie no, jak w szkole to się nie masz bawić, no przecież szkoła to jest dyscyplina.
1924:  KMM - A tymczasem szkoła po grecku to jest czas wolny i wiesz, point proven.
1928:  SR - No ale cóż, no.
1928:  SR - Znaczy to wtedy ci mówią zazwyczaj, że czasy się zmieniły, to już nie jest tak jak w czasach starożytnej Grecji, tylko teraz, tak, teraz jest zupełnie inaczej, teraz ma być ordnum.
1937:  KMM - Tak, to mówią, że czasy się zmieniły, a potem mówisz, że czasy się zmieniają i mówią, nie, ale ma być tak, jak było w XIX wieku.
1941:  SR - Tak, tak, tak, dokładnie, dokładnie, dokładnie.
1944:  SR - Zaczęliśmy w sumie od końca twojego doświadczenia, więc cofnijmy się o wiele wcześniej.
1949:  SR - Czy jakieś Twoje doświadczenia ze szkoły, bo wspominałeś o rodzinie i tak dalej, o kuratorach i tego typu rzeczach, czy jakieś Twoje doświadczenia ze szkołą, z nauczycielami albo z kolegami ze szkoły spowodowały, że chciałeś wyruszyć na tą wojnę ze szkołą później?
1964:  SR - Czy to jakoś kiełkowało w Tobie, czy po prostu to nastało z jakimś konkretnym momentem, jak już wkroczyłeś w tą drogę bardziej studencką?
1971:  KMM - Bardzo rozczarowującą mam dla Ciebie odpowiedź.
1973:  KMM - W całym swoim życiu chyba nie wiem, może miałem jedną czwórkę, zawsze miałem pasek, zawsze miałem wszystkie stypendia.
1980:  KMM - Prawda jest taka, że ja dostałem tak po głowie na postulat doktorancki dlatego, że to był pierwszy moment, kiedy mi się coś nie udało.
1988:  SR - Ale to od rodziców dostałeś po głowie?
1990:  KMM - A w życiu, rodzice zawsze mnie wspierali.
1992:  KMM - Dostałem po głowie od życia.
1994:  KMM - Natomiast dostałem po głowie od życia jako człowiek, który zawsze z wszystkiego był najlepszy.
2000:  KMM - I nagle się okazało, że to nie wystarczy.
2002:  KMM - I to jest bardzo bolesna lekcja.
2004:  KMM - I wiesz, powiem Ci tak, ktoś mógłby powiedzieć, że dobra, ja nie uważam, że dobra, ponieważ do dzisiaj się mój organizm z tego leczy na najróżniejsze sposoby.
2014:  KMM - Wydaje mi się, że to jest łatwa taka diagnoza, że jeżeli ktoś coś krytykuje, to znaczy, że mu nie szło.
2019:  KMM - I to jest precyzyjnie powód, dla którego ja głośno krytykuję.
2021:  SR - Ale nie, bo powiedzieli, że to jest rozczarowująca odpowiedź.
2024:  SR - Moim zdaniem to jest świetna odpowiedź pod tym względem, że... Znaczy wiesz, że nie było żadnych pikantnych historii, które ci mogę sprzedać.
2030:  SR - Zobacz z tej perspektywy, że większość osób patrzy na takie osoby, które uczą się świetnie, są prymusami i tak dalej, jako osoby, które są idealnym dowodem na to, że ten system działa.
2041:  KMM - O nie, absolutnie jest na odwrót.
2043:  SR - Jest na odwrót, ale ludzie tak sądzą.
2044:  KMM - Jest na odwrót, bo to jest niemiła narracja.
2046:  KMM - To znaczy, że ludzie, którzy są ambitni, którzy wszystko wychodzi, potrzebują najwięcej pomocy.
2052:  KMM - To jest bardzo niepopularna opinia, bo zauważmy, że w pedagogice specjalnej na przykład jest pogląd, że no tak, masz na przykład dwójkę nauczycieli, bo ktoś ma, jak to się pięknie mawia, trudności edukacyjne.
2063:  KMM - Prawda jest taka, że ta dwójka nauczycieli może być potrzebna właśnie także dla osoby, która ma trudności edukacyjne zupełnie z innego krańca spektrum, to znaczy jest za dobra w czymś.
2073:  KMM - I jak ktoś jest w czymś za dobry, szybko ci idzie, nie?
2075:  KMM - Co robisz, jak ci idzie za szybko?
2077:  KMM - Zaczynasz prokrastynować albo, nie wiem, ja akurat tak miałem, że uciekałem w fajne miejsca, które potem mnie zaprowadziły właśnie zawodowo w jeszcze fajniejsze miejsca, to znaczy ja zawsze uciekałem w świat fantastyczny i w gry.
2089:  KMM - Hej, tym się teraz zajmuję.
2090:  KMM - A co jeśli ktoś ucieka na przykład w złe towarzystwo wtedy?
2093:  SR - Albo alkohol, używki i tak dalej.
2095:  KMM - Co jeść?
2096:  KMM - Używki to jest ciężki temat w ogóle, biorąc pod uwagę ludzi ambitnych, którzy się dopalają właśnie na najróżniejsze sposoby.
2103:  KMM - To oni się dopalają, żeby szybciej wszystko zrobić, żeby to działało bardziej i lepiej.
2108:  SR - Ale często jest tak, że właśnie osoby ambitne mają przez całe życie właśnie taki zastrzyk, że jest wszystko super, mają te piątki, a później wchodzą do korporacji i nagle wszystko się zmienia o 180 stopni i wtedy trzeba się dopadać, żeby osiągać te same wyniki, w cudzysłowie, jak właśnie w liceum, podstawówce i tak dalej.
2124:  KMM - Co więcej, możesz mieć tak, że masz przykładowo same te nieszczęsne piątki, to jest dłuża dyskusja, ponieważ to jest uzależniające.
2132:  KMM - I o tym się rzadko mówi.
2134:  KMM - No ceny przez to, że stały się walutą, są uzależniające.
2136:  KMM - Dlatego trzeba je dewaluować.
2138:  KMM - One nie mogą być walutą.
2140:  KMM - One muszą mieć wartość merytoryczną, bo tego nie jesteś w stanie kupić.
2143:  KMM - A piątkę jesteś w stanie kupić.
2145:  KMM - To jest znana rzecz.
2147:  KMM - Każdy, kto kiedykolwiek robił jakiś specjalny projekt, żeby dostać walutę, dobrze wie, o czym mówię.
2153:  KMM - I
2154:  KMM - To sprawia, że jeżeli nagle dostajesz niższą notę, niższy stopień, to myślisz sobie, że Boże, to jest tragedia, życie Ci się załamuje.
2163:  KMM - I ja pamiętam swój lęk i swój strach teraz retrospektywnie, który ja uważałem jako dobry i motywujący, jako coś, co było absolutnie złe.
2172:  KMM - i demotywujące, bo ja tych rzeczy, do których się wtedy zmotywowałem, pamiętam, nie korzystam z nich zupełnie, a rzeczy, do których się sam zmotywowałem w którymś momencie, i to było w czasach szkolnych, żeby nie było, bo to było w liceum, i ja się zmotywowałem wtedy rzeczywiście do olimpiady, ja z tego korzystam do dzisiaj, pamiętam to do dzisiaj.
2188:  KMM - Więc wiesz, mam sytuację z doświadczenia, empiryczną taką, że z jednego okresu edukacyjnego jednych rzeczy w ogóle nie pamiętam, a drugie rzeczy super pamiętam.
2199:  KMM - I to jest też coś, co fajnie byłoby sobie samemu sprawdzić w ramach autodiagnozy i samorefleksji, czy ja też nie miałem takich sytuacji w swoim życiu.
2207:  KMM - Sporo ludzi ma.
2208:  KMM - I to jest też wniosek dla nas do wyciągnięcia, co działa faktycznie dobrze jako metoda edukacyjna.
2214:  KMM - Miałem natomiast rzeczywiście tak, jeżeli mówimy o przykrych doświadczeniach, to...
2218:  KMM - Miałem doświadczenie bullyingowe, ale wiesz, problem polega na tym, że ja też zacząłem to robić.
2223:  KMM - Bo właśnie na tym to polega, że w którymś momencie włącza ci się reakcja obronna, że nie chcesz już być ofiarą, więc teraz będziesz sprawcą.
2231:  KMM - Ja się z tego do dzisiaj nie mogę przed sobą samym wytłumaczyć.
2234:  KMM - I jest mi z tego powodu strasznie głupio, ale wiem, że nie byłoby tego, gdyby właśnie nie ta sytuacja, która wymknęła się nauczycielom spod kontroli dawno temu.
2244:  KMM - I teraz sobie myślę,
2246:  KMM - Ja pierdziele, co by było dzisiaj w czasach TikToka?
2249:  KMM - Znaczy, jak ja sobie wyobrażę rzeczy, które myśmy robili z kumplami... Teraz to obejrzy 100 tysięcy osób na TikToku.
2255:  KMM - Jako ci właśnie, wiesz, niby niewinne żarty, a tak naprawdę robiliśmy komuś krzywdę.
2260:  KMM - I vice versa, rzeczy, które mnie robiono i teraz bym sobie to przemnożył przez 100 tysięcy wyświetleń.
2266:  KMM - Ja jestem przerażony, jak sobie o tym powiem.
2267:  SR - I jeszcze też podejdź z perspektywy rodzica na przykład do tego.
2270:  SR - No więc właśnie.
2270:  SR - Bo rodzice do tego podchodzili wtedy często ignorując to na przykład, a teraz jak to zignorują, to faktycznie to może nawet milion osób zobaczyć.
2278:  SR - I to jest strasznie ciężkie z dwóch stron tak naprawdę, ale wydaje mi się, że to, co powiedziałeś, że ten bullying się jakby roznosi, to ja mam wrażenie, że ten przykład często idzie z góry, że często nauczyciele są takimi trochę, robią takie podśmiechujki z dzieci i tak dalej i oni wskazują na to, kto jest tym gorszym uczniem, z kogo można się bardziej pośmiać, pokazują też władzę i później ty jako dziecko widzisz, że ktoś ma nad tą władzę, chcesz mieć władzę nad kimś.
2306:  SR - Pamiętam to.
2306:  SR - Ja myślę, że to każdy przechodził w pewnym sensie.
2309:  SR - Chyba, że ktoś jest naprawdę zamknięty w sobie często w podstawówce, bo zdarzają się też takie osoby, ale ja pamiętam ze swojej podstawówki, że każdy miał praktycznie kogoś, kogo w pewnym sensie jakoś robił właśnie bullying czy trolling, masę takich rzeczy.
2322:  KMM - No bo to jest szerokie określenie.
2324:  SR - Ale to się uważa za normalne.
2326:  SR - To się uważa za normalne, bo dzieci tak mają, dzieci są złośliwe, nie?
2330:  KMM - Problem z bullyingiem jest taki, że zauważa się to dopiero wtedy, kiedy komuś stanie się krzywda fizyczna.
2335:  KMM - Natomiast krzywdy psychicznej się nie zauważa i przed nią się nie chroni w ogóle, ale to jest dlatego, że my nie mamy czasu na rozmawianie.
2341:  KMM - Bo zauważ, że w tych... Dlatego mnie też strasznie wkurwia ten argument o tym, że szkoła służy socjalizacji.
2350:  KMM - Czyli tak, 45 minut lekcji, gdzie nie możesz rozmawiać, a potem 5 minut, gdzie masz jednocześnie iść siku, zjeść, napić się i socjalizować się.
2359:  KMM - Dobrze, potem jest 10 minut albo 15, czyli idziesz na dłuższe siku albo na dwójkę, albo próbujesz zjeść obiad, którego nawiasem mówiąc nie powinno się jeść 15 minut.
2370:  KMM - I co?
2370:  KMM - Gdzie jest ta socjalizacja?
2372:  KMM - Nie ma tej socjalizacji.
2373:  KMM - Ten sam problem mamy na uczelniach, nawiasem mówiąc, że na przykład na AGK-u jest fajnie o tyle, że jest jeden kampus i wszyscy siedzą w jednym miejscu, więc faktycznie mijają się ze sobą, są akademiki, ale i tak nie mamy bazy dla wszystkich studentów.
2386:  KMM - A tymczasem uczelnie historycznie były powoływane w miejscach, gdzie właśnie była socjalizacja na pierwszym miejscu.
2391:  KMM - I też szkoła była takim pomysłem, że dobra, zbudujemy miejsce, gdzie mogą pójść dzieciaki z wiosek okolicznych, żeby ten nauczyciel nie musiał chodzić, jak u Marii Dąbrowskiej, po wszystkich tych małych wioseczkach, tylko teraz przyjdzie Mahomet do góry, a nie góra do Mahometa, więc będzie lepiej, będzie praktyczniej.
2410:  KMM - No ale zrobiliśmy z tego karykaturę, bo zapominamy, po co się tam mamy wszyscy spotkać.
2415:  KMM - Wiesz, na przykład taka prosta rzecz, którą można zrobić, że masz stoły robocze, warsztatowe i nauczyciel w roli moderatora, który chodzi między nimi, ale uczniowie siebie sami uczą.
2425:  KMM - Czyli wiesz, masz ściąganie, ale uczysz ludzi ściągać.
2428:  KMM - Czyli uczysz ludzi, że ty nie masz odpisać, tylko masz zrozumieć.
2432:  KMM - I siedzisz przy dwóch osobach i patrzysz, jak ona uczy tę drugą.
2436:  KMM - I wchodzisz w momencie, w którym ona zaczyna uczyć źle.
2439:  KMM - Czyli na przykład, jeżeli kolega ci mówi, że ty głupi jesteś, że tego nie rozumiesz, nauczyciel wchodzi w tym momencie i mówi, masz mu to wytłumaczyć bez używania przymiotników.
2447:  KMM - Jakichkolwiek.
2448:  KMM - Czyli nie, że wybitnie to zrobiłeś, nie, że głupio zrobiłeś, tylko dobrze to zrobiłeś i wyjaśnić jak, nie?
2454:  KMM - Albo nie, to musisz to poprawić.
2456:  SR - A to jest super, bo teraz uświadomiłeś mi, że gdyby ktoś tak uczył mnie na przykład, to to jest nie dość, że przydatne w pracy, bo tłumaczysz innym w pracy właśnie, jak mają pracować, a później nawet właśnie w rodzicielstwie, bo tłumaczysz swojemu dziecku, jak ma się uczyć.
2469:  SR - To jest świetne.
2470:  KMM - Budujesz zespół też łatwiej wtedy.
2471:  SR - Tak, zdecydowanie.
2472:  KMM - No moi rodzice ze mną tak rozmawiali, wiesz, za każdym razem, tak samo jak robiłem coś, czego im się nie podobało, nie?
2477:  KMM - Mamy przykład, nie wiem, długo grałem w grę wideo, to mama przy mnie siadała i pytała, co cię tak zainteresowało, że ścisz tutaj tak długo?
2483:  KMM - To jest zupełnie inny sposób na powiedzenie tego samego, to znaczy siedzisz za długo na kompie, masz szlaban.
2490:  KMM - Ale jeżeli przyjdziesz i zadasz takie pytanie, to człowiek się czuje niesamowicie dowartościowany, bo każdego dzieciaka wkurza niesamowicie to, jeżeli nie traktuje się poważnie tego, czym on się zajmuje, a to jest dla niego cały świat, nie?
2503:  KMM - Albo ta gra, albo to, co widzi na Instagramie, też może być całym światem, tak?
2507:  KMM - I w momencie, w którym na przykład, nie wiem, dziewczynka przegląda sobie na Insta wyfiokowane fotki modelek i wydaje się, że tak wygląda każda kobieta, to może tato albo mama przyjść i zapytać, a w zasadzie czemu nam się coś się tam w tym podoba i porozmawiać o czymś.
2521:  KMM - I w którymś momencie ci rodzice też się tego uczą.
2524:  KMM - To nie jest tak, że rodzic krystalizuje się gdzieś w jakimś zagajniku, gdzie jest porost tyberium, jak w Command & Conquer, i wykrystalizuje się rodzic.
2534:  KMM - On gdzieś się uczy.
2537:  KMM - Dlatego właśnie szkoła jest takim epicentrum trochę tego naszego życia, bo my możemy nauczyć przyszłych rodziców, jak nie być madykami.
2545:  KMM - Zamiast, żeby się śmiać z madek w social mediach, które robią rzeczy straszne, od szarentingu poczynając, a kończąc na szarentingu, bo to są najgorsze rzeczy, które robią madeki w social mediach, to powinniśmy się zastanowić, gdzie ich tego nauczyliśmy.
2560:  KMM - Nauczyliśmy ich w szkole, kiedy w ogóle ta sfera była egzorcyzmowana i nie mówiono o tym, że na przykład trzeba dbać o swoją prywatność.
2567:  KMM - Taka pierwsza rzecz podstawowa.
2569:  KMM - Ja nie wiem, jak byłbym wściekły, gdyby moje jakieś zdjęcia z dzieciństwa się gdzieś pamiętały.
2574:  KMM - mają problemu z tym, żeby wrzucić nagłą fotkę dziecka do social mediów, no, w kąpielówki.
2580:  SR - Przecież to jest niemowlę, przecież to jest niemowlę, nie ma znaczenia.
2584:  SR - No, ale to, oni tego nie ogarniają często, zresztą ja to tłumaczę często swoim dziadkom, to jest po prostu temat rzeka.
2590:  S04 - To jest temat rzeka.
2591:  SR - Dobrze, że wspomniałeś o Tyberiu, bo chciałem trochę zejść od tej edukacji, bo jesteś na pewno codziennie męczony tymi tematami, więc przyjdźmy do czegoś przyjemniejszego.
2604:  SR - Czy wolisz, a zresztą to nawet nie jest pytanie czy, tylko dlaczego, wolisz światy fantastyczne od tych bardziej realistycznych, od tych, które są bardziej stworzone na kanwie naszej rzeczywistości?
2615:  SR - Co cię bardziej ciągnie do tych właśnie, jeśli faktycznie cię ciągnie, ale zakładam, że tak, co cię ciągnie właśnie do tych światów wykreowanych przez kogoś od zera praktycznie często?
2624:  KMM - No wiesz, bo tego nie ma po prostu w naszym świecie.
2627:  KMM - Ja miałem akurat to szczęście, że było mi dane sporo podróżować, więc miałem takie poczucie, że jeżeli chcę coś zobaczyć, to to zobaczę prędzej czy później.
