Jak wyrażać EMOCJE nie raniąc innych? Małgorzata Majewska i @KrzysztofMMaj | 54
🔗 https://www.youtube.com/watch?v=ALkJDuJKjtQ
KMM (Krzysztof M. Maj)
MM (Małgorzata Majewska)

0:  MM - Język ci bardzo wyraźnie pokazuje jedno.
1329:  MM - Natomiast jeżeli ja mam, wiesz, odrobione lekcje z własnymi granicami, to ja ci mogę powiedzieć, stary, okej, ja mam przestrzeń na twoje trudne, natomiast jak jeszcze raz, nie wiem, wiesz, nie nakarmisz mojego psa, jak cię poproszę, no to ja stracę zaufanie, tak?
1342:  MM - Bo jeżeli cię proszę, a wyjeżdżam, no to to jest dla mnie ważne, żeby mój pies nie był głodny.
1347:  MM - Ale zobacz, tam jest znowu taki, trzeba się zmierzyć w sobie z lękiem przed byciem nielubianym.
1353:  MM - Że ty pomyślisz, że taka piczka zasadniczka ze mnie.
1356:  MM - Ja się tego bardzo bałam długo, że jak ludziom powiem, albo na przykład, ja mam taki problem, że bardzo wiele osób myśli, że dla mnie rzucenie okiem na ich tekst to jest przyjemność.
1371:  KMM - O tak, to się często zdarza.
1373:  KMM - Przyjemność, za którą się nie płaci oczywiście, bo wszyscy powinniśmy poprawiać cudze teksty za darmo.
1379:  MM - Więc ja się zawsze śmieję, że jak na kampusie znajdziecie trupa studenta, to to będzie student, który podszedł do mnie i powiedział, jak pani ma chwilkę, to mogłaby pani rzucić okiem.
1388:  MM - I daje mi swoją książkę 300 stron.
1390:  MM - I teraz to nie o to chodzi, bo wiesz, ja mogę tą książkę popatrzeć, tylko że to nie jest tak, że jak ja mam wolną chwilę, to mam zgodę na to, żeby ktoś mi tą wolną chwilę zagospodarował.
1401:  MM - I to jest to, bo to jest taka sytuacja, którą ja też znam z życia prywatnego na przykład, kiedy ktoś mówi, na przykład ja mówię, wiesz co, nie przyjdę tam na jakiegoś grilla czy domówkę, bo jestem zajęta, a ktoś mówi, to daj sobie chwilę luzu.
1415:  MM - I ja mam zawsze takie pytanie, hej, może sobie sama zdefiniuję, jak ja bym ten luz chciała widzieć, wiesz.
1421:  MM - A teraz zobacz co ludzie za mnie definiują, że luz to jest kawa z nimi.
1426:  MM - Czasem tak, czasem nie, ale to ja bym chciała podjąć decyzję.
1428:  KMM - To jest fundamentalnie istotne, co mówisz o tym stawianiu granic, bo wiele razy spotkałem się na przykład z kolegami, koleżankami akademickimi, którzy zafascynowawszy się tym, że można robić inną dydaktykę, stwierdzili, dobra, dobra, dobra, to ja przychodzę ze wszystkimi studentami na ty i teraz, numer.
1444:  KMM - Zamiast, żeby powiedzieć, możecie do mnie mówić tak, jak chcecie, tak, jest wam wygodnie, to oni powiedzieli, że no dobrze, to ja jestem Tomek i teraz wszyscy mówicie mi na ty.
1453:  S02 - No to jest przemoc dla mnie.
1455:  KMM - Dokładnie tak.
1456:  KMM - I to jest właśnie ta sytuacja wtedy, o czym cały czas mówisz, że zagarniasz część czyjegoś świata, nie zapytawszy go o jego granice.
1465:  MM - Wiesz, ale to jest też tak naprawdę zabranie tym dzieciakom poczucia bezpieczeństwa.
1469:  MM - Bo co innego, jak ja tutaj wam proponuję przejście na te, ale my nie mamy żadnych zależności formalnych, prawda?
1475:  MM - Czyli nawet jak się z tym czujesz niekomfortowo, to może być tak, że już po prostu nigdy nie będziesz chciał mnie blisko.
1480:  MM - A co innego, jak ktoś musi chodzić do mnie przez pół roku i mało tego, trochę mam taką władzę symboliczną, no bo ja w usosie mu wpiszę tę ocenę, a nie on mnie.
1489:  MM - I wtedy uważam, że najważniejsze jest jego poczucie bezpieczeństwa.
1492:  MM - To jest tak samo, jak są prowadzący, którzy używają wulgaryzmów na zajęciach.
1496:  MM - A wulgaryzm zmniejsza dystans.
1498:  MM - Teraz wiesz, prywatnie jak ja jedę na zajęcia, to ja nie chcę ci wiedzieć, jak myślę o tym, kto mi zajedzie drogę na alejach.
1505:  MM - I to nie jest znak pokoju i nie jestem wtedy Gandim.
1508:  MM - Ale to jest mój zamknięty samochód.
1511:  MM - Natomiast w momencie, kiedy ja wchodzę na zajęcia, to najważniejsze jest, żeby oni się czuli bezpiecznie.
1516:  MM - Więc jeżeli to jest tak, a bardzo często jest tak na zajęciach, że oni opowiadają prywatne historie, czyli ktoś mi mówi, a wie pani, bo mój chłopak, mówi celownik wpływu, to kiedy ktoś mnie wpuści w swoją przestrzeń, że ma chłopaka, to dla mnie to jest okej, bo on wyznacza granice, ale ja nie mogę zapytać, a masz chłopaka?
1533:  MM - Nie mogę kogoś zapytać na przykład o orientację.
1535:  MM - Inna sprawa, że u mnie i tak już na pierwszych zajęciach wszyscy mówią o jaka orientacja, szczególnie osoby niebinarne, bo wtedy pytają o język.
1542:  MM - Ale wiesz, ale to jest ich ten, prawda?
1544:  MM - Ja zawsze mówię, to ja jestem tu dla was.
1545:  MM - W każdej sytuacji zależności.
1548:  MM - Tak, no bo ja mam właśnie tą chwilową władzę, ona tylko trwa dopóki uzas jest aktywny, na szczęście.
1554:  MM - I później bardzo chętnie przechodzę po imieniu, bo ja wolę po imieniu.
1557:  MM - Ale wiesz, ale skrócenie dystansu w momencie, kiedy na przykład ja mam komuś prowadzić pracę tam licencjacką, czy magisterską, licencjacką bardziej, i później go muszę oblać, jest nieuczciwe.
1567:  MM - Prawda?
1567:  MM - Bo ktoś mówi, a taka się fajna wydawałaś.
1570:  MM - Więc uczciwsze jest trzymanie dystansu właśnie, żeby ktoś się czuł bezpiecznie.
1574:  MM - Wiesz, ja w ogóle mam problem z tym dystansem, bo z jednej strony zawodowo, jak pracuję w mediach, wszyscy jesteśmy po imieniu i to jest takie naturalne.
1582:  MM - Natomiast równocześnie mam wrażenie, że ta taka
1586:  MM - taki, wiesz, znowu mit, że im bliżej, tym lepiej, no nie zawsze.
1589:  KMM - No nie, no to wystarczy spojrzeć na filmy, w których właśnie jest taka niby familiarna atmosfera, że wszyscy są per ty, a tak naprawdę dobrze wszyscy wiedzą, że to jest sztuczne.
1598:  KMM - Jeżeli ktoś się nie przyjaźni ze swoim senior project managerem, bo oczywiście nie może być polskiej nazwy, to się nie będzie przyjaźnił, nawet jeżeli będzie się uśmiechał i mówił, tak, Edytko.
1608:  KMM - No.
1609:  KMM - Zawsze uważamy, że problem się zaczyna wtedy, kiedy nie ma tej społeczności, która ze sobą ustala, między sobą różnego rodzaju zależności.
1616:  KMM - Ale znowu, wydaje mi się, że problem może być o tyle szerszy, że nas się nie za bardzo uczy tworzenia tej społeczności.
1623:  KMM - Takiej wiesz, w której rzeczywiście będą wyznaczone granice równe.
1626:  KMM - Mnie na przykład, że odwołam się do swoich doświadczeń, zawsze rodzice tłumaczyli,
1631:  KMM - dlaczego coś zrobiłem źle.
1633:  KMM - Ja nigdy nie dostałem kary, która jest bezsensowna.
1637:  KMM - Nigdy na mnie nikt nie krzyczał bez sensu.
1639:  KMM - Zawsze miałem wyjaśnienie.
1640:  KMM - Ja się do tego tak przyzwyczaiłem, że jak trafiłem do szkoły i dostałem po raz pierwszy, do dzisiaj pamiętam, czarne kółko,
1647:  KMM - Cokolwiek by to znaczyło, tak?
1649:  KMM - I to było straszne oczywiście.
1651:  KMM - I nikt mi nie wyjaśnił dlaczego.
1653:  KMM - I ja chciałem wiedzieć, co mam zrobić, żeby nie mieć go i żeby mieć czerwone kółko, które było dobre dla tych, którzy nie wiedzą, co ten dziwny system oznaczał.
1660:  KMM - Ale z drugiej strony jesteśmy na uczelni, więc my znamy system punktowy, który też nic nie znaczył, więc być może dużo osób zrozumie.
1665:  KMM - W każdym razie ta dziwna, dziwna hierarchia u mnie zaburzyła właśnie poczucie bezpieczeństwa, bo ja nie wiedziałem, co ja zrobiłem źle i nie wiedziałem, co można zrobić dobrego, żeby zostać wynagrodzonym.
1676:  MM - No straciłeś mu to odniesienie.
1678:  MM - Ja myślę, że my nie jesteśmy w takim treningu społecznym uczeni tego, że mamy prawo do odmowy bez tłumaczenia się.
1686:  MM - Zwróć uwagę, że ja to zauważyłam w języku, że bardzo często kiedy ja odmawiam z miejsca prawa do odmowy, bo nie muszę czytać czyjeś książki w wolnym czasie...
1694:  MM - To ludzie to odbierają jako odrzucenie.
1696:  KMM - No tak, oczywiście.
1697:  MM - I to po prostu personalnie.
1699:  MM - I teraz ja tak się zaczęłam zastanawiać, dlaczego tak jest.
1702:  MM - I właśnie chyba wyszło mi z tego, że ja też nie mam takich doświadczeń społecznych, wiesz, że odmowa jest okej.
1708:  MM - A przecież ona jest okej.
1710:  MM - Ona jest w porządku.
1713:  MM - Teraz mnie poprosili takie towarzystwo seksuologiczne, poprosiło mnie do takiego bardzo ciekawego skomentowania językowego, bardzo ciekawej obserwacji czy takiego eksperymentu, który robią.
1724:  MM - Mianowicie okazuje się, że w pokoleniu teraz tego, który używa aplikacji typu Tinder i inne aplikacje randkowe,
1730:  MM - Tam dzieje się bardzo duży problem, dlatego że korzystanie z takich aplikacji zawsze nieodłącznie wiąże się z rozczarowaniem.
1737:  MM - To znaczy zawsze się lepiej wypada w tym, jak się prezentujemy na tym zdjęciu, jaki mamy opis, niż w rzeczywistości.
1744:  MM - I teraz wiesz, to jest pokolenie, które w ogóle nie jest nauczone tego, że ludzie się mają prawo spotkać w realu i powiedzieć, no nie jestem zainteresowany.
1754:  MM - bo ja nigdy nie miałam takiej aplikacji, jestem z innego pokolenia, poza tym też nie mam potrzeby, ale wyobraź sobie hipotetycznie taką sytuację, że dwójka ludzi umawia się na seks na przykład, no bo rozumiem, że te aplikacje też do tego służą i się spotykają i nagle jedna osoba nie czuje tego.
1766:  MM - I teraz wyobraź sobie, jakie to musi być dewastujące dla drugiej strony, no bo nie ma językowych środków powiedzenia, słuchaj, wiesz co, wydawało mi się, że tak, ale jednak nie, ale nie bierz tego osobiście, to nie chodzi o to.
1778:  MM - Tylko jestem prawie pewna, że w momencie, kiedy to nie się zadzieje, to druga osoba wraca do domu i zastanawia się, co ze mną nie tak.
1785:  MM - Takiego miejsca wstydu.
1787:  MM - Prawda?
1787:  MM - Jestem zła, jestem zły, bo mnie nie chciał.
1790:  KMM - A to jest potężny problem, bo z jednej strony paradoksalnie właśnie mamy łatwość w zawiązywaniu znajomości, zadzierzgiwaniu kontaktów i również poznawaniu partnerów, no bo social media,
1802:  KMM - Ale z drugiej strony właśnie jest epidemia samotności w naszej rzeczywistości.
1806:  KMM - Czy myślisz, że to może być jeden z powodów?
1809:  MM - Nie wiem, czy to jest jeden z powodów, ale w ogóle gdyby się o tym mówiło, bo jak ja o tym mówię na zajęciach i mówię, słuchajcie, ale to jest normalne.
1817:  MM - Pewnych ludzi chcemy blisko z różnych powodów, a różnych daleko i zobaczcie to w języku.
1823:  MM - Nawet wiesz, nie musi być w geście, że na przykład ja mam szklankę i nagle odsuwam od ciebie tą swoją szklankę.
1829:  MM - Czyli ciało też chce być dalej.
1832:  MM - Gdybyśmy to mieli nazwane, gdybyśmy mieli na to narzędzia, to wtedy wiesz, bo my tak trochę demonizujemy.
1839:  MM - Teraz gdzieś chyba Newsweek ma jakiś tekst, że TikTok niszczy młode pokolenie.
1843:  KMM - No tak, no zawsze jest coś, co niszczy jakieś pokolenie.
1844:  MM - Wiesz, a ja tak sobie myślę, no okej, ale jest ten TikTok.
1847:  MM - Używamy, korzystamy z niego, tak?
1849:  MM - To teraz nie straszmy, że on jest taki straszny, tylko przyjrzyjmy się albo dajmy tym dzieciakom, no dzieciakom, sama korzystam z TikToka, narzędzia do tego, żeby się w tym bezpiecznie czuć, prawda?
1860:  MM - Na przykład pokażmy, że pokazywanie tylko szczęśliwego życia jest iluzją, dlatego że jeżeli mamy tylko życie takie, jak ludzie mają na Instagramie, to to jest nieprawda.
1869:  KMM - Albus Dumbledore powiedział, że strach przed imieniem wzmaga strach przed samą rzeczą, nie?
1874:  MM - Kto by tak powiedział?
1875:  KMM - Albus Dumbledore.
1878:  KMM - Absolutny mój faworyt, jeżeli chodzi o magów i naukowców równocześnie.
1881:  KMM - Ale wiesz, dopytam... Fajne to.
1883:  KMM - Prawda?
1884:  KMM - No bo to o to chodzi w zasadzie, że przez to, że demonizujemy jakieś pojęcie, na przykład mówimy o uzależnieniu od smartfona, tak?
1893:  KMM - To od razu wprowadzamy bardzo poważną narrację, która wskazuje nam na problem medyczny
1898:  KMM - który swoją drogą jest niezbadany do końca, ponieważ żaden poważny naukowiec nie powie o uzależnieniu od sprzętu technologicznego.
1905:  KMM - Będzie mówił, tu jest jakaś mechanika, tu jest jakaś aplikacja, tu jest jakaś cyniczna strategia, prawda?
1910:  KMM - Ale ten skrót myślowy sprawia, że mamy łatwego wroga.
1913:  KMM - No tak, no przecież nic nie jest złego z naszą edukacją, nic nie jest problematycznego w tym, że nie mamy żadnych poradni psychologicznych w Polsce na tyle, na ile potrzeba.
1921:  KMM - No smartfony są winne.
1922:  KMM - No po prostu wystarczy ich zakazać i będziemy mieć problemy.
1924:  MM - Wiesz, to jest ciekawe, ja właśnie teraz kończę tą książkę o uzależnieniach, do końca czerwca ją mam napisać i bardzo wyraźnie, coraz bardziej jestem bliższa takiej konkluzji, że w ogóle nie ma znaczenia od czego jesteśmy uzależnieni.
1937:  MM - Że najważniejsze jest to, żeby zobaczyć, czy ktoś ma potencjał uzależnieniowy.
1941:  MM - Dla mnie potencjał uzależnieniowy ma osoba, która udaje, że nie ma pewnych emocji.
1947:  MM - Ja sobie te emocje na razie roboczo wymieniłam.
1949:  MM - To jest smutek, bezradność, bezsilność, złość, gniew, zazdrość, zawiść.
1954:  MM - Czyli jeżeli przychodzi ktoś do mnie i mówi, wiesz, ja w ogóle nie jestem zazdrosna, czy zazdrosny, to ja tam słyszę taki kawałek, boję się, że jak zobaczysz mnie zazdrosną, to mnie wykluczysz.
1964:  MM - I teraz jak ja słyszę w języku, że ktoś, wiesz, chce tylko mi sprzedawać swój pozytywny obraz, to ja sobie myślę, że jak to trudne się dobije, to trzeba go czymś zalać, zaćpać, zagrać, wiesz, kompulsywnym seksem, to nie ma znaczenia, zakupami, to w ogóle nie o to chodzi, prawda?
1983:  MM - się spotykam z tymi moimi bohaterami alkoholowymi, to oni z taką dumą ją, wiesz, już tam 160 dziennie pije.
1989:  MM - A ja sobie myślę, dobra, ale co zrobiłeś z tym, co ci to picie pozwalało nie czuć?
1994:  MM - I nagle się okazuje właśnie, że ktoś wszedł w pracoholizm, albo w seksoholizm, albo w zakupy.
1998:  MM - To nie ma znaczenia.
2000:  MM - A popatrz, demonizuje się ten alkohol, tak?
2002:  MM - Cały czas ta ustawa i tak dalej, tak?
2004:  MM - Teraz się smartfony, TikToka.
2006:  MM - Teraz wyobrażam sobie, że taki tekst nakręca na przykład rodziców, którzy widzą, że dziecko siedzi na telefonie na TikToku i winny jest TikTok.
2012:  KMM - Oczywiście.
2012:  KMM - Moja mama zadawała mi pytanie zawsze.
2015:  KMM - Co robisz?
2016:  KMM - Pokaż mi.
2017:  KMM - Siadała obok mnie, chciała się dowiedzieć.
2019:  KMM - Aktywnie, zawsze.
2020:  KMM - Niezależnie od tego, czy to były klocki Lego, z którymi byłem bardzo wkręcony, czy rysowałem, czy grałem na komputerze.
2026:  KMM - Zawsze było to samo pytanie.
2027:  KMM - I wydaje mi się, że brak tej rozmowy jest problematyczny.
2032:  KMM - Więc to od razu prowadzi mnie do konkretnego pytania.
2036:  KMM - Trzy rzeczy może, magiczna trójka, które byś wprowadziła do szkół, nieważne na jakim poziomie, żeby zagwarantować z perspektywy państwa, że będziemy mieli jakiś wpływ na to, jak wychować świadomych językowo obywateli, bo nie mamy gwarancji, że rodzice będą tacy jak na przykład moja mama.
2054:  MM - Pierwsze, co bym wprowadziła, to już ja ci bardzo konkretnie odpowiem, to by były zajęcia z metafory.
2058:  MM - Rozpoznaj metaforę, bo jeżeli potrafisz rozpoznać metaforę walki w sobie,
2063:  MM - Albo potrafisz, tam nawet przed chwileczką użyłeś słowa przeciwnik, nie?
2066:  MM - No to wiesz, zupełnie nie planowałeś, tak?
2070:  MM - Ale ja to widzę, że jak ludzie, wiesz, bo to jest świetne w związkach.
2073:  MM - Ja wiele lat pracowałam w ten sposób, że obserwowałam za lustra weneckiego terapię małżeństw.
2077:  MM - I jeżeli w terapii każdego związku ja słyszę metaforę walki, to oznacza, że przyznanie ci racji jest dla mnie utratą twarzy.
2084:  MM - Tak, tak, tak.
2085:  MM - I to jest, wiesz, oni mogą być w tej pierwszej fazie w ogóle jeszcze motylków, ale jak tam jest metafora walki, to to się nie uciągnie dalej.
2092:  MM - Wiesz, więc na przykład takie rozpoznawanie właśnie, jak ja sobie definiuję daną rzeczywistość, jak ja sobie definiuję taką daną relację.
2099:  MM - Tak, to nawet taka śmieszna historia, ale przyjechałam do wersji autem, który odebrałam w sobotę, a robiłam je w warsztacie bardzo bliskiej mi osoby, tak.
2108:  MM - I teraz dzisiaj wyjeżdżam z własnego garażu i sobie myślę, ej, patrz w lusterka, bo on cię zabije, jak znowu coś zrobisz z autem.
2115:  MM - Czyli zobacz, tam nie ma takiego kawałka, ej, gocha, bądź ostrożna, bo szkoda, żebyś znowu musiała auto naprawiać, tylko moim znajomym, który nomen omen twierdzi, że ja jestem fatalnym kierowcą, tak jest cały czas taka metafora walki, ja mu pokażę, że tego auta nie porysuję i to jest dziecięce.
2133:  KMM - Nie, ale to jest znowu potężna teza, bo przypominamy sobie jak w Tysiąc Plato, że Deleuze pisał, że faszyzm jest montowaniem machiny wojennej w dyskursie, w języku, więc to się skaluje niestety.
2144:  MM - I to jest w ogóle, jak się patrzysz na propagandę, ale to poczekaj, żebyśmy mieli te trzy najpierw rzeczy, a później pójdziemy.
2150:  MM - Czyli zobacz, jak ja już wyjeżdżałam z garażu i myślę, on mnie zabije, to pomyślałam imię, to sobie pomyślałam, odrzucasz odpowiedzialność.
2157:  MM - Zadaj sobie pytanie, czy przez swoją nieuważność nie rozwaliłaś tego auta.
2161:  MM - Czyli metafora.
2162:  MM - Druga rzecz, to jest kwestia sprawczości w języku i zewnątrz sterowności.
2167:  MM - Bo jeżeli ja czuję, bo popatrz, to jest tak, że naturalnie każdy z nas czuje wszystkie emocje.
2173:  MM - Ale jeżeli w domu dziecko miało powiedziane, no wiesz, taki duży chłopczyk, a pająka się boi, to ten chłopczyk w pewnym momencie zakuma, że żeby przetrwać, on musi udawać, że się niczego nie boi.
2183:  MM - W związku z tym będą denerwowały go dzieci, które się boją, ale przede wszystkim przestanie mówić też czasownikiem jestem.
2190:  MM - Nie powie mi, prawda, akurat tam nie będzie czasownika jestem, tylko boję się, pierwszy raz w walczu pojedynczej, tylko powie głupie pająki.
2200:  MM - Ja to mam przykład na innej emocji, bo analizowaliśmy ostatnio na zajęciach takie konstrukcje, jestem smutna, smutno mi, smutno mi tak jakoś.
2209:  MM - I teraz zobacz, jeżeli ktoś to mówi z czasownikiem jestem, to ja to słyszę z takiego miejsca, że masz zgodę na to, że widzę coś cię smutnego i wierzysz, że cię nie odrzucę.
2219:  MM - Ale jeżeli mówisz mi, smutno mi tak jakoś, to ten smutek jest widziany z zewnątrz.
2225:  MM - I teraz moje ucho obsesyjne, gramatyczne czeka, czy gdzieś użyjesz czasownika i jestem.
2230:  MM - Jeżeli go nie użyjesz, ja mam bardzo bliską osobę, która w ogóle nie używa czasowników niedokonanych.
2236:  MM - I teraz kiedy ja mam potrzebę na przykład, weź mi ojojaj, uwielbiam to z tych listków czasownik ojojać, to słyszę z drugiej strony, to po pierwsze zadzwoń tu, zrób tu, zrób tamto, zrób tamta.
2246:  MM - Czyli słyszę, że w tej osobie nie ma zgody na bycie w takim, jak to mówił mój tata, rozmemłaniu.
2252:  MM - Tylko tam od razu jest działanie.
2254:  MM - Czyli słyszę, że tam jest jakaś trudność z bezradnością i z bezsilnością.
2258:  MM - Teraz kiedy ja już to wiem, zobacz, to jak potrzebuję ojojania, to idę do innej osoby, do mojej przyjaciółki Agi, która doskonale mówi uuu, uuu, uuu, nie?
2267:  MM - A do niego już idę raczej z działaniem.
2270:  MM - I teraz widzisz, jak się pytasz, co to pomaga, no jeżeli ja cię potrafię wysłyszeć gramatycznie i nie używać tego przeciwko tobie, bo jeżeli zgłapiesz się na tym, że ja to chociaż raz użyję przeciwko tobie, to ja cię stracę.
2281:  MM - Ale jeżeli poczujesz się bezpiecznie i zobaczysz, że ja z twojej gramatyki potrafię zobaczyć, w jakim jesteś miejscu.
2288:  MM - Na przykład, czy masz miejsce na dialog, czy wiesz, jak moja przyjaciółka do mnie dzwoni i mówi, Gocha, w serniczku jest dużo białka, to ona nie chce wiedzieć, jak jest naprawdę, bo ona chce zjeść serniczek bez poczucia winy.
2300:  MM - Prawda?
2300:  MM - I to w ogóle nie jest z miejsca ilości białka w serniczku, tylko z miejsca ojojania.
2306:  MM - Tak, Aguś, możesz zjeść nawet dwa kawałki, tam jest dużo białka.
2311:  MM - I teraz zobacz, to zobaczyłam w gramatyce, powiedz mi, że...
2315:  MM - Nie?
2315:  MM - Bo mogła sobie to sprawdzić w Google'ach.
2317:  MM - Więc pierwsza rzecz to jest metafora, druga rzecz to jest gramatyka, szczególnie ta związana właśnie ze sprawczością i zewnątrzserownością.
2324:  MM - Ja jeszcze może powiem, żeby taki był porządek.
2326:  MM - Ta zewnątrzserowność chodzi o to, że jeżeli coś się dzieje, to ja patrzę, to wiesz, nie musi być bliska mi osoba, bo to w pociągu mogę zobaczyć kogoś, jutro będę jechać.
2337:  MM - Czy ona, pierwsza reakcja jest, bo ja?
2340:  MM - Na przykład, ale jestem głupia?
2342:  MM - Czy reakcja jest, bo ty?
2344:  MM - Wkurzyłeś mnie?
2345:  MM - Czy reakcja jest taka, no wiesz jaki ten świat jest okropny?
2348:  MM - Czyli mamy trzy kierunki, albo ja, albo ty, albo świat i wtedy ja widzę jak ktoś sobie oswaja trudne.
2355:  MM - No bo jeżeli rozwaliłam to auto ja, to teraz na coś muszę zrzucić.
2361:  MM - No bo strasznie mi jest trudno powiedzieć, słuchaj, rozwaliłam auto i to jest pełna moja odpowiedzialność.
2366:  MM - Dlatego, że w przeciwieństwie do ciebie ja się spodziewam kary, która będzie poniżeniem niejaka jestem głupia.
2372:  KMM - Ja w ogóle mam wrażenie, że ludzie często używają tego komunikatu ja wtedy, kiedy chcą w siebie przywalić, natomiast nie używają go wtedy, kiedy chcą zakomunikować swoje granice i to jest strasznie toksyczne dla nich samych.
2384:  MM - Tak, bo jeszcze zanim tego auta nie miałam, to jeździłam tramwajami i wiesz, pomyliłam tramwaj 52 z 50.
2391:  MM - Jeden jedzie na kampus, drugi nie.
2392:  MM - I wiesz, pierwsza moja była myśl, my, kretynko, przecież jak tego nie sprawdziłaś?
2396:  MM - A później sobie myślę, kurczę, jeździsz tymi tramwajami od czterech tygodni pierwszy raz od dziesięciu lat, bo nie masz auta.
2403:  MM - Hej!
2404:  MM - Pierwszy raz ci się zdarzyło.
2405:  MM - Zdarza się.
2406:  MM - Poza tym była, wiesz, tam szósta rano, a poza tym teraz robię taki duży projekt, piszę bardzo trudny tekst dla mojej mistrzyni Hanny Kral.
2414:  MM - I po prostu tak jestem tym przejęta, wiesz, jakby nic się nie stało.
2418:  MM - Ale zobacz, ja musiałam się tej czułości do siebie nauczyć, ale nie na takiej zasadzie olewki, tylko na takiej zasadzie, ej, no po prostu byłaś nieuważna.
2426:  MM - Tak?
2427:  MM - Ja lubię tą taką metaforę, że kiedy coś nam w głowie, wiesz, no teraz nad tym tekstem siedzę i bardzo mnie on stresuje, to to trochę jak mamy telefon i 30 aplikacji w tle otwartych, tak?
2436:  MM - I nagle nie wiesz, dlaczego masz pustą baterię.
2439:  MM - Nie?
2439:  MM - No.
2440:  MM - I ja teraz sobie pomyślałam, kurczę, mam otwartą aplikację, bardzo mi zależy na tym tekście, bardzo mi zależy na tym, żeby Hanny Kral się podobał.
2447:  MM - Po prostu nic się nie stało.
2449:  MM - Ale pierwsza właśnie była taka, wiesz, o ty kretynko, no jak mogłaś pomylić, no przecież widać było, że on skręcił i tak dalej, i tak dalej.
2456:  MM - Taki hejt na siebie.
2459:  MM - I teraz Jung by ci powiedział, że wszystko, co się dzieje w relacji interpersonalnej, dzieje się w relacji intrapersonalnej.
2465:  MM - Czyli jeżeli ten hejter na mnie w internecie mówi, że tam postawiłam kropkę albo nie postawiłam po czymś tam, czyli on mnie hejtuje, to ja sobie myślę, chłopie, ale ci trudno z samym sobą.
2475:  MM - No bo duże prawdopodobieństwo, że dokładnie tak samo do siebie mówisz.
2479:  MM - Bo świetnie możecie zobaczyć, jak wychodzicie spod prysznica i stoicie przed lustrem.
2485:  MM - I teraz zwróć uwagę, kto z nas sobie patrzy na swoje ciało i mówi, a jest okej.
2489:  MM - Najczęściej co mamy w języku?
2491:  MM - Fragmentowanie i minusik, ale mam brzuch, albo mam uda, albo to, albo tamto.
2497:  MM - Czyli my sobie to ciało kawałkujemy i mówimy to najczęściej negatywnie.
2502:  MM - No bo tak jesteśmy też bodźcowani w dzieciństwie, tak?
2505:  MM - Bo idziesz na święta do domu, czy ja jadę i babcia mówi na pewno chcesz trzeci serniczek.
2510:  MM - Swoją drogą to taki może być dla was ważny komunikat, komentowanie to ile jemy, jak wyglądamy jest formą przemocy, dlatego że cielesność jest naszą prywatną sprawą.
2519:  KMM - No właśnie, dużo ludzi nie rozumie, że to, co nazywamy, bo znowu nie mamy tego polskiego słowa fat-shaming, że kluczowa kwestia nie leży w tym, że diagnozujemy otyłość lub nie, bo do tego mają uprawnienia osoby uprawnione i które poprosimy o diagnozę, ale chodzi o ten drugi człon, o to zawstydzanie, prawda?
2537:  MM - Ale wiesz, ja mam proste pytanie, jeżeli ktoś jest osobą bardzo otyłą, to naprawdę zakładamy, że on o tym nie wie?
2542:  MM - Wiesz, bo to jest dla mnie o tym, nie?
2544:  MM - Bo jak słyszę, że ktoś mówi do kogoś, ty grubasie, ja serio myślę, ale dlaczego to on mówi?
2548:  MM - No żeby wiedział.
2549:  MM - Serio zakładasz, że jak ktoś waży, nie wiem, 160 kilo, to on stając przed lustrem sobie myśli, super, spoko, jestem fit?
2556:  MM - Czyż to jest choroba?
2557:  MM - Natomiast to tak samo jak z palaczami, jak się mówi, ale wiesz, że palenie szkodzi.
2561:  MM - Nie, po prostu wszyscy palacze myślą, że to wiesz.
2564:  MM - I wiesz, jak sobie myślę o tym fat-shamingu właśnie, bo bardzo często się mówi, że ta ciało pozytywność to promuje otyłość.
2570:  MM - A ja sobie myślę, kurczę, no nie wierzę w to, że ktoś, kto ma problem z zawiązaniem butów, związanym ze swoją nadwagą, wiesz, sam ze sobą się czuje super.
2578:  KMM - W ogóle trudno sobie wyobrazić, żeby ktokolwiek otwarty na komunikaty, które redukują zawstydzanie ludzi otyłych, pomyślał sobie, że w wyniku tego stwierdzi, okej, dzisiaj trzy zamówienia z Maca.
2590:  KMM - Bo to jest absurdalne, nikt w ten sposób nie myśli.
2592:  MM - Ale wiesz, to jest ten mem, prawda, że wiesz, tłum ludzi, których wzięło się w garść po tym, jak usłyszało weź się w garść, nie?
2599:  MM - I ten mem potwornie bawi, bo on jest dla mnie istotą problemu, nie?
2602:  MM - Bo ja mówię, serio zakładasz, ktoś powie, a dzięki, że mi powiedziałeś, nie zauważyłem?
2607:  MM - Wiesz, no na tym polega.
2608:  KMM - To jest dobra odpowiedź, bo ironia rozbraja sytuację konfliktową bardzo często.
2612:  KMM - Kiedy nie?
2615:  MM - Wiesz co, ja teraz przygotowuję dla Fundacji Rock'n'Roll takie wystąpienie na temat tego, jak ludzie chorzy onkologicznie obśmiewają swoją chorobę.
2624:  MM - To jest taka sytuacja, kiedy ja się kiedyś miałam spotkać, analizowałam język osób chorych i miałam się spotkać z pewnym panem, który był chory na raka płuc.
2635:  MM - Ja mówię, czy pan przyjdzie sam na spotkanie?
