Jak komunikować się bez HEJTU? Paulina Mikuła @mowiacinaczej  i @KrzysztofMMaj | 55
1425:  PM - I mam takie poczucie, że to się nie zatrzymało, to się nie uspokoiło, tylko coraz bardziej są ludzie źle do siebie nastawieni, ale wydaje mi się, że to też efekt polaryzacji i tego nastawiania jednej grupy na drugą.
1438:  PM - Ja na przykład nie opowiadam się po żadnej ze stron.
1443:  PM - Ja się boję radykałów i po jednej i po drugiej stronie.
1447:  PM - Światopoglądowo jest najbliżej do lewej strony, wiadomo, ale też rozumiem tych ludzi po prawej.
1454:  PM - I mnie brakuje w przestrzeni publicznej takiej sytuacji, w której usiedlibyśmy z takim nastawieniem, że ja próbuję zrozumieć ciebie, a ty mnie.
1463:  PM - Bo my teraz siadamy do debaty z takim nastawieniem, że ja cię przekonam, że ty nie masz racji.
1469:  PM - I to jest punkt wyjścia, który doprowadza do tego, że nienawidzimy się zamiast spróbować zrozumieć i do czegoś wspólnie dojść.
1479:  PM - I teraz pytanie, czy my to możemy jeszcze w stanie zatrzymać?
1483:  PM - Czy jesteśmy jeszcze w stanie to zatrzymać?
1487:  PM - Trudne zdanie.
1488:  PM - Czy nie?
1488:  PM - Nie.
1493:  PM - A jeżeli jest... Kto ma to zrobić?
1495:  KMM - Jak powiedziałaś o debacie, to się od razu zaczęło uśmiechać i miałem powiedzieć, że przecież powstał taki kanał na YouTubie, który jest ześrodkowany na debatach.
1503:  KMM - I oczywiście jest to kanał Zero.
1505:  KMM - No, ale ten kanał i w ogóle idea debaty, zauważ, jest ściśle ta, o której mówisz.
1511:  KMM - Mianowicie tam chodzi o erystykę, o przekonanie
1514:  KMM - jakiejś strony do słusznego i tezy, która jest w zamyśle programu, to jest w presopozycji mówiąc, językoznawczo.
1522:  KMM - I to jest straszny błąd, ponieważ debata powinna zaczynać się absolutnie na takim neutralnym gruncie, że mamy przede wszystkim moderatora, który wie wszystko na temat danego zagadnienia i ma dwie strony z poruchu światopoglądowego i one przedstawiają swoje racje.
1538:  KMM - Natomiast takich debat, szczerze powiedziawszy, ja w polskim internecie prawie nie znam, nie napotykam, na pewno ich nie ma w mediach tradycyjnych i też mam wrażenie, że to jest taka, wiesz, telewizacja internetu, co się w tej chwili dzieje, bo myśmy się z tym pokoleniowo, tak, trochę mierzyli w latach dziewięćdziesiątych, jak właśnie w telewizorni tak to wszystko wyglądało, potem wszedł YouTube i się wydawało, że to się zmieni, no bo, no bo wiesz, no to jest YouTube, że ty, ha, ha, ha, tak, więc będzie osobiście, będzie autentycznie i nie będzie tej reżyserii.
1567:  PM - Ale gdzie my się uczyliśmy dyskusji?
1570:  KMM - No właśnie.
1571:  PM - Nigdzie.
1572:  PM - Ja na przykład po raz pierwszy miałam zajęcia z prowadzenia debat na studiach magisterskich.
1578:  PM - I to też nie wszyscy, bo na mojej specjalizacji, na którą poszło chyba z 10 osób, bo to już była specjalizacja na magisterce.
1584:  PM - Przepraszam, dotknęłam mikrofonu, przepraszam.
1587:  PM - na magisterce i niektórzy albo zrezygnowali w ogóle z polonistyki całkowicie, albo zostali przy tej bazowej polonistyce i nie wybierali żadnej specjalizacji.
1595:  PM - Tym bardziej, że ona też była płatna w moim przypadku, ale jakieś tą groszę.
1599:  PM - I tam miałam najlepsze zajęcia w swoim życiu, czyli kreatywne pisanie.
1603:  PM - Myśmy tworzyli wiersze i właśnie zrobiliśmy debatę.
1607:  PM - Podzieliła nas pani na dwie grupy i w ogóle z innego roku była ta druga drużyna i debatowaliśmy o tym,
1616:  PM - Czy Barackowi Obamie należał się Nobel?
1618:  PM - I my dostaliśmy trudniejsze zadanie, dostałyśmy, bo tam były same dziewczyny, miałyśmy obronić, że należała mu się ta nagroda, a druga strona dostała, że nie.
1626:  PM - I wtedy narracja ogólnie była taka, że on nie powinien tej nagrody dostać.
1630:  PM - Więc tamci średnio się do tego przygotowali i powiedzieli, dobra, przecież nie ma argumentów na to, że on powinien dostać.
1636:  PM - Wprowadząca powiedziała, nie bądźcie nadzupełni siebie, bo te dziewczyny się mocno przygotowują.
1640:  PM - I rzeczywiście, te narracje zbudowałyśmy tak, że potem było głosowanie wśród publiczności i więcej głosów wypowiedziało się tak, że Barack Obama powinien dostać tę nagrodę, bo wszystko było w narracji, wszystko było w języku, w sposobie budowania opowieści, więc język jest niesamowicie mocny.
1658:  PM - Ale uczyliśmy się takiej dyskusji, tam nikt na siebie nie krzyczał, tam się nikt nie przekrzykiwał, tam nikt nie używał argumentów ad personam.
1669:  PM - My się skupiałyśmy tylko na istocie rzeczy.
1673:  PM - Do historii też się odwoływałyśmy, do jakichś takich wypowiedzi.
1678:  PM - znanych przemówień, ale to wszystko było bardzo kulturalne i merytoryczne.
1684:  PM - Natomiast przypomnę, że to było na studiach magisterskich, na specjalizacji, na którą prawie nikt nie poszedł.
1692:  PM - No a co z resztą społeczeństwa?
1694:  PM - Przecież my na języku polskim powinniśmy dyskutować.
1696:  PM - A jak mamy dyskutować na języku polskim, skoro w kluczu jest napisane, co masz myśleć na ten temat?
1702:  PM - No ja napisałam książkę literatura, to jest zbiór 150 felietonów,
1708:  PM - o polskich książkach.
1712:  PM - I te felietony nie wyglądały tak jak rozprawki.
1716:  PM - Ja czasami wrzucałam tam zagadnienia, które pojawiały się na przykład na zajęciach z polonistyki albo na lekcjach języka polskiego, ale czasami brałam sobie książkę i felieton był o tym, co ta książka mi zrobiła.
1731:  PM - Co obudziła, jakie emocje, jakąś historię na przykład.
1735:  PM - Skojarzyło mi się to z czymś, bo chciałam pokazać ludziom, że książki nie są do tego, żebyśmy
1742:  PM - zrozumieli z nich dokładnie to, co ktoś nam każe zrozumieć.
1746:  PM - Jeżeli bierzemy książkę do ręki, to to jest już sprawa tylko między mną a tą książką, co my z niej wyniesiemy, co my zrozumiemy, jakie emocje ona wzbudzi i w każdym z nas wzbudzi inne, bo my będziemy filtrować je przez swoje doświadczenie i przez swoje jakieś tam różne przemyślenia, poglądy, przygody.
1764:  PM - I niektórzy ludzie byli zbulwersowani, że ja tę książkę tak napisałam.
1768:  PM - Na przykład pisali, że tę książkę powinna napisać profesor Maria Janion, bo ona się znała, ona była ekspertką.
1773:  PM - I ja też chciałabym żyć w takim świecie, w którym pani profesor Maria Janion napisałaby tego typu książkę i ona by się sprzedała w 12 tysiącach egzemplarzy, ale nie żyjemy w takim świecie.
1782:  PM - Więc ja po prostu to zrobiłam.
1783:  PM - No przepraszam, że ja to zrobiłam.
1785:  PM - W zasadzie ktoś inny mógł to zrobić, no zrobiłam to ja.
1788:  PM - I zrobiłam to po swojemu.
1791:  PM - I wydaje mi się, że
1795:  PM - wkurzyłam tym ludzi.
1797:  PM - Tym, że możesz na przykład też wziąć do ręki, był taki rozdział, Wejser Dawidek, Pawła Achille.
1802:  PM - I ja przeczytałam tę książkę i ja z niej nic nie zrozumiałam.
1805:  PM - Co się stało z tym chłopcem?
1807:  PM - Co się stało z tym chłopcem?
1809:  PM - W tapronistyce też tak.
1812:  PM - Jezu!
1812:  PM - Ale teraz, słuchaj...
1815:  PM - Muszę napisać felieton o tej książce.
1817:  PM - I tak sobie myślę, co ja mam napisać?
1819:  PM - I doszłam do wniosku, że właśnie to napiszę.
1822:  PM - Że czasami czytasz książkę, skończysz czytać tę książkę i nie wiesz nic.
1828:  PM - Możesz za kilka lat do niej wrócić i dostrzeżesz coś.
1832:  PM - A może dalej nic nie dostrzeżesz.
1834:  PM - I to też jest okej.
1835:  PM - Po drugie, w sumie ten główny bohater też nie wiedział, co się stało z tym chłopcem, więc może właśnie o to chodziło, żebym ja po przeczytaniu tej książki tak się czuła, jak ten główny bohater.
1844:  PM - Tak kombinowałam.
1846:  PM - Ale widzisz, my kończymy szkołę i wydaje nam się, że my musimy tak pod klucz.
1852:  PM - Biorę tę książkę do ręki, mam z niej zrozumieć to, to, to i to.
1855:  PM - Jeżeli widzę coś więcej, to chyba źle widzę.
1858:  PM - Pamiętam też, że na polonistyce, bo na polonistyce nie wiem, jak było u ciebie, ale my dyskutowaliśmy.
1863:  PM - Często też słyszałam, w liceum nauczyliście się tak, teraz o tym zapomnijcie, bo to jest tak i tak.
1868:  KMM - To jest pierwsze zdanie zawsze na studiach każdych humanistycznych, że musicie, i to jest ciekawe, bo to jest zdanie, które pada na studiach humanistycznych, a rzadziej pada na studiach technicznych, znaczy musicie zapomnieć wszystko, czego się nauczyliście.
1878:  KMM - Na matematyce tego nie powiesz, bo są pewne podstawy, które są niezmienne, są stałą.
1883:  KMM - Natomiast niestety w odniesieniu do nauk humanistycznych one są karykaturą w ramach szkolnictwa.
1889:  PM - One są uproszczone do tego stopnia, że wypaczają niektóre rzeczy i dopiero na studiach możemy się zagłębić i zrozumieć.
1898:  PM - Dlatego też zaczęłam tworzyć filmy.
1901:  PM - o języku polskim, bo na studiach dowiedziałam się tylu rzeczy i czułam taką niezgodę.
1905:  PM - Dlaczego reszta społeczeństwa nie ma szans się o tym dowiedzieć?
1908:  PM - Ja to wiem tylko dlatego, że wybrałam te studia, to jest niesprawiedliwe.
1911:  PM - To ja teraz robię kanał, biorę sobie tę wiedzę, pakuję to w swój język, taki bardziej młodzieżowy, tak zaczynam, miałam 25 lat, więc jeszcze wtedy był młodzieżowy, teraz już nie, milenialski i idę z tym do ludzi.
1926:  PM - I takie było założenie.
1927:  PM - I trochę chciałam jeszcze popracować z kamerą, bo ja wykształciłam się w tym kierunku, żeby pracować z kamerą, a skończyłam w pracy, w której siedziałam w Excelu.
1935:  PM - Więc czułam potrzebę pracy z kamerą i stąd ten kanał.
1939:  PM - No a widzisz...
1941:  PM - A jakoś niektórzy nie dostrzegli, że ja z takim sercem na dłoni chciałam pomóc.
1947:  PM - Ja naprawdę chciałam ludziom pomóc, no podaj z tym kanał, do tej pory pomagam.
1950:  PM - Na przykład wczoraj, przyjechałam do Krakowa wczoraj, poszłam sobie kupić sałatkę i podeszły do mnie trzy dziewczynki.
1959:  PM - I powiedziały, że dzięki mnie zdały maturę i chciały sobie zrobić zdjęcie.
1962:  PM - Ja mówię, Jezu, jestem w Krakowie godzinę, a już mi dziękują.
1966:  PM - I to jest super, bo to się często zdarza.
1968:  PM - Kilka lat temu ledwo wysiadłam z pociągu, tylko stanęłam jedną stopą i akurat były matury i maturzysta do mnie podbiegł, wracam z matury, akurat miałam na maturze ustne i zadanie językowe zdałem dzięki tobie.
1979:  PM - No i po to ja to robię, po to ja to robię.
1981:  PM - I zamiast sobie z tego korzystać, jakoś tak się bawić tym, rozwijać się, czasami się ze mną też nie zgadzać, to jakoś tak ludzie potrafią stwierdzić, że jestem gruba i sprowadzają to wszystko do tego.
1993:  PM - Wracając do tego tematu, tak, szkoła jakoś tak nas ogłupia.
1998:  PM - Szkoła nas ogłupia, pierwszy raz wypowiedziałam to zdanie, ale coś w tym jest.
2001:  KMM - Znaczy ja się nie mogę nie zgodzić, wiesz, bo też biorąc pod uwagę to, że pracuję cały czas na uczelniach, bodźlecznie tylko na AGH-u i stykam się z ludźmi, wszyscy to mówią, wiesz, to jest jak porozmawiać ze studentami kierunków humanistycznych, to powtarzają, dlaczego nas nikt nie uczy pisać, dlaczego nas nikt nie uczy mówić i dyskutować.
2020:  KMM - Powiedziałaś o dwóch kursach,
2022:  KMM - Kreatywne pisanie z jednej strony, a z drugiej strony debaty.
2025:  KMM - Przecież to jest ściśle to, co się wiąże z przedmiotem, który się nazywa, co zawsze powtarzam, język polski, a nie historia literatury.
2031:  PM - Właśnie, a dlaczego tego szkoła nie rozdziela?
2033:  PM - Ja cały czas łażę i o tym opowiadam.
2035:  PM - Jak język polski do książki?
2036:  KMM - Wiesz, że było to rozdzielone?
2037:  PM - Język polski i literatura po prostu.
2040:  KMM - Historycznie było.
2041:  KMM - W drugiej RP było rozdzielone.
2043:  KMM - No właśnie.
2044:  PM - I co wziął?
2045:  PM - Co zażył przed tym, jak to złączył?
2047:  KMM - Bo to ma głęboki sens.
2049:  PM - Wielka krzywda, dlatego że okrajamy i jedno i drugie, a w dzisiejszym świecie język, umiejętności językowe, elokwencja jest tak ważna.
2055:  PM - Wszyscy piszemy, wszyscy staliśmy się pisarzami, więc ten język jest nam potrzebny.
2061:  PM - Do tego właśnie wulgaryzuje nam się debata publiczna, bo nie potrafimy ze sobą rozmawiać.
2065:  PM - Jezu, nauczmy się ze sobą rozmawiać, nauczmy się słuchać.
2067:  PM - Do tego wszystkiego można się uczyć na lekcjach języka polskiego.
2072:  PM - A książki swoją drogą, one robią coś innego, one zaspokajają inną potrzebę, one uczą też innych rzeczy.
2081:  PM - Nie wiem, dlaczego ktoś to złączył i dlaczego do tej pory to nie zostało rozdzielone.
2085:  PM - A to z korzyścią dla wszystkich to by było.
2087:  PM - Zaczynając od uczniów, kończąc na społeczeństwie całym, jako całości.
2091:  KMM - Ledwo wczoraj, dzisiaj trendował, w zależności od tego, kiedy to będzie opublikowane oczywiście, trendował artykuł, który zbiera kolejny apel od naukowców, tym razem z Uniwersytetem Mickiewicza w Poznaniu, którzy mówią dokładnie to, co ty.
2108:  KMM - odnośnie do lekcji języka polskiego i to jest kolejny apel naukowców, którzy tłumaczą, potrzebujemy kultury języka, potrzebujemy nacisku na język, przede wszystkim w szkolnictwie, a tematem numer jeden, co roku jest lista lektur, to jest upolityczniona.
2121:  KMM - Jest to absolutnie nieznośne, już nie mówiąc o tym, też rzucam temat do kontynuacji, że ponieważ studiowałaś polonistykę, dobrze wiesz, jak ciężko jest podejść do tekstu szesnastowiecznego, siedemnastowiecznego, dlatego trzeba mieć niesamowity warsztat.
2139:  PM - I motywację.
2140:  PM - No ja zasypiałam, ja zasypiałam.
2143:  PM - Sięgałam po te książki w takiej niebezpiecznej pozycji.
2146:  PM - Więc szybko w objęcia Morfeusza wpadałam.
2151:  PM - Tak, w ogóle Poznań mam wrażenie, że jest do przodu z niektórymi rzeczami.
2155:  PM - Tam są różne kierunki, na przykład Poznań otworzył kierunek Prosty Język, którego jestem fanką.
2160:  PM - To jest w ogóle niesamowita sprawa i cieszę się, że idziemy w tym kierunku, bo ten nasz język urzędowy jest tak
2167:  KMM - O, faktycznie.
2168:  PM - Dlatego, że skąd my wzięliśmy ten język urzędowy?
2172:  PM - Wracamy do rozbiorów.
2173:  PM - Wracamy do rozbiorów i tylko w zaborze austriackim Polacy pracowali w urzędach.
2180:  PM - Więc kiedy już odzyskaliśmy niepodległość, trzeba było na nowo stworzyć język urzędowy polski.
2187:  PM - Więc ci ludzie przetłumaczyli język urzędowy niemiecki na język urzędowy polski.
2192:  PM - Ja już wszystko rozumiem.
2193:  PM - I w ten sposób powstały te koszmary językowe.
2197:  PM - Te konstrukcje, które nie mają końca.
2199:  PM - I chociażby to, że na przykład ja ostatnio dostawałam pisma z sądu.
2204:  PM - Interesowało mnie tylko to, czy wyrok się uprawomocnił, czy nie.
2207:  PM - Ale to było...
2208:  PM - Nie wiem, w dziesiątym wersie?
2210:  PM - Bo wcześniej na podstawie paragrafu.
2212:  PM - Mnie to nie interesuje.
2214:  PM - Wystarczy zmienić kolejność.
2217:  PM - Wyrok się uprawomocnił na podstawie.
2219:  PM - Ja już bym więcej nie czytała.
2220:  PM - Szanujmy swój czas.
2223:  PM - To nie jest tak, że my głupiejemy.
2225:  PM - Po pierwsze, ten język jest sztuczny i zły.
2227:  PM - Po drugie, kiedyś, gdy człowiek czytał cokolwiek, to musiał mieć do tego warunki.
2232:  PM - Fotel, lampa, cisza.
2234:  PM - Tak samo z pisaniem.
2235:  PM - Musiał mieć do tego warunki.
2236:  PM - Teraz my ciągle coś czytamy, piszemy,
2238:  PM - Idziemy ulicą i wszędzie są slogany reklamowe.
2241:  PM - Ja na przykład jechałam autobusem któregoś dnia i stwierdziłam, nie wyciągam telefonu, będę sobie siedzieć i po prostu medytować.
2249:  PM - No ale były te telewizorki takie w autobusach i się wyświetlały ciekawostki językowe.
2254:  PM - Albo na przykład komunikat, że szukamy kierowców, jeżeli brakujecie odpowiednich kursów, zgłoś się do nas, finansujemy ci je.
2259:  PM - Nie zamierzam być kierowczynią autobusu, ale cały czas przetwarzam te informacje, bo te teksty nas atakują.
2265:  PM - Więc dziś, żeby komunikat dotarł do człowieka, który jest zresztą atakowany różnymi tekstami, to ten komunikat musi być krótki.
2274:  PM - Precyzyjny.
2275:  PM - Słyszałam też, że prawnicy twierdzą, że jeżeli człowiek dostaje pismo napisane takim trudnym prawniczym językiem, to on się wtedy czuje zaopiekowany.
2285:  PM - On się wtedy czuje, że jestem w rękach profesjonalisty, nic nie rozumiem, co on pisze, więc on się zna.
2290:  PM - Moim zdaniem jest zupełnie inaczej.
2291:  PM - Jeżeli człowiek otrzymuje pismo, którego nie rozumie, to czuje się zagłupi, wykluczony, zagubiony, nieadekwatny, zagrożony.
2300:  PM - Unia Europejska robiła takie programy, żeby urzędy skarbowe zmieniały język na prosty i robiono badania, że ściągalność należności wzrasta, gdy ludzie dostają pisma napisane prostym językiem.
2311:  PM - Więc to jest też ważne dla gospodarki, żeby firmy, instytucje, urzędy wdrażały ten język.
2318:  PM - No i na razie Poznań otworzył kierunek z prostym językiem, a pytam, co z resztą świata?
2324:  KMM - Ja mam też wrażenie, że to jest kwestia tego naszego niepotrzebnego poklasku dla hierarchii, takiej pustej hierarchii zwłaszcza i to z kolei jest spadek po PRL-u, gdzie każdy musiał być kierownikiem do spraw, inżynierem produkcji i tak dalej.
2338:  KMM - Ja wchodzę sobie do windy radosnej i widzę...
2340:  KMM - Regulamin dźwigu osobowego, punkt pierwszy, kaseta przycisków powinna, jak ja to widzę, to ja widzę tego człowieka, który to pisał i który starał się, by jego język brzmiał maksymalnie skomplikowanie, żeby on właśnie w oczach albo szefostwa, albo ludzi, którzy tę nieszczęsną windę kupują, bo to jest winda, to nie jest dźwig osobowy, żeby oni poczuli się właśnie tak, jak mówisz, zaopiekowani przez profesjonalistę.
2365:  PM - Widzę tę trudność też, bo widzę drugą stronę medalu i na przykład czasami jest tak, że ludzie, którzy mają zamienić komunikat, zmienić język komunikatu, boją się, że...
2381:  PM - że wydźwięk tego się zmieni, że ta zawartość tej treści nie będzie już taka sama, że oni przez to wprowadzą w błąd.
2389:  PM - Więc wolą się trzymać tych konstrukcji, których ich nauczono na przykład na studiach, niż sobie to zmieniać, bo może coś umknie.
2397:  PM - I na przykład pamiętam, że prowadziłam zajęcia z występów przed kamerą dla dziewczyn, które są kosmetolożkami i one o kosmetykach mówiły takim językiem tego producenta tych kosmetyków.
2408:  PM - Ja im mówiłam, nie, ty nie czytaj tej ulotki, ty opowiadaj o tym kosmetyku tak jakbyś koleżancem mówiła.
2413:  PM - A one na to, no tak, tylko ja się boję, że coś przekręcę i ten producent będzie miał do mnie pretensje.
2417:  PM - I myślę, że tutaj może też to odgrywać rolę jakąś, że...
2423:  PM - boją się ludzie, że przestaną być profesjonalni, jeżeli użyją prostszego języka.
2428:  KMM - Ale to jest bardzo ciekawe, co mówisz, bo przypominam sobie, byłem na konferencji, bardzo byłem wtedy przejęty, byłem na studiach bodajże na drugim roku, licencjaty, byłem w Oksfordzie i byłem bardzo tym faktem przejęty.
2440:  KMM - Oczywiście nikt w Oksfordzie nie był tym faktem przejęty, bo to jest normalna uczelnia i normalnie mnie traktowali.
2445:  KMM - Ja wtedy zobaczyłem, że można z profesorem rozmawiać jak człowiek z człowiekiem.
2448:  KMM - Musiałem do tego wyjechać za granicę.
2450:  KMM - W każdym razie rozbawiło mnie niesamowicie jedno, mianowicie to, że ja byłem przygotowany właśnie, miałem skrypt.
2457:  KMM - No bo przecież na takim uniwersytecie, o Boże, to ja muszę... Musisz mieć skrypt.
2460:  KMM - Tak.
2461:  KMM - Po czym w połowie zobaczyłem, że wszyscy zasypiają.
2464:  KMM - I ja wtedy pieprznałem tym skryptem i zacząłem mówić.
2467:  KMM - I oczywiście, że nie mówiłem tak idealną angielszczyzną, jak chciałem.
2470:  KMM - Nie używałem tych konstrukcji, jak chciałem.
2472:  KMM - Zapomniałem paru wątków, ale ludzie momentalnie we mnie wlepili oczy.
2476:  KMM - I mam wrażenie, że to jest coś właśnie, czego w komunikacji w ogóle nie doceniamy.
2480:  KMM - Wracamy do tematu głównego naszej rozmowy.
2483:  KMM - Boimy się popełnić błąd w większym stopniu, niż byśmy powinni się bać, że nie dotrzemy do drugiego człowieka i nie przekonamy go.
2490:  PM - Tak, tak.
2491:  PM - No bo w zasadzie ludzie zasypiały, ludzie się wyłączają.
2494:  PM - Ja się nie dziwię, to jest nawet takie czysto biologiczne, że jak jest zdanie wielokrotnie złożone, to bardzo szybko się gubi sens, ale jakoś ludzie się właśnie boją tutaj zaryzykować.
2508:  KMM - A, czytane wykłady też.
2509:  KMM - Czytany wykład to jest odczyt, a nie wykład.
2511:  PM - Tak, ale pamiętam też, że zostałam zaproszona, ale muszę opowiedzieć o tym tak, żeby za bardzo nie zdradzić, co to kto i po co, ale byłam zaproszona na pewną dyskusję i w mailu była informacja, żebym nie przygotowywała notatek, tylko żeby postawić na swobodną wypowiedź.
2527:  PM - Ja tak sobie pomyślałam, po co o tym pisać?
2530:  PM - Jak ja mam wziąć notatki, skoro jest panel dyskusyjny, to wiadomo, że...
2536:  PM - Byłam jedyną osobą, która tych notatek nie wzięła, pomimo że ten mail dostaliśmy wszyscy.
2541:  PM - I zaczynamy, ja tam odpowiedziałam bardzo krótko na jakieś pytanie, następna osoba wyciągnęła kajet, ja patrzę ile ona ma tekstu i jedzie, i jedzie, i jedzie.
2554:  PM - Ja byłam tak zakłopotana.
2557:  PM - Po pierwsze, czułam się głupia.
2559:  PM - Ja się czułam głupia, bo ja nie przygotowałam się na coś takiego, żeby mieć opracowania, źródła.
2566:  PM - Tylko ja myślałam, że sobie będziemy dyskutować o kondycji współczesnej polszczyzny.
2570:  PM - A to każdy z nich powyjmował sobie punkciki, a niektórzy mieli pełny tekst taki.
2576:  PM - I to byli pracownicy uczelni.
2578:  PM - Ja jedna youtuberka.
2580:  PM - I tak sobie pomyślałam...
2582:  PM - Boże, ale przecież dostaliście mail.
2585:  KMM - W sensie... To oni wyszli na idiotów, taka prawda.
2589:  PM - Ja się czułam bardzo głupio, tym bardziej, że na publiczności byli wielcy profesorowie, którzy mnie uczyli.
2597:  PM - Więc gdybym wiedziała, że tak będzie wyglądało, to ja bym się bardzo przygotowała do tego, wiedząc.
2602:  PM - A ja zostałam rzucona do takiej sytuacji, że są...
2607:  PM - Dzisiaj nie użyję słowa autorytet, bo wydaje mi się, że już nie ma autorytetów, ale duże nazwiska, siedzą duże nazwiska i ja gadam.
2616:  PM - Jestem jedyną osobą, która po prostu odpowiada na pytanie, podczas inni recytują mini wykłady, po prostu udzielają wykłady.
2625:  KMM - Wiesz, myślę, że te największe nazwiska na sali dobrze rozczytały tę sytuację.
2630:  KMM - Bo taka jest prawda, że jeżeli ktoś rzeczywiście coś w życiu osiągnął, to nie patrzy na formę, tylko patrzy na treści.
2636:  KMM - To jest lekcja, którą odebrałem kiedyś od profesora Fredrika Jamesona, bardzo przeze mnie cenionego, do którego napisałem list z konoryfikatywami wszędzie.
2644:  KMM - Panie profesorze, i w ogóle, gdzie jeszcze?
2646:  KMM - Ja niegodny, bo w Polsce nas tego nauczyli, tak na kolanach.
2650:  KMM - Odpisał mi, do dzisiaj pamiętam treść całego tego listu po angielsku.
2653:  KMM - Dear Chris...
2655:  KMM - Of course.
2656:  KMM - Cheers, Frederick.
2658:  KMM - Myślałam, że chill.
2660:  KMM - I tyle, nie?
2660:  KMM - Ale to tak, to swoją drogą.
2662:  KMM - I to jest najpiękniejszy list, jaki otrzymałem w życiu.
2665:  KMM - Bez jakichkolwiek, wiesz, upiększeń.
2668:  KMM - I wydaje mi się, że właśnie ta sytuacja, którą przedstawiłaś, ona pięknie pokazuje, jak można popełnić straszne faux pas językowe i komunikacyjne.
2677:  KMM - Złamać przy okazji parę maksym konwersacyjnych Greisa, no bo
2680:  PM - Ale z czego to wynika?
2681:  PM - Z niskiego poczucia własnej wartości, czy ze strachu przed popełnieniem błędu, przed wygłupieniem się?
2685:  KMM - Więc właśnie myślę, że to drugie, wbrew pozorom.
2687:  KMM - To znaczy dużo wykładowców, dużo naukowców właśnie wychodzi z założenia, że jeżeli popełnią błąd, to jest to straszne.
2693:  KMM - Zresztą cała kultura, zauważ, publikowania naukowego zakłada, że nie publikujemy wyników, które są błędne.
2699:  KMM - Co jest głupotą, ponieważ z błędnych wyników bardzo często możemy się czegoś więcej nauczyć.
2704:  KMM - Ale...
2705:  KMM - To jest właśnie efekt tego uszkolnionego umysłu.
2707:  KMM - Będę upierał się przy tej tezie, że uczymy się cały czas, to pedagodzy bardzo mądrze mówią, że uczymy się na defektach, a nie uczymy się na atrybutach, na tym, co jest dobre, na tym, co jest naszą zaletą.
2718:  KMM - Nie przekuwamy w coś pięknego i w coś dobrego.
2722:  KMM - Skoro nawiązaliśmy do tego uszkolnienia, powiedziałem, że ja nawiązałem, ale to teraz zrobiłem.
2730:  KMM - Byś miała powiedzieć jedną rzecz.
2732:  KMM - albo parę, w zależności od tego, jak wolisz, która jest do zmiany natychmiast, żeby właśnie tego rodzaju sytuacji unikać później i żeby to wprowadzić jak najwcześniej w szkole, co by to było.
2743:  PM - Właśnie to rozdzielenie języka polskiego.
2745:  KMM - To rozdzielenie.
2746:  KMM - I więcej praktyki, mniej teorii.
2749:  PM - Na języku polskim dzieci mają mówić, a nie słuchać.
2752:  PM - Bo my mamy ten model szkolnictwa, to jest ta szkoła pruska, czyli bierne słuchanie.
2759:  PM - Jeden człowiek mówi, a reszta słucha i w taki sposób się uczymy.
2762:  PM - To zmienić.
2764:  PM - Dzieci mają robić, praktykować, ćwiczyć, sprawdzać, poznawać przez doświadczenie.
2770:  PM - Jak najwięcej właśnie takich, jak najmniej, żeby
2774:  PM - No nie powiem, że jak najmniej, żeby nauczyciel mówił, ale żeby te proporcje były troszeczkę inne.
2779:  PM - To, co nauczyciel ma przekazać, niech przekaże, ale dalej uczniowie mają mówić, mają uczyć się mówić, mają uczyć się ustnej wypowiedzi, mają się czuć swobodnie.
2790:  PM - I jeszcze jedna rzecz, praca z kamerą w szkole.
2795:  PM - W amerykańskich szkołach zawsze był ten teatr.
2799:  PM - I tak uczniowie bili się, że chce główną rolę.
2802:  PM - Przecież w fabule to był bardzo ważny wątek, że ktoś tam zazdrosna jedna o drugą, że ta ma główną rolę.
2808:  PM - I to powoduje, że na przykład gdy robisz sondę uliczną w Stanach, to ludzie nie boją się kamery.
2815:  PM - Zabieraj tę kamerę.
2815:  PM - Tylko po prostu odpowiadają, nie?
2817:  PM - Są swobodni.
2818:  PM - A w Polsce, albo na przykład na weselu, przecież jak operator, nie powiem kamerzysta, ale operator podchodzi, no to zakłócenie, o Jezu, kamerzysta, Boże Zdrowie, dobra, panie, idź już tam dalej, o Jezu.
2833:  PM - Uczmy się tego, bo to nie tylko chodzi o występy, to chodzi o takie obycie, o takie też przyzwyczajenie się do tego, jak my wyglądamy, jak się prezentujemy.
2845:  PM - To nam bardzo dużo daje i to też powoduje, że się nie wstydzimy wielu innych rzeczy.
2850:  PM - Kiedy sobie popracujemy z kamerą, zrobimy sondę.
2853:  PM - Jakby było super, gdyby uczniowie na przykład robili sondy uliczne, tak?
2857:  PM - W ramach praktyki wychodzą z kamery, uczą się pracy z kamery, uczą się montażu, potem oglądają to.
2864:  PM - To nigdzie nie jest oczywiście publikowane.
2866:  PM - To może być wśród nich, nie że biorą ludzi z ulicy, bo wiadomo, kwestia wizerunku to może być trudne, ale między sobą robią te sądy.
2872:  PM - Potem to oglądają i debatują, co widzą, co by poprawili, co było fajne, co niefajne.
2878:  PM - I to powoduje, że są bardziej odważni w relacjach międzyludzkich też.
