Jak stworzyć GRĘ WIDEO, która wciąga? @KrzysztofMMaj  i Krzysztof Kluza | 53
1428:  KMM - I teraz inteligentne zarządzanie tymi danymi może doprowadzić do tego, że będziemy używali minimum środków do uzyskania maksimum efektów.
1435:  KMM - Przykładowo przywoływana przeze mnie bez przerwy firma From Software, która projektuje gry z serii Dark Souls, tam miała fabuły.
1441:  KMM - Ona nie używa dialogu w ogóle.
1444:  KMM - Oni projektują świat wyłącznie w taki sposób, że są rozproszone informacje po opisach przedmiotów.
1449:  KMM - Więc jeżeli ktoś czyta te opisy przedmiotów, to wtedy wie więcej na temat tego świata.
1454:  KMM - Ale nie podąża za żadną fabułą, która by go za rączkę poprowadziła i wytłumaczyła mu wszystkie rzeczy.
1459:  KMM - Więc to naprawdę można zeskalować do bardzo takiego detalicznego podejścia, mimo że będziemy dysponowali jako projektanci jakąś szeroką bazą danych,
1469:  KMM - I zwykle tak zresztą w studiach jest.
1472:  KMM - Coś takiego się nazywa albo, nie wiem, prozaicznie Game Bible, czyli taka biblia gry danej, albo Game Design Document GDC, albo pojawiają się różnego rodzaju dokumenty konkordancyjne, spójnościowe z bardzo prostego powodu.
1487:  KMM - W gamedev jest zazwyczaj tak, oczywiście są wyjątki, np.
1490:  KMM - Hollow Knight był zaprojektowany przez kilka osób dosłownie, czasem jedna osoba.
1494:  KMM - Polak zaprojektował teraz grę Main or Lost, która jest niesamowicie popularna, ale to są wyjątki.
1499:  KMM - Zwykle jest tak, że są zespoły.
1500:  KMM - Jest zespół ludzi, którzy są odpowiedzialni za narrative, czyli za narrację.
1504:  KMM - Często wydziela się tam zespół odpowiedzialny za design questów, czyli takich najmniejszych jednostek fabularnych.
1510:  KMM - które są zorganizowane wokół celu fabularnego, typu musisz coś przynieść komuś, bardzo prosty algorytm.
1516:  KMM - Zwykle możemy to zapisać algorytmicznie jako Trigger Objective Reaction, to jest zresztą formuła, którą opracowywaliśmy z doktorem Piotrem Kubińskim z Uniwersytetu Warszawskiego w ramach grantu NCBiR.
1527:  KMM - Trigger dlatego, że tak jak na silniku, wchodzimy w jakieś miejsce w grze i musi się coś zadziać,
1532:  KMM - Objective, dlatego że gracz musi wiedzieć, co ma zrobić i reaction, dlatego że świat reaguje na to, co gracz zrobił lub gracz reaguje na to, co zrobił lub postaci reagują na to, co zrobił gracz.
1542:  KMM - To jest bardzo prosta formula questu.
1544:  KMM - Oprócz quest designerów będziemy mieli concept artistów, ludzi, którzy projektują grafiki koncepcyjne i wyobrażają sobie, jak jakieś miejsce wygląda.
1550:  KMM - Ale tak, tutaj może się ktoś specjalizować w stroju, ktoś inny w lokacji, ktoś inny jeszcze w czymś.
1554:  KMM - Oprócz tego będziemy mieli programistów.
1556:  KMM - Oprócz tego będziemy mieli ludzi, którzy będą architektami.
1559:  KMM - Tych funkcji różnych jest bardzo, bardzo dużo.
1561:  KMM - I chcesz mi powiedzieć, że każdy może nauczyć się... Właśnie wiesz, każdy może nauczyć się tego, jeżeli oczywiście zacznie się specjalizować na którymś z etapów, natomiast jeśli chodzi o zarządzanie tym wszystkim, wbrew pozorom, to taki kurs chociażby, który ja robię, to ułatwia.
1577:  KMM - Natomiast nie, jeżeli ktoś chce projektować na przykład strój i wykorzystywać do tego Engine 5, no to wiadomo, musi się wybrać na kurs, który będzie dedykowany osobom chcącym poznać ten konkretny silnik.
1591:  KMM - Ale tak samo, jeżeli ktoś chce pisać fabułę do gry, no to musi nauczyć się pisać fabuły w ogóle, tak nawiasem mówiąc.
1596:  KMM - No właśnie, bo to się różni jakoś.
1598:  KMM - Fabuła gry, a fabuła... No bardzo, bo w przypadku fabuły gry musisz dbać o napięcie narracyjne.
1604:  KMM - To jest główna rzecz, którą się zajmujesz.
1605:  KMM - I najlepsze gry, jak Wiedźmin 3 Dziki Gon, zawaliły to.
1609:  KMM - W bardzo prosty sposób.
1610:  KMM - To znaczy, fabuła Wiedźmina 3 Dzikiego Gonu jest taka.
1614:  KMM - Boże drogi, porywają Ciri!
1615:  KMM - Dziki Gon porwał Ciri!
1616:  KMM - Wiedźmin musi natychmiast pomóc Ciri!
1618:  KMM - Oooo!
1620:  KMM - Tu jest ziółko do zebrania.
1622:  KMM - O, starowinka zgubiła papelnię.
1624:  KMM - O, muszę zebrać set wiedźmiński.
1627:  KMM - I nagle dochodzi do czegoś, co się nazywa fachowo dysonansem ludonarracyjnym, czyli rozdźwiękiem między rozgrywką i jej obiektywami, jej celami, a celem fabularnym.
1637:  KMM - Cel fabularny jest taki.
1638:  KMM - Czas ucieka.
1640:  KMM - Dziewczynę zaraz zginie, nie?
1642:  KMM - Dlaczego CD Projekt Red to wprowadził?
1644:  KMM - To jest bardzo proste.
1645:  KMM - Czas jest najprostszą techniką do budowania napięcia narracyjnego.
1649:  KMM - I wpakowali się dokładnie w to samo w Cyberpunku 2077, gdzie gra na poziomie rozgrywki mówi nam, eksploruj Night City, zachwycaj się neonowym blaskiem skąpanego w deszczu miasta, ale równocześnie masz chip w głowie, który ci zaraz wybuchnie.
1666:  KMM - Ciekawy jestem, czy w Wiedźmie Czwartym wreszcie się nauczą, żeby tego nie robić, ale to jest trudne, tak?
1670:  KMM - Dbanie o napięcie narracyjne w sytuacji, gdy dajemy graczowi swobodę i mówimy mu, możesz robić w świecie co chcesz, no jest ciężkie, bo to napięcie narracyjne umiemy robić w literaturze, w filmach i tak dalej w bardzo taki prosty sposób.
1684:  KMM - Jeżeli sobie spojrzymy na wszystkie filmy, seriale, książki i tak dalej, zawsze jest tak samo, że bohater tam startuje, troszeczkę się akcja rozwija, potem nagle się okazuje, że napotyka jakieś straszne zło, jest przeszkoda, on się załamuje, nie dam rady, ale napotyka mędrca, mędrzec mu mówi, dasz radę, on pokonuje już Lorda Sidiousa, Vadera i tak dalej.
1703:  KMM - Ojej, udało się.
1704:  KMM - I potem wraca do swojej wioski, widzi, że jego rodzice zostali zabici i sobie myśli, o Boże, jaką wędrówkę przebyłem.
1710:  KMM - To jest cały ten sam schemat od Arystotelesa w górę z zawiązaniem akcji punktem kulminacyjnym i rozwiązaniem akcji, to się nazywa fachowo piramidę Freitaga.
1721:  KMM - Mamy zawiązanie, tu jest punkt kulminacyjny i spadek akcji, spadek napięcia.
1725:  KMM - Więc to możemy zrobić w obrębie takiej mikrofabułki, taki questik, typu quest z patelnią, słynny z Wiedźmina Trzeciego.
1731:  KMM - Wiedźmin Geralt sobie idzie, idzie, nagle słyszy, że Starowinka krzyczy, że tam
1735:  KMM - O Boże, panie Wiedźminie, poratujcie ją patelnią i zostawmy ją.
1739:  KMM - Wchodzimy tam i dzieją się rzeczy.
1740:  KMM - Oczywiście okazuje się, że to wcale nie było takie prozaiczne.
1743:  KMM - Nam się wydawało, nie spojduje questu z patelnią.
1746:  KMM - No i później oddajemy rzeczoną patelnię Starowińce i wszyscy się cieszą i rozchodzą.
1750:  KMM - Więc tam zawsze będzie nawet takim maleńkim, najbardziej bzdurnym questie typu przynieś mi siedem wiązek jaskółczego ziela.
1758:  KMM - Będzie ten punkt kulminacyjny.
1759:  KMM - gdzie my będziemy mówili, o zdobyliśmy Jaskół Czeziele i zaatakował nas Gula, a potem sobie wracamy do osoby, która nam zleciła ten rzecz, quest, to zadanie.
1766:  KMM - Więc zawsze to napięcie będzie, ale to jest trudne.
1769:  KMM - I dlatego też pisarze są bardzo często zatrudniani do pisania questów, bo oni wiedzą jak to robić, bo robili to wiele razy w opowiadaniach.
1776:  KMM - Pisarze umieją napisać na, nie wiem, dwie strony opowiadanie, gdzie będzie punkt kulminacyjny.
1781:  KMM - Bardzo silnie zrobione napięcie.
1783:  KMM - Dlatego też polecam ludziom, którzy chcą pisać fabuły do gier, żeby pisali short fiction.
1788:  KMM - Opowiadanie na dwie strony, opowiadanie na jedną stronę.
1791:  KMM - Im krótsze, tym lepsze, bo w grze i tak w zasadzie to będzie się sprowadzało włącznie do dialogu.
1795:  KK - W grze wycinamy opisy w questie.
1797:  KK - No właśnie, tylko te opisy wszystkie, na przykład, nie wiem, w literaturze mamy piękne opisy...
1803:  KK - przyrody, czy piękne opisy zamku i tak dalej.
1807:  KK - My sobie możemy to wyobrazić.
1809:  KK - W grze, mam wrażenie, pozbawiamy się tej wyobraźni i zostawiamy tę wyobraźnię dla fachowców, którzy tworzą potem te rzeczy.
1820:  KMM - To jest częsty argument, który rozbrajają kognitywiści.
1823:  KMM - To znaczy, jeżeli widzisz w grze wieżę na horyzoncie, to ty zaczynasz robić dokładnie to samo, jak w literaturze czytasz o tym, że bohaterowie zmierzają do zamku.
1833:  KMM - Myślisz to samo.
1834:  KMM - To znaczy zaczynasz sobie wyobrażać, co będzie w tej wieży.
1836:  KMM - Zaczynasz sobie wyobrażać, co będzie w tym zamku.
1839:  KMM - Espen Arset, groznawca z odpowiednika naszego AGH w Danii, to znaczy IT University of Copenhagen, który założył tam Centrum Badań Game Studies, jest też redaktorem naczelnym czasopisma Game Studies, które oczywiście nie ma żadnych punktów, ale tym się nikt nie przejmuje, ponieważ wyłącznie w Polsce się przejmujemy punkcikami z artykuły.
1854:  KMM - a na całym świecie robimy poważną naukę.
1857:  KMM - No więc też sam Espen Arseth powiedział, że to się nazywa hermeneutyka czasu rzeczywistego, że gramy i równocześnie interpretujemy.
1863:  KMM - A w literaturze bardzo często jest tak, że ta interpretacja przychodzi trochę później, więc to jest ciekawe.
1868:  KMM - I kognitywiści mówią generalnie jedną rzecz, że jeżeli mamy jakikolwiek świat, który został wykreowany przez kogokolwiek, pisarza, projektanta gry, malarza,
1878:  KMM - to on wymaga od nas zawsze naszych jakichś kompetencji, żebyśmy my byli w stanie ten świat uzupełnić i zrozumieć.
1884:  KMM - Ktoś, kto wie dużo na temat średniowiecznych zamków, jak przeczyta w literaturze, że bohaterowie przybyli na zamek i przez bramę warowną przejechali konno i później się udali na krenelaż, to on będzie wiedział, o co z grubsza chodzi, prawda?
1899:  KMM - Natomiast ktoś kto zna więcej na temat, jeszcze więcej na temat średniowiecza i architektury i tak dalej i tak dalej, powie sobie, ale zaraz, zaraz, przecież krenelaż to są te blanki przy murze, powinien był powiedzieć, że idą na mur sobie przy bramie, a nie na krenelaż, to jest bez sensu, nikt nie będzie chodził po krenelażu.
1913:  KMM - Więc wiesz, nagle się okazuje, że ta wiedza, z którą przychodzisz do jakiegokolwiek świata, ona determinuje w dużym stopniu to, co sobie będziesz wyobrażał.
1920:  KMM - To nie jest tak, że literatura wyłącznie potęguje naszą wyobraźnię, bo my nie wyłączamy wyobraźni, jak gramy w grę lub oglądamy film.
1928:  KMM - I jest bardzo prosty dowód na to.
1931:  KMM - Chociażby to, jaki jest odbiór i gier, i filmów.
1934:  KMM - Ludzie bardzo często mówią, nie, ja sobie nie tak to wyobrażałem, albo tak nie wyglądają zamki, albo tak nie wygląda Night City, tutaj jest pewien problem.
1942:  KMM - My nie umiemy wyłączyć naszego mózgu.
1944:  KMM - Ale wiesz, problem jest też taki, że
1947:  KMM - To są badania kognitywistyczne, które bazują w gruncie rzeczy na eksperymentach społecznych.
1952:  KMM - Był taki eksperyment w MIT przeprowadzany.
1954:  KMM - On się nazywał Hyper Cafe.
1956:  KMM - Polegało to na tym, że w jednej kawiarni byli zgromadzeni ludzie i notowano w ramach obserwacji uczestniczącej, o czym rozmawiają.
1964:  KMM - No i oczywiście okazało się, że wystrój kawiarni wpływał bardzo często na to, co się ludziom kojarzyło.
1969:  KMM - No i to była właśnie ta hipoteza główna, która przysłużyła się stworzeniu terminu story word, czyli świat narracji.
1974:  KMM - I story wordy są fajną alternatywą dla świata przedstawionego, bo świat przedstawiony w literaturze to jest właśnie takie tło fabuły.
1980:  KMM - A w przypadku gry wideo nie mamy tła fabuły, tylko mamy świat, który się cały czas rozpościera między nami.
1985:  KMM - Czasem może być proceduralnie generowany i zrandomizowany i będziesz mieć za każdym razem, wchodzisz do jednej lokacji, to będzie ona inaczej wyglądała chociażby.
1993:  KMM - Więc też to nie jest tak, że nie będzie właśnie tego asumptu do tego, żeby się zastanawiać nad tym, jak ten świat wygląda i wyobrażać go sobie na najróżniejsze sposoby.
2002:  KMM - Po prostu jest to bardziej już skomplikowana rzeczywistość, która też mam wrażenie w większym stopniu otwiera się na to, o czym zawsze marzyli pisarze, to znaczy, żeby świat był...
2013:  KMM - nieskończony, żeby to nigdy nie było dzieło, które jest zamknięte, że stawiasz kropkę na ostatniej stronie i to już jest koniec.
2021:  KMM - A tymczasem do światów gier widomych możemy w nieskończoność wracać, tak samo jak możemy wracać do jakiejś przestrzeni, którą my stworzymy.
2027:  KMM - Więc to jest taka teoria, która rozpościera się na bardzo dużo dziedzin życia, od architektury wnętrz,
2032:  KMM - poczynając, a skończywszy właśnie na tym, w jaki sposób projektujemy wirtualną architekturę wnętrz.
2036:  KMM - Co nawiasem mówiąc, zaczyna być kresz kompetencją przyszłości, tak jak już rozmawiamy o tym, czy rzeczywiście to światotworzenie to jest coś sztucznego, nieprzydatnego.
2045:  KMM - No, Apple Vision Pro mówi co innego, tak?
2048:  KMM - Nagle się okazuje, że ludzie pracują inaczej, no niesamowite, we wnętrzu, które dobrze im zaprojektujemy.
2054:  KMM - A później sobie przypomnimy korporacyjne różne próby tworzenia game roomów na przykład, albo tworzenia przestrzeni pracy, która nie jest tym nudnym open space'em.
2063:  KMM - Ojej, magicznie ludzie lepiej pracują.
2065:  KMM - Ja sam sobie stworzyłem przestrzeń do pracy, w której mam mapę na całą ścianę Warhammera Phantasy, prawda?
2070:  KMM - I wiesz, inaczej się tam pracuje.
2072:  KMM - Na pewno się tam inaczej pracuje niż w tym wcześniejszym mieszkaniu, w którym miałem, gdzie patrzyłem tylko na ścianę beżowych rolet i było to nudne i nieprzyjemne.
2082:  KMM - Więc to, w jaki sposób aranżujemy przestrzeń wokół siebie, ma absolutnie kluczowe znaczenie właśnie dla stymulacji tej wyobraźni.
2088:  KMM - Ale tak, rozumiem absolutnie argument, że przez to, że my się nie stykamy w ogóle w szkolnictwie z analizą dziełu kultury audiowizualnej, mamy takie przekonanie, że tylko literatura zmusza nas do tego wysiłku wyobrażania sobie czegoś.
2102:  KK - Szkoły idą na lekturę.
2104:  KK - Andrzej szkoły pójdą wajda, cały czas jest silny, tak.
2109:  KK - Czy jak masz tę mapę na ścianie, czy ty czujesz taką imersję, wchodzisz do pokoju i jesteś w tym świecie, czy jeszcze chstąpasz po ziemi?
2122:  KMM - Wiesz co, to jest bardzo ciekawy wątek.
2124:  KMM - Wydaje mi się, że
2126:  KMM - Na pewno coś się zmienia, to znaczy lepiej się pracuje we wnętrzu, które ma swoje funkcje.
2133:  KMM - Ja starałem się myśleć funkcjonalnie o tym, w jaki sposób projektowałem sobie mieszkanie, bo miałem taką możliwość na szczęście po przeprowadzce i powiedziałem sobie, że już nigdy nie zrobię tak, żeby chociażby miejsce spania było równocześnie miejscem pracy i miejscem odpoczynku i miejscem snu i jeszcze milionem innych.
2151:  KMM - Czyli jak lokacje w grach.
2152:  KMM - Tak.
2153:  KMM - I wiesz, że to działa?
2154:  KMM - To znaczy, ja miałem potworne problemy z bezsennością wcześniej, ponieważ wygodnie myślałem, że mam telewizor 60 cali nad łóżkiem, akurat tak powiesiony przy suficie, że jak sobie leżałem, to oglądałem.
2167:  KMM - No i magia, nagle się okazało, że nie mogę zasnąć, ponieważ mój mózg był przyzwyczajony, że ta przestrzeń służy do czego innego, ona służy do wypoczynku aktywnego.
2175:  KMM - Więc miałem problem z zaśnięciem.
2177:  KMM - I to samo bardzo często może być, jeżeli ktoś na przykład, no nie wiem, siedzi w akademiku i ma, powiedzmy, no wiadomo, ograniczoną przestrzeń, więc będzie tak szesło i będzie łóżko, tak?
2186:  KMM - I jeżeli będziemy z laptopem leżeć na łóżku, tak jasne, będzie nam wygodniej, ale potem się może okazać, że coś się tam...
2192:  KMM - Przekliknij i będziemy mieli problemy z zaśnięciem.
2195:  KMM - Jeżeli będzie jakaś jedna przestrzeń do pracy, jedna przestrzeń do snu, to już to zmienia.
2199:  KMM - Nawet zmiana wystroju, żeby sobie inaczej ułożyć rzeczy na łóżku, jeżeli się pracuje, a inaczej, jeżeli się śpi, to już zmienia postać rzeczy bardzo.
2207:  KMM - Ja do tego podchodzę bardzo poważnie właśnie z tego względu, że
2211:  KMM - Trochę gry nauczyły mnie myślenia w tym, w takim funkcjonalnym sensie, że każde pomieszczenie, każda przestrzeń ma swoją funkcję.
2218:  KMM - My tylko kompletnie nie rozumiemy, jak organizujemy swoją przestrzeń pracy i nauki.
2222:  KMM - Kompletnie nie rozumiemy, że jak są ławy jak w kościele na salach wykładowych, to ludzie też będą działać jak wierni w kościele, to znaczy będą kiwać głowami i wstawać w odpowiednich momentach i śpiewać w odpowiednich momentach.
2232:  KMM - A tymczasem przestrzeń, o czym trąbi o pedagodzy od lat 70. w górę, typu, że mamy okrągły stół i rozmawiamy, jest zupełnie inna.
2240:  KMM - Pamiętam, jak organizowałem konferencję właśnie i był układ katedralny, ludzie się nie zgłaszali do wypowiedzi, ale jak prelegent razem z ludźmi siedzieli przy jednym stole i dyskutowali, to siłą rzeczy patrzysz na wszystkich, którzy są naokoło.
2253:  KMM - W związku z powyższym przez to czujesz jakieś zobligowanie, że nie, no ja w sumie może zapytam, tak?
2258:  KMM - I też nie czujesz tego dystansu, że tutaj jest jakiś prelegent mądry, a tu jest cała nasza... Tu są szare myszek, które tego słuchają.
2266:  KMM - Myszy.
2266:  KMM - Więc bez sensu troszeczkę.
2267:  KMM - I nagle się okazuje, że wprowadzasz pewien podział.
2270:  KMM - Więc to, w jaki sposób organizujemy przestrzeń, absolutnie ma fundamentalne znaczenie.
2274:  KMM - Wiesz, też dla takiej imersji.
2275:  KMM - Wyobraźmy sobie przez jeden moment, zresztą nawet nie musimy, wystarczy zobaczyć, jak podcasty są bardzo często też organizowane, zresztą
2283:  KMM - Sala wykładowa ma ścianę, taką jak w niektórych studiach telewizyjnych, z ekranów LED-owych czy jakichkolwiek innych i na niej się wyświetla coś.
2294:  KMM - Robisz na przykład jakieś animacje na wykładzie z astrofizyki.
2299:  KMM - To wszystko zmienia.
2300:  KMM - Automatycznie wszystko zmienia.
2301:  KMM - To w jaki sposób sobie organizujemy przestrzeń.
2303:  KMM - My niestety jesteśmy przyzwyczajeni do tego, że budujemy kolejny kampus.
2308:  KMM - Wszędzie będzie wyglądało to wszystko tak samo.
2310:  KMM - Będzie sterylne wnętrze.
2311:  KMM - Oczywiście te... Tysiąc latki.
2313:  KMM - Tak, tak, tak.
2314:  KMM - I jeszcze te nieszczęsne takie niby drewno fajansowe, te wszystkie krzesła.
2319:  KMM - No okropnie to wygląda.
2321:  KMM - I mały rzutniczek na środku wielkiej ściany, na której nie ma nic więcej.
2328:  KMM - A tymczasem zobaczmy, jak wygląda sala kinowa.
2330:  KMM - Tak mało trzeba, żeby się zastanowić nad tym, jakie były nasze sposoby osiągania zanurzenia.
2336:  KMM - W kinie mamy wyciemnienie, wielki ekran, snop światła na ten ekran.
2341:  KMM - A jak robimy to, jeżeli nie mamy kina?
2343:  KMM - Naciągamy kołdrę na głowę, bierzemy sobie latarkę i czytamy opowiadanie.
2349:  KMM - To jest to samo.
2350:  KK - Pamiętam, miałem też taki przedmiot, zresztą właśnie u was na wydziale obieralny, sztuczna inteligencja w perspektywie nauki popkultury i właśnie po to, żeby można było obejrzeć filmy, zajęcia prowadziłem wieczorami od godziny 20 do 22, prawda?
2367:  KK - I wtedy nie musiałem się martwić o tego typu rzeczy.
2370:  KMM - Tak, więc to jest fundamentalnie istotna sprawa.
2373:  KMM - Ja wiem, że oczywiście jak każdy młotek wszędzie widzę gwoździe, ale prawda jest taka, że światotwórstwo, jeśli spojrzymy na nie troszeczkę szerzej, to jest coś, co naprawdę może zainteresować wiele osób.
2383:  KMM - Wszystkim powtarzam, nie musisz iść na studia, które mówią, o będziesz projektował gry wideo, żeby projektować gry wideo architekt.
2390:  KMM - Bardzo się przyda zespołowi level designerów, projektantów poziomów, którzy zastanawiają się na przykład na tym, ok, jak zorganizować tę przestrzeń, żeby ludzie przemieszczyli się na przykład w tym kierunku.
2401:  KMM - Architekt to wie, bo on tak projektuje taką przestrzeń od lat i wystarczy zrobić to w przestrzeni cyfrowej.
2407:  KMM - Programista, no nie muszę mówić, że się przyda w przypadku gier wideo, bo to jest ten język, którym się tam posługujemy.
2413:  KMM - Więc tutaj nie trzeba przekonywać.
2414:  KMM - Ale na przykład sporo ludzi, którzy idą i jeżdżą do ASP, nawet nie myśli o tym, że może wylądować w przemyśle Gier Video, a może, tylko pod warunkiem, że się zainteresuje metodami speedpaintingu i szybkiego malowania i równocześnie wykorzystaniem sztucznej inteligencji, która mówi, dobrze, wygeneruj mi pięć settingów, żeby były atrakcyjne.
2432:  KMM - Powiedzmy, że jeden to będzie fantasy, drugi będzie bardziej w stronę science fiction, trzeci w stronę steampunk, a różne estetyki.
2438:  KMM - I producent powie, okej, idź w tym kierunku.
2440:  KMM - I w tym momencie koncept artysta zaczyna malować już swoje rzeczy, więc też ma narzędzia oddane do siebie.
2446:  KMM - Więc bardzo dużo różnych dyscyplin, które się mogą przydać.
2448:  KMM - Zresztą nawet polonistyka, którą ja nolens wolens reprezentuję, skończywszy takie studia, ma swoich dumnych przedstawicieli w postaci chociażby Marcina Blachy, który jest CD Projekt Red Lead Narrative Designerem, Artura Ganszyńca, który ma na koncie nagrodę polityki za gry wideo.
2464:  KMM - Teraz czy ja pamiętam tytuły tych gier?
2467:  KMM - Nie pamiętam, ale łatwo będzie sprawdzić, bo niewiele gier wideo dostało nagrody polityki.
2472:  KMM - I Werewolf Epocalypse tak mi się wydaje, ale nie chcę strzelać tytułami, bo ja nigdy nie mam pamięci tych tytułów.
2476:  KMM - W każdym razie każda dyscyplina jest w stanie sobie coś takiego wyłuskać, tylko kluczowych kwestii jest kilka.
2482:  KMM - Po pierwsze trzeba się interesować grami i znać właśnie różne gatunki gier i wiedzieć jakie są oczekiwania odbiorców, to po drugie.
2488:  KMM - Na po trzecie, fajnie byłoby też właśnie zainteresować się tym innym sposobem, takim bardziej bazodanowym myślenia o projektowaniu narracji.
2496:  KK - Natomiast są też takie elementy, mam wrażenie, które można tak hipotetycznie troszkę zaszufladkować na zasadzie na przykład język.
2505:  KK - Bo ja pamiętam jeszcze ze studiów tam hipoteza Sapira-Wurfa, że język wpływa na rzeczy, kształtuje rzeczywistość.
2512:  KK - Nawet nie wiem, czy ta hipoteza jeszcze jest obalona, czy prawdziwa, ale generalnie, że język
2516:  KK - kształtuje nam tę rzeczywistość, więc w literaturze ten język bardzo często był używany właśnie w fantazy, prawda, do tworzenia trochę tej rzeczywistości.
2526:  KMM - Jak to jest w grach?
2529:  KMM - Ja uważam, że w zasadzie nie ma różnicy, to znaczy...
2532:  KMM - conlangi, czyli constructed languages, są wykorzystywane w tej chwili bardzo powszechnie i wbrew pozorom one mają wpływ na odbiór.
2540:  KMM - Przykład konkretny.
2541:  KMM - HBO zatrudniło ksenolingwistę, czyli projektanta języków sztucznych, Davida Petersona, do tego, żeby zaprojektował język do traki, czyli ten język, którym się to nomadyczne plemię posługiwało, do którego trafiła Daenerys Targaryen.
2555:  KMM - No i ktoś mógłby powiedzieć, że przecież on mógłby mówić garlżawaliźnijim,
2558:  KMM - I to nie ma żadnego znaczenia.
2560:  KMM - Spoiler alert, ma znaczenie, to znaczy nasz mózg, nawet jeżeli nie zna jakiegoś języka, to wychwytuje podobieństwa fonetyczne, muzyczne, melodyczne, frazowe.
2570:  KMM - My to słyszymy.
2571:  KMM - Nasze mózgi są mądrzejsze od nas bardzo często.
2574:  KMM - Wystarczy sobie wyobrazić sytuację, że jedziemy do Arabii Saudyjskiej na dwa tygodnie i nie wiemy nic na temat arabskiego.
2580:  KMM - gwarantuje, że w którymś momencie będziemy rozpowiadać niektóre frazy.
2583:  KMM - I to było po to, żeby ludzie nie wyrwali się właśnie z zanurzenia i z inmersji, a będą słyszeć bzdury, ale jest jeszcze też powód praktyczny.
2589:  KMM - No jak nauczysz aktora tego, że ma mówić jakieś losowe ciągi dźwięków i to jeszcze, wiesz, aktor musi wtedy zagrać to tak, żeby to było z dobrą intonacją, żeby wyrazić gniew, żeby wyrazić smutek, albo, nie wiem, będzie kilka różnych cięć i kilka różnych podejść na planie i teraz masz to zagrać z gniewem, ale ja już
2607:  KMM - nie pamiętam, co powiedziałem na przykład.
2609:  KMM - No i jest problem, nagle musisz stworzyć sztuczny język.
2611:  KMM - No więc jeżeli chcesz rzeczywiście stworzyć atrakcyjny świat growy, jak najbardziej tego typu conlang można skonstruować, tylko to jest trudne.
2618:  KMM - Ale czasem można postawić na... Chociaż w Simsach też już... No właśnie, tak, tak, absolutnie.
2623:  KMM - Można też postawić na proste rozwiązania.
2625:  KMM - W Hollow Knight'cie też jest taki dziwny język robaczkowy.
2629:  KMM - Napotykasz postaci, które mówią melemu, na przykład, albo papanada.
2633:  KMM - Nie wiadomo, co to znaczy, ale jest to zabawne i przyjemne i powtarza się wiele razy, więc też gracze w którymś momencie, jak to gracze, jak to fani, zrekonstruowali ten język, próbowali napisać jego słownik.
2644:  KMM - Tak samo było, i to jest chyba najlepszy przykład, jaki mam.
2646:  KMM - Zawsze mówię o nim na zajęcia, więc moi studenci teraz sobie mogą przewinąć o minutę trzydzieści dalej.
2651:  KMM - Mianowicie w Skyrimie jest język smoczy.
2653:  KMM - Smoki nie mają przeciwstawnego kciuka, więc nie mogą trzymać pióra.
2656:  KMM - Mamy problem z zapisem.
2657:  KMM - Nie, nie mamy problemu z zapisem, bo istnieje pismo klinowe i smok pazurem w skale z łatwością będzie torył.
2663:  KMM - Ja myślałem sobie, że na tym polega koniec innowacji światotwórców.
2667:  KMM - Akurat w Bethesdzie, która projektowała Skyrim, a jedna z ostatnich dobrych gier Bethesdy,
2672:  KMM - Nie.
2673:  KMM - Okazuje się, że na ścianach, gdzie poznajemy ten język, to są ściany z smoczego języka, gdzie jak podszedłszy otrzymujemy kolejny glif składający się na jakieś zaklęcie, którego potem używamy.
2685:  KMM - Myślisz sobie, no dalej mechanika, growa prosta, podchodzę do ściany, dostaję fragment zaklęcia, następna ściana, następna ściana.
2690:  KMM - Jest jeden problem.
2691:  KMM - Na tych ścianach są poematy.
2693:  KMM - Nikt nie musiał tego zrobić, ale tak, te trzy poematy składają się na wiersz na temat jednego z zaklęć, które pozyskujemy w języku smoczym.
2701:  KMM - Co więcej, te poematy właśnie zostały zapisane w języku smoczym, tym alfabetem klinowym i na podstawie tego gracze byli w stanie zrekonstruować ten język tak, jak byliśmy w stanie zrekonstruować hieroglify dzięki kamieniowi z Rosetty.
2714:  KMM - I potem zaczęli uczyć się tego języka.
2717:  KMM - Jest do dzisiaj strona tuum.org, pisze się to t-h-u-u-m-org,
2722:  KMM - gdzie możemy faktycznie dostać ćwiczenia, porady, jak to należy wymawiać, jest alfabet cały, no autentycznie są zadania językowe.
2731:  KMM - No i też można zadać sobie pytanie, po cholerę to komukolwiek, a na przykład chór, który śpiewał fragment Sovngarde, napisany przez Jeremy'ego Sola, a niby skąd miał wiedzieć, jak to należy przeczytać?
2742:  KMM - No ktoś musiał zrobić na jakimś etapie transkrypcję fonetyczną i powiedzieć, ten dźwięk się czyta tak.
2749:  KMM - Ale skoro to zrobił, to gdzieś to zostało w jakichś dokumentach gry i można to potem wykorzystywać dalej.
2754:  KMM - Więc jak najbardziej język w grach się rozbija na takie dwa powiedzmy.
2759:  KMM - Jeden to będzie ten język kodu, który wykorzystujemy na najbardziej bazowym, elementarnym, atomowym poziomie do tego, żeby projektować interakcje w grze, mechaniki, dynamiki, systemy.
2769:  KMM - ale później będziemy mieli ten język, którym posługują się bohatery, więc nasz język naturalny.
