Czy da się naprawić polski system edukacji? - Krzysztof M. Maj - Rozkwit Skrzydeł
🔗 https://www.youtube.com/watch?v=dcWd-Napm5U
KMM (Krzysztof M. Maj)
PO (Piotr Ogłaza)

0:  PO - Witam wszystkich w pierwszym podcaście projektu Rozfit Skrzydeł.
1425:  KMM - Czyli ja nie polecam Bioshocka Infinite dlatego, że jest wybitna gra zrobiona przez Ken'a Levina,
1430:  KMM - Musicie to znać!
1431:  KMM - Każdy powinien grać!
1433:  KMM - Nie jesteś graczem, jak nie zdasz Bioshocka Infinite!
1435:  KMM - Tylko mówię, że to jest konkretna liczba fajnych rozwiązań, które zostały zastosowane i dlatego warto to poznać.
1442:  KMM - Jak będzie inna gra, która wprowadzi te rozwiązania lepiej, to zmienię swój przykład.
1446:  KMM - Tak?
1447:  KMM - Więc dla mnie tym jest lektura.
1448:  KMM - Ja to traktuję strasznie funkcjonalnie, więc jeżeli by ktoś chciał... To jak ci podałem ten przykład z Wiedźminem, tak?
1453:  KMM - Chcesz mieć te dziady, to weź Wiedźmina III.
1455:  KMM - I...
1457:  KMM - Na tej zasadzie można byłoby przejść przez większość tych ważnych, nazwijmy to, zagadnień, które się pojawiają w naszej historii kultury i zobaczyć, czy ktoś by mi powiedział tego ciekawiej.
1467:  KMM - No na przykład dla mnie ciekawszym spojrzeniem na tematykę powstań czy narodowej tożsamości jest to, co robi Jacek Dukaj w Xawrasie Wyżryn i innych fikcjach narodowych, gdzie przedstawia rajd atomowy na Moskwę.
1479:  KMM - Ciekawsza perspektywa zdecydowanie niż, wiesz, czytanie jakichś cierpiętniczych rzeczy dotyczących kolejnego powstania, które się nie udało.
1487:  KMM - Free body problem.
1514:  KMM - Na przykład.
1514:  KMM - Czytałem ostatnio.
1516:  KMM - No widzisz, albo natrafiasz na Cyberpunk Edgerunners, czy tego typu rzeczy.
1521:  KMM - Nagle jest o czym rozmawiać i to też jest science fiction.
1524:  KMM - Możesz powiedzieć, a tak by the way to był Lem jeszcze.
1527:  PO - No i jeszcze w sumie jakby teoretycznie, jeśli chodzi o... Są też teoretycznie książki z tego świata.
1534:  PO - Chyba gdzieś Ziemiański napisał.
1538:  PO - Typowo wiesz...
1540:  KMM - A chodzi ci o tę książkę Ziemiańskiego, a on się pod to podpiął, ale z tego co pamiętam, to nie podchodzi wprost pod uniwersum Serifaka 2077, natomiast zostało sprytnie wydane, tak żeby bardzo przypominało szatą graficzną tą uniwersum, więc to był sprytny zabieg ze strony Ziemiańskiego, co nie zmienia faktu, że widzisz, poruszyłeś też ważną kwestię, to znaczy kompletnie jest nieadresowany w szkołach na lekcjach języka polskiego ten problem powstawania dużych światów, w których mamy różnego rodzaju media, a to jest, wiesz, aż się prosi, żeby wykorzystać to do tego, żeby
1570:  KMM - kogoś zainteresować animką, ale ta animka doprowadzi się do książki, którą będziesz chciał przeczytać, żeby poznać więcej o historii tego świata.
1577:  KMM - I nagle sam zaczynasz czytać, nawet się nie orientujesz.
1579:  PO - Ja myślę, że ogólnie dużo rzeczy brakuje.
1582:  KMM - Tak, znaczy ja myślę, że to wynika z fundamentalnego niezrozumienia tego, czym jest kultura.
1587:  KMM - Ludzie się bawią w wartościowanie, a wartościowanie należy do krytyków.
1591:  KMM - Krytycy się bawią w wartościowanie, odłączasz sobie recenzję i masz wartościowanie.
1594:  KMM - Tak.
1595:  KMM - Naukowcy nie wartościują, nauczyciele nie powinni wartościować.
1598:  KMM - My bardzo często nie nadajemy się do tego, żeby coś wartościować, bo żeby mieć pogląd, trzeba mieć przegląd.
1603:  KMM - Więc jeżeli się nie obejrzało, nie wiem, N filmów science fiction, no to ciężko jest kompetentnie powiedzieć, że no, ten film jest zły.
1609:  KMM - No ale dlaczego jest zły?
1610:  KMM - No mi się nie podoba.
1611:  KMM - A co ponadto?
1612:  KMM - No i tu jest dupa, tak?
1613:  KMM - Nagle się okazuje, że nie mamy argumentów, bo nie mamy przeglądu.
1615:  KMM - I to jest bardzo proste.
1617:  KMM - I budowanie, wiesz, sobie takiej erudycji w różnych obszarach jest kluczowe, a
1621:  KMM - Szkoła nas cały czas uczy, że budowanie erudycji jest kluczowe w jednym obszarze, czyli w literaturze.
1626:  KMM - No a ja zaczynam coraz bardziej odczuwać na przykład to, że jak teraz jest już to moje pokolenie, które się zajarało grami i bardzo, bardzo dużo grało przeglądowo, no już jest pokoleniem starym.
1639:  KMM - i nagle rozmawiamy z ludźmi, którzy też grają, ale już mają zupełnie inne horyzonty, to nagle się okazuje, że klasyki dla nas absolutnie nie są klasykami dla młodych ludzi i to jest absolutnie niezdumiewające.
1649:  KMM - Ale to też jest bardzo dobry dowód myślę na to, jak szybko powstają te kanony, jak szybko mamy taką tendencję do robienia tego rodzaju list.
1658:  KMM - Więc ja jestem po stronie robienia list oddolnych albo mapowania sobie czegoś, jeżeli nas coś interesuje.
1663:  KMM - Planuję zrobić taki eksperyment na kanale i mam nadzieję, że to będzie wtedy czytelniejsze, że będziemy sobie robili taką mapę różnych
1669:  KMM - gatunków, które jarają różnych ludzi.
1671:  KMM - Zobaczymy, jak to wyjdzie.
1671:  PO - Mam nadzieję... Brzmi strasznie ciekawie, już się nie mogę doczekać.
1678:  KMM - Zobaczymy.
1678:  KMM - Mam nadzieję, że wyjdzie, bo wiesz, to chodzi po prostu o to, że ja nigdy nie chcę wychodzić na osobę, która narzuca ludziom, co powinni przeczytać.
1685:  KMM - Mój gust jest też bardzo specyficzny.
1687:  KMM - Opierałem się dwa i pół roku przed zagraniem w God of War'a, ponieważ nie znoszę grać czymkolwiek innym niż mag.
1695:  KMM - Zawsze to była moja ulubiona klasa.
1696:  KMM - Po czym, wiesz, grałem pod namową ludzi w God of War'a i widzę, że to jest jedna z najwybitniejszych gier, w jakich grałem w całym swoim życiu.
1704:  KMM - I nagle, wiesz, odczuwam potrzebę rewizji czegoś, co mnie blokowało przed poznaniem jakiegoś obszaru kultury.
1710:  KMM - Więc to jest kluczowe, żeby, wiesz, rozmawiać i budować sobie taką mapę właśnie, a nie listę.
1716:  PO - Tak, może Pidgey God of War też jest moją jedną z ulubionych gier, więc mogę się podpiąć.
1721:  PO - Choć ten drugi jakoś Ragnarok mnie praktycznie w ogóle nie wkręci.
1725:  KMM - Nie spojruj, bo jeszcze nie gra, ale czekam aż wyjdzie na PC.
1729:  PO - Teoretycznie ja grałem trochę, ale trochę się odbiłem od ściany.
1736:  PO - Ja też nie mam czasu zbytnio w sumie na granie.
1741:  KMM - Wiesz, rozumiem, chociaż mówię to z dużą przykrością, bo też pamiętam, że ta liczba zadań domowych, liczba zajęć na studiach i tak dalej była w tak zwanych moich czasach niższa.
1754:  KMM - I ostatnio nawet rozmawiałem o tym z rodzicami i się złapałem na tym, że ja przychodziłem do domu, robiłem godzinę max zadania wszystkie.
1763:  KMM - Co więcej, ja je robiłem wyłącznie w tygodniu i nigdy w weekend.
1767:  KMM - I nigdy w weekend się też nie uczyłem.
1770:  KMM - I jeszcze miałem czas na to, żeby minimum jakieś dwie godziny pograć, potem obejrzeć z rodzicami jakiś film, pogadać z nimi jeszcze, potem jeszcze czytałem książkę, więc tego mojego wolnego czasu było jakieś sześć godzin, a oprócz tego jeszcze zażywałem tych siedmiu godzin snu, więc...
1790:  KMM - Jak ja słyszę ludzi, którzy przychodzą ze szkoły i hakują do 12 czy do 1, bo jest takie obciążenie, no to burzy się we mnie krew, bo widzę, że nie mają po prostu czasu wtedy, no tak, mówisz chociażby, na rozwijanie własnych zainteresowań, a szkoda.
1806:  PO - Powiem ci szczerze, że ja się uczyłem mniej niż ty kiedyś, więc głównie po prostu się skupiam na różnego rodzaju sobie działaniach społecznych, różnego rodzaju po prostu...
1821:  PO - do budowania sobie CV.
1823:  KMM - No tak, ale to bardzo też słusznie i roztropnie.
1825:  KMM - Ja ostatecznie wybrałem karierę, w której to się powiedzmy jakoś przydawało, chociaż też się waham przed tym, bo mam takie wrażenie, że nieuczciwy byłbym wobec wszystkich ludzi, którzy na przykład chcą wybrać tego rodzaju ścieżkę zawodową i myślą sobie, o to ja zrobię tak, Krzysztof, no to Krzysztof zrobił tak, że na poziomie drugiej klasy liceum był zwolniony ze szkoły.
1846:  KMM - ponieważ miał umowę z dyrektorem, że dowiezie dwa tytuły olimpijskie i dowiózł.
1851:  KMM - Ale to była umowa i ja zdawałem wszystkie przedmioty eksternistycznie, znaczy ja sobie w ogóle nie wyobrażam teraz, żeby była podobna sytuacja przy tych rygorach, które są obecnie.
1860:  KMM - Więc tak, ja miałem w liceum jeden rok w zasadzie, no półtora powiedzmy, a reszta u mnie polegała na tym, jak na studiach byłem praktycznie, znaczy chodziłem do biblioteki, uczyłem się.
1870:  KMM - I tyle.
1871:  KMM - Sam.
1872:  KMM - Więc wiesz, to nie jest taki typowy kazus, że sobie siedzisz, hakujesz, robisz zadanka, masz ze wszystkiego piąteczki, to już zostajesz naukowcem.
1880:  KMM - Ale absolutnie nie.
1882:  KMM - Podstawowa kompetencja w tej dyscyplinie, wiesz, ktoś chciał słuchać i chciał w tym kierunku iść, to jest samodzielna nauka i organizacja własnego czasu.
1890:  KMM - Czyli wiesz, masz żelazną wolę.
1894:  KMM - Tak jak ja też, mam trzy monitory na około siebie, tu książki, tam telewizor, na którym sobie mogę oglądać tyle, ile chcę.
1902:  KMM - Mogę sobie grać, teraz mógłbym odpalić Steam, grać 7 godzin, jeszcze ludzie by to oglądali.
1907:  KMM - Ale ja stwierdzam nie, na przykład robimy podcast, albo stwierdzam nie, za moment muszę zrobić konkretną rzecz, to znaczy to będzie mój moment pisania tekstu.
1915:  KMM - Wiesz, przy wszystkich możliwych dystraktorach, to jest mega trudne do zrobienia, zwłaszcza dzisiaj, jak mamy, wiesz, wszystkie aplikacje nas otaczające.
1923:  KMM - są zaprojektowane po to, żeby przyciągać naszą uwagę.
1926:  KMM - My się totalnie w nauce nie zastanawiamy nad tym, jako nauczyciele, co one takiego robią, że naszą uwagę przyciągają.
1934:  KMM - Bo to są bardzo konkretne i bardzo łatwe do reprodukcji techniki i strategie.
1942:  PO - Jeszcze właśnie propos języka polskiego.
1944:  PO - Ja uważam, że tort się... Dla mnie to jest nie do rzeczy, że jest tak mały nacisk na...
1952:  PO - na gatunki, które strasznie, jakby można powiedzieć, podwyższają kreatywność, typu na przykład science fiction czy fantasy dosłownie.
1961:  PO - Tak naprawdę dla mnie jest niedoczesne to, że na przykład nauczyciele mówią, że nie lubią science fiction, bo jest to jakby teoretycznie jakieś bajki, a tak naprawdę jakby taki kord science fiction jest to, że teoretycznie on pokazuje rozwój cywilizacji, opierając się w jakiś sposób na nauce, więc...
1981:  PO - czy tam jakieś fantazy, które po prostu budzi kreatywność.
1985:  PO - Nie wiem, chyba jakaś katedra jest czy coś,
1990:  KMM - A katedra jest jednym z takich słabszych opowiadań Dukaja, ale z kolei animacja była dominowana do oskara, więc dlatego katedra jest na liście.
1999:  KMM - Ona nie jest z jakichkolwiek innych powodów.
2001:  KMM - To jest strasznie smutne, co mówisz, bo nauczyciel w ogóle nie ma takiej przestrzeni, żeby powiedzieć, wiesz, eks katedra, bo on jednak zajmuje tę pozycję autorytetu, czy tego chcemy, czy nie, że czegoś nie lubi.
2015:  KMM - Bo...
2017:  KMM - Wiesz, ja słyszałem coś takiego na studiach polonistycznych, gdzie kształtowano nauczycieli polonistów.
2022:  KMM - Było raz trzy setki, wiesz, i profesor ci mówi przez cały rok praktycznie o wszystkich możliwych typach literatury, wyjąwszy właśnie te wymienione przez ciebie.
2031:  KMM - No więc, wiesz, w mózgach takich nauczycieli przyszłych tworzy się bardzo prosta
2036:  KMM - zależność.
2037:  KMM - Aha, czyli jeśli na studiach mi tego nie przywoływali, a na studiach mówi się o rzeczach ważnych, to jest nieważne.
2043:  KMM - I on nawet sobie może nie zdawać sprawy, że coś takiego zostało wszczepione, wiesz, do głowy, jak w incepcji Nolana.
2049:  KMM - I...
2050:  KMM - I potem mamy problem, bo nagle ludzie uznają to za fakt objawiony i ten fakt transmitują dalej i mówią, że na przykład czegoś nie lubię.
2057:  KMM - Ja chyba nie przypominam sobie, żebym kiedykolwiek na zajęciach powiedział, że na przykład nie lubię jakiegoś gatunku literatury.
2064:  KMM - Nie lubię horroru, ale mówię studentom następująco.
2067:  KMM - Słuchajcie, jedne zajęcia powinny być o horrorze i literaturze grozy.
2071:  KMM - Ja się na tym kompletnie nie znam.
2073:  KMM - Przeczytajcie, co na ten temat napisała profesor Ksenia Olkusz, doktor Krzysztof Grudnik.
2078:  KMM - Do ich tekstów idźcie, znajdziecie tam odpowiedzi.
2081:  KMM - Albo przeczytajcie sobie monografię Miguela Girego, albo jeszcze jakąś książkę pod redakcją Gajewski na ten temat i będzie pięknie.
2091:  KMM - Mówię inaczej, ale mówię niby to samo, prawda?
2094:  KMM - To znaczy, no nie możesz zająć pozycji wartościującej w takiej sytuacji, gdy chcesz ludziom dać narzędzia do omawiania literatury i kultury.
2101:  KMM - A jeżeli chodzi o fantasy i science fiction, jest jeszcze jedna zaleta.
2104:  KMM - Zauważ, że
2106:  KMM - No Polska akurat nie ma tego problemu lub zalety, w zależności od tego jak to interpretujemy, że jest multietniczna.
2113:  KMM - A teraz wyobraź sobie, że masz więcej klas, w których na przykład powiedzmy jest Ukrainiec, Czech, Słowak, Węgier i Polak.
2121:  KMM - I teraz oni wszyscy mają rozumiem czytać Pana Tadeusza.
2123:  KMM - Zresztą myśmy mieli te sytuacje z migracją z Ukrainy, gdzie ludziom kazali czytaj Pana Tadeusza.
2127:  KMM - To jest kompletnie nie ma żadnego sensu.
2130:  KMM - A czytasz sobie Tolkiena i...
2132:  KMM - Dla wszystkich to jest to samo pole odniesienia, nie?
2134:  PO - Bo pierwszych ktoś w ogóle widzą, czy to pan Zadeusza, więc... Nie no, czytają opracowania, daj spokój.
2142:  KMM - Ja się absolutnie nie dziwię zresztą, bo... Wiesz no, dla mnie, po filologii polskiej, to buduje dużą barierę językową.
2152:  KMM - Więc ja nie wiem, znaczy trzeba niesamowitej bezbrzeżnej naiwności, żeby uważać, że ludzie, którzy nie są trenowanymi historykami literatury są w stanie to czytać bez poczucia bariery językowej i kulturowej jeszcze, bo nad barierą językową, gdzie jest to napisane jednak mową wiązaną, ciężej się to czyta, no to jeszcze masz barierę kulturową, no bo...
2171:  KMM - Tego świata już nie ma, on jest historyczny, jest może przez to ciekawy, ale jeżeli masz oprócz tego barierę językową, to strasznie ciężko jest dać się wessać, czyli no właśnie doznać tego zanurzenia, które mamy tak często jak czytamy, czy analizujemy, czy sobie gadamy o kulturze współczesnej.
2188:  PO - A właśnie jeszcze, Krzysztof, bo wiem, że ty jakby wykładasz film Groznawstwo, ale czy tylko Groznawstwo?
2197:  KMM - Krzysztof, nie.
2199:  KMM - Ja generalnie... W ogóle Groznawstwo to jest zabawna rzecz, ponieważ my cały czas walczymy jako ludzie analizujący gry, bo też trzeba podkreślić, że Groznawstwo nie polega na tym, że ty, nie wiem, wiesz w jaki sposób gra jest zakodowana, to jest troszeczkę co innego.
2214:  KMM - Raczej tutaj chodzi o taką przekrojową wiedzę na temat tego,
2218:  KMM - Jakie są typy gier, jakie są gatunki, w jaki sposób projektuje się tam narracja.
2222:  KMM - Więc to jest gałąź, która może być traktowana jako część humanistyki.
2226:  KMM - Ale wiesz, jest też część ludzi, którzy zajmują się projektowaniem gier właśnie od strony technicznej.
2230:  KMM - Też są groznawcy.
2232:  KMM - Ja należę do tej pierwszej grupy, więc mam wygodniej.
2235:  KMM - Ale równocześnie, jeżeli miałbym jakoś się klasyfikować, to strasznie tego nie lubię, ale zwykle właśnie mówię, że to jest coś na pograniczu groznawstwa, badań nad fantastyką, światotwórstwem.
2246:  KMM - Zresztą ja tym światotwórstwem się zająłem jako pierwszy w Polsce w sumie na taką skalę i to jest mi najbliższe w sumie.
2253:  KMM - I wszystkie moje przedmioty czy kursy, które prowadzę na AG, ale także na Uniwersytecie Śląskim, od tego roku mam jeden kurs.
2259:  KMM - Czasem mam Vartes Liberales na Uniwersytecie Warszawskim.
2261:  KMM - To one się właśnie jakoś wiążą z tym światotwórstwem, więc w dużym skrócie sztuku tworzenia fikcyjnych światów.
2266:  KMM - I wiesz, w różnych mediach, właśnie dlatego mnie ta perspektywa...
2271:  KMM - nie tylko literaturoznawcza czy groznawcza interesuje, że dla mnie ciekawe są światy projektowane w serialu, w mandze, w anime, w grze, w literaturze, ale najbardziej się faktycznie znam na tym, w jaki sposób projektowane te światy są w literaturze i w grach.
2285:  KMM - To tak jak zawsze, długa odpowiedź na pozornie krótkie i konkretne pytanie.
2290:  KMM - Ja wiem.
2291:  PO - Rozumiem.
2294:  PO - Chciałem się jeszcze zapytać odnośnie tego twojego zainteresowania fantastyką.
2300:  PO - Wiem, że fantastyka, pewnie science fiction też wchodzi w twój krąg lubionych dziedzin literatury, czy nie?
2312:  KMM - Wiesz co, tak, od dłuższego czasu tak, to też zwiąże się z tym, że jak ja po dekadzie, to naprawdę było 10 lat, na Uniwersytecie Jagiellońskim, zostałem tak przymordowany klasyką literatury, którą poznałem w całości praktycznie w odniesieniu do literatury i polskiej i zachodniej, głównie zachodnioeuropejskiej, taka prawda, bo tam z czytaniem klasyki wschodniej, ohoho, tu jest już ciężej.
2338:  KMM - Nawet nie wiem, czy Haruki Burakami był w ogóle z literatury daleko w stronie, jeżeli można go tak klasyfikować.
2344:  KMM - W każdym razie byłem już tak tym znudzony, że byłem kompletnie wypalony i coś tak po roku, po dwóch kompletnego odpoczynku od literatury, po ukończeniu studiów doktoranckich,
2355:  KMM - stwierdziłem, że mam jakąś pustkę w sobie i muszę ją czymś wypełnić.
2361:  KMM - Ja ją wcześniej wypełniałem i serialami, i grami, ale ja zawsze potrzebuję różnorodności w życiu, więc wróciłem wtedy do literatury i teraz czytam głównie fantastykę.
2370:  KMM - Ale wiesz, mając w świadomości to, że poznałem wszystkie możliwe alternatywy i żadna mnie tak nigdy nie zassała, a dla mnie to jest mega ważne, żeby jakieś dzieło sztuki dało mi
2380:  KMM - oddech od rzeczywistości i porwało mnie do innego świata, bo rzeczywistość, która mnie otacza, jest wystarczająco wypełniona różnymi irytującymi mnie problemami, żebym, wiesz, myślał sobie, a, to dla odpoczynku poczytam sobie jeszcze o losie ludzi bezdomnych w Botswanie.
2395:  KMM - Tak, albo Pana Zadeusza.
2396:  KMM - Albo Pana Tadeusza.
2398:  KMM - No nie, tak?
2400:  KMM - Mnie tego szuka.
2401:  KMM - Więc dlatego fantasy i science fiction do mnie wróciło, chociaż powiem ci, że zawsze fantasy była bliżej w serduszku.
2406:  KMM - Być może z uwagi też na moje zainteresowanie historią, które zawsze było wyższe niż zainteresowanie naukami technicznymi i ścisłymi, co jest bardzo logiczne, biorąc pod uwagę to, że wylądowałem na AGH.
2416:  KMM - To jest bardzo zabawne.
2417:  KMM - Ale z drugiej strony też jest ciekawe, że w środowisku technicznym zawsze fantasy i science fiction była w tak zwanych moich czasów znowu bardziej popularna niż gdziekolwiek indziej, bo na kierunkach humanistycznych czytano inne rzeczy.
2433:  PO - A teoretycznie, czy masz jakieś ulubione serie?
2438:  PO - Czy to z fantasy, czy science fiction?
2441:  KMM - Wiem, że nie lubisz lis, ale czy na przykład... Tak, ulubione ci jestem w stanie wymienić.
2446:  KMM - Znowu będą w różnych kategoriach.
2448:  KMM - Ulubione w kategorii wracałem najczęściej podter, bo to była taka literatura bardzo...
2457:  KMM - pokoleniowa, w tym sensie, że wszyscy z mojego pokolenia po prostu czytali to wtedy, kiedy to wychodziło, więc trochę się z tym dorastało, więc to jest kategoria nostalgia.
2466:  KMM - Bardzo mocno.
2467:  KMM - I druga rzecz, która jest dla mnie nieśmiertelna absolutnie, to jest Sin Marillion Tolkiena, do którego wracam trochę tak, niektórzy wracają sobie do mitologii, jak ja lubię sobie podczytywać, to jest moja mitologia, do której ja wracałem i nigdy tego nie czytałem, tak, wiesz, od początku do końca, tylko zawsze sobie wybierałem coś, najczęściej Upadek Gondolinu.
2484:  KMM - Z fantazy współczesnej Brandon Sanderson, cokolwiek wymienisz, to ja absolutnie się na to rzucam, najbardziej Archiwum Burzowego Światła, ale Brandon Sanderson już pisze w takim nowym trybie, bo to nie jest tryb sag i serii, tylko to jest tryb światotwórczy mocno, czyli masz świat Kosmir i on będzie ten świat Kosmir uzupełniał kontentem fabularnym, trochę tak jak się uzupełnia Genshin'a kontentem fabularnym w kolejnych patchach.
2509:  KMM - No i to jest nowy sposób opowiadania historii, dla mnie mega atrakcyjny.
2512:  KMM - A z klasyki fantasy, chyba Todd Williams, Marchia Cienia, to jest z kolei w kategorii najbardziej mnie zassało, bo Todd Williams i Marchia Cienia, to jest moja sztandarowa anegdota, to jest książka, która mnie wessa dłużej niż jakakolwiek gra wideo, a ja mam rekordowe godziny posiadu przy grach wideo.
2531:  KMM - Mój rekord w growy, jeżeli chodzi o nieprzerwane granie, to jest około 12 czy 13 godzin.
2536:  KMM - Natomiast jeżeli chodzi o Marchię Cienia, to tam dobiłem do 19 godzin ciurkiem.
2542:  KMM - Potem sobie zjadłem szybkie jedzenie i czytałem dalej.
2545:  KMM - I to dalej to było następne kilka, kilkanaście godzin.
2548:  KMM - Było nieprawdopodobne, absolutnie nie byłem w stanie tego wyjaśnić.
2551:  KMM - Więc potem byłem bardzo głodny po tej nasiadówie i bardzo zmęczony, ale niesamowicie usatysfakcjonowany.
2557:  KMM - Nie wiem, dlaczego akurat to jest ta powieść.
2558:  KMM - Wiele razy już do tego wracałem myślami, zastanawiając się, co akurat na to wpłynęło i nie mam na to żadnej racjonalnej odpowiedzi, więc to jest moja kategoria głębokiego zanurzenia.
2568:  KMM - A jeżeli miałbym powiedzieć o czymś, co byłoby taką guilty pleasure też w kategorii, no to będzie to Trudy Canavan i jej trylogia Czarnego Maga, bo jest tam Czarny Mag, który jest fantastycznie przedstawiony i w zasadzie tutaj nie miałbym żadnych innych argumentów ponad to, że przyjemnie mi się to czytało także z tego i względu, że było to podejście do magii, którego nie spotkałem nigdzie indziej, więc też w zależności od tego, czego poszukujemy, to też inna saga czy seria fantasy mi się przypomina.
2592:  KMM - Jeszcze mam taką jedną, którą czytałem chyba jako, o jeszcze
2596:  KMM - Dzieciak u babci była saga o czarnoksiężniku Margit Sandemu.
2599:  KMM - Absolutnie niewartościowa literatura, ale właśnie nie o to chodzi.
2604:  KMM - Bardzo interesująco przedstawiona historia maga, który praktycznie śledzimy jego losy od samego początku do samego końca i coś miała w sobie takiego, że ze mną długo została w pamięci, mimo że z mojej pamięci dużo rzeczy szybko wypada.
2619:  PO - Jak byś mógł trochę opowiedzieć o tym marchicie, jak to się dobrze odmienia?
2626:  KMM - Ja ci nie powiem dużo na temat fabuły z bardzo prostego powodu, to znaczy ja je wyrzucam z pamięci.
2631:  KMM - To też było zawsze ciekawe dla mnie, że jak ja czytałem
2636:  KMM - To ja czytałem dla obrazów, więc rekonstrukcja wydarzeń na przykład albo opowiedzenia o czymś było dla mnie bardzo trudne.
2643:  KMM - Pamiętam tylko tyle, że w Marchi Cienia były dwa światy, dwie marchie właśnie.
2647:  KMM - Jedna była powiedzmy w jakimś domenie słońca, a druga w domenie cieni.
2653:  KMM - Rzecz toczyła się na przecięciu tych dwóch światów, czy tych dwóch krain.
2657:  KMM - Troszeczkę podobnie jak w Abhorsenie Gartaniksa.
2661:  KMM - Tyle jestem ci w stanie powiedzieć.
2663:  KMM - To też był mój problem zawsze, jak ktokolwiek z polonistów chciał sprawdzić, czy ja coś przeczytałem, bo zawsze wychodziło, że ja tego nie przeczytałem, a potem, wiesz, jak rozmawiasz z ludźmi, którzy też to przeczytali, mają takie, aaa, było tam coś takiego, nie?
2677:  KMM - I czasem się dogadasz z człowiekiem, który coś zna przez podrzucenie mu jednego obrazu.
2681:  KMM - Ja nigdy nie zapomnę, jak
2683:  KMM - zapomniałem, z tytułu jednej animki, którą stale zapominam, po prostu jest bardzo podobna do Code Geass, ale tak naprawdę to nie.
2691:  KMM - Zawsze sobie usiłuję przypomnieć tytuł i potem albo sobie przypominam, albo nie.
2695:  KMM - I rzuciłem raz na streamie po prostu jeden obraz, to znaczy ujęcie z lotu ptaka pokazujące kryształowe miasto i w ogóle był tam jakiś opresyjny aparat policyjny, ludzie momentalnie mi rzucili tytuł.
2707:  KMM - Ja wiedziałem, że oni to obejrzeli, właśnie dlatego, że przywołali sobie to jeden obraz z pamięci.
2714:  KMM - Nie trzeba wtedy sprawdzać, wiesz, tego, czy rzeczywiście ktoś coś pamięta.
2717:  KMM - No i dlatego cię muszę rozczarować, że rzeczywiście, jeżeli chodzi o rozmowy o historiach, no to ja jestem z tego kiepski.
2724:  PO - Ale ciekawa koncepcja.
2727:  KMM - Koncepcja, która mi się wiele razy sprawdzała, jak ja chciałem rzeczywiście zweryfikować, czy ktoś coś znał, a nie czytał.
2732:  KMM - Streszczenie z tego względu, że jak coś znasz, to zwykle przypominają ci się randomowe rzeczy kompletnie.
2738:  KMM - I rzucasz je i nagle nie wiesz, dlaczego.
2742:  PO - Tak samo jak na testach.
2747:  PO - Zadają ci jedno pytanie, a masz tak naprawdę odpowiedź na pięć pytań z tego zakresu, ale musisz odpowiedzieć na to konkretno.
2755:  KMM - Ja zawsze polecam ludziom, którzy myślą, że testy są dobre, następujące ćwiczenie, to znaczy zastanów się nad czymś, co dobrze znasz, tylko wiesz, żebyśmy utrudnili to trochę, że niech nie będzie to działanie matematyczne, bo wtedy najprościej jest rzeczywiście wybrać sobie dwa różne wyniki, chociaż wymyślić wynik fałszywy wcale nie jest tak prosto, tak nawiasem mówiąc, bo trzeba też wymyślić wynik, do którego ktoś mógłby dotrzeć, jeżeli popełni bardzo specyficzny błąd.
2782:  KMM - Więc ułożenie takiego pytania testowego odkrywa przed człowiekiem bardzo ciekawą rzecz.
2788:  KMM - To znaczy, że jak układasz to pytanie, jesteś totalnie nieobiektywny.
2792:  KMM - Patrzysz subiektywnie, zastanawiasz się nad tym, co ty byś zrobił w takich okolicznościach i wymyślasz rzeczy, które z twojej perspektywy są absurdalne, ale nie wpadasz na lepsze pomysły.
2802:  KMM - Dobre pytanie, jeżeli rzeczywiście byśmy chcieli
2805:  KMM - uprzeć się i zrobić dobre pytania testowe, to musiałoby sięść nad tym pytaniem kilkadziesiąt osób.
2811:  KMM - Musielibyśmy sprawdzić, wiesz, zrobić próbę badawczą i sprawdzić, ile by zrobiło jakich błędów, kto by wpadł na jakie rozwiązania i być może wtedy byśmy mieli dużo wariantów, a i tak Ci gwarantuję, że znalazłaby się osoba N plus jeden, która miałaby swój własny.
2824:  KMM - Więc zrobienie sobie takiego przygotowawczego ćwiczenia w postaci ułożę sobie sam pytania testowe dla siebie może być fajnym ćwiczeniem, jeżeli chcemy zobaczyć, jak to działa od wewnątrz.
2835:  KMM - Nieraz zmuszono do ułożenia testu.
2838:  KMM - To był mój pierwszy egzamin, który musiałem przeprowadzić i to było wtedy, kiedy ja byłem jeszcze kontrolowany przez moich supervisorów na uczelni i przygotowałem ten test, po czym go oblałem.
2850:  KMM - jako prowadzący kurs, bo stwierdziłem, że nie będę stawał studentem czegoś, czego ja sam nie znam.
2855:  KMM - W związku z powyższym rozwiązałem ten test i okazało się, że rozwiązałem go błędnie.
2860:  KMM - Jestem ewidentnie uodporniony na testy organicznie i nie jestem w stanie ani ich rozwiązywać, ani ich tworzyć.
2866:  KMM - Nawet jak usiłowałem się przygotować do prawa jazdy, którego finalnie nigdy nie zrobiłem i w sumie nie żałuję, ponieważ moja uwaga na
2873:  KMM - na ulicy jest kwestionowana, nazwijmy to bardzo delikatnie.
2877:  KMM - To znaczy, jak zdawałem egzamin parę razy, to z egzaminatorem miałem rozmowy w rodzaju, tu był jakiś tir?
