Skąd nasz BRAK MOTYWACJI do pracy?
🔗 https://www.youtube.com/watch?v=6re7bgJmQgA

0:  Co robić, gdy nic nie chce się robić?
1578:  Tak, oczywiście, że jest nadużyciem, tak samo jak nadużyciem jest mówienie o uzależnieniu od gier wideo bez uwzględnienia konkretnych mechanik, które uzależniają, tak samo nadużyciem jest powiedzenie, że wszystkie oceny uzależniają.
1589:  Ale mechaniki są podobne, bo zauważcie, że mechanika uzależnienia i w jednym i drugim przypadku polega właśnie na tym, że w którymś momencie jesteście w pętli.
1596:  I mechanika w grze wideo, która sprawia, że macie pętlę,
1600:  nie jest dobra, ponieważ ta pętla sprawia, że nie mamy nigdy takiej satysfakcji wynikającej z ukończenia jakiegoś działania i wiemy, że jest następne i następne i następne i zawsze jest następne.
1610:  I wtedy zaczyna się ten, da się syndrom nowej tury na przykład, albo to słynne w slot machine'ach przekonanie, że no, może tym razem się uda wygrać.
1619:  To jest hazard.
1620:  Wy nie wiecie, czy jeżeli wykonacie jakieś działanie, to dostaniecie za to najlepsze noty.
1626:  Tego nie wiecie.
1627:  Dlaczego tego nie wiecie?
1628:  Ponieważ nie umiecie się sami ocenić.
1630:  Dlatego to jest ryzyko, to jest hazard.
1633:  I to jest niebezpieczne.
1634:  Jeżeli ktoś nie ma uodpornionej psychiki na tego rodzaju mechanizmy, może wpaść w tego rodzaju pętlę.
1642:  Jeżeli mówimy natomiast o osiągnięciach, to badanie, które Wam tutaj przedstawiam, sprawiło, czy doprowadziło do tego, że nie rozpoznano jakiegokolwiek wpływu stopni, wobec feedbacku oczywiście, na uzyskanie wewnętrznej motywacji.
1657:  Czyli nie ma wpływu, nie ma korelacji między uzyskiwaniem stopni, czy takich wartościujących uwaga wewnętrzną motywację.
1664:  I to, co zauważcie, mowa o studentach, którzy sobie świetnie radzą.
1669:  To jest interesujące.
1671:  Natomiast studenci, którzy sobie nie radzili dobrze, nagle zaczęli czuć jeszcze mniej motywacji wewnętrznej.
1679:  Więc macie dwa warianty.
1681:  Motywacja zewnętrzna w postaci stopni nie koreluje z wysokimi osiągnięciami, a w przypadku motywacji zewnętrznej o charakterze negatywnym wpływa źle.
1694:  Czy trzeba być geniuszem, żeby stwierdzić, że być może to nie jest najlepsze rozwiązanie, jeżeli najlepszym nie pomaga, a najgorszym też nie pomaga, jeszcze bardziej nie pomaga?
1702:  Rozumiecie już moje zdenerwowanie odnośnie do oceniania?
1706:  Co więcej, upowszechnienie tych systemów oceniania stopniami cyfrowymi i komentarzami, które są bezwartościowe, może być szkodliwe dla ludzi, którzy potrzebują najbardziej pomocy.
1718:  Czyli wiecie, tych, którzy powinni być priorytetyzowani i w edukacji, i w zarządzaniu zespołem, no bo może się okazać, że właśnie w tym momencie tracisz pracownika, który mógłby się czegoś nauczyć i który mógłby następnie zyskać laury albo wpłynąć na to, że firma będzie bardziej prosperować.
1736:  Tymczasem wszystkie komentarze, które były skoncentrowane na ewaluacji, ocenieniu zatem kompetentnym określonego działania, wywoływały pozytywny i znaczący wzrost motywacji wewnętrznej, jak również w ogóle całej naszej sprawczości i działania.
1753:  Z kolei te uwagi o charakterze emocjonalnym.
1757:  no w mniejszym stopniu się do tego przyczyniały, tak?
1760:  Nie jesteśmy w stanie tego zdeterminować na podstawie tego badania, podczas bowiem, gdy studenci, którzy je otrzymywali, byli faktycznie bardziej zmotywowani, aniżeli ci, którzy otrzymywali wyłącznie jakieś suche stopnie, no ta próbka nie była nawet w połowie tak mocna, jak w przypadku tych, którzy dostawali komentarze.
1778:  Co więcej, te znowu afektywne uwagi nie sprawiały, że
1783:  miały oni jakikolwiek odnotowany wzrost w ich performansie, czyli osiągnięciach akademickich.
1790:  No znowu mógłbym powiedzieć, dowód się sam dowodzi w takiej sytuacji i myślę sobie, że ten artykuł, oczywiście to jest tekst
1799:  jest tylko jednym tekstem, ale jako się rzekło, jest to mimo wszystko metaanaliza, więc zbiór bardzo wielu różnych tekstów na ten temat, z dość bogatymi badaniami, jak widzicie, równocześnie także z bogatą bibliografią, która jest na końcu przytoczona razem z tymi wszystkimi aneksami, więc nie mam wątpliwości co do tego, że jest to studium znacznie bardziej naukowe niż
1819:  Moja uwaga, nawet płynąca z doświadczenia, trust me bro albo sis, tak jest, z doświadczenia to wiem, uczę już w tym momencie kilkanaście lat, wiem co działa, co nie działa.
1830:  Nie musicie mi wierzyć na słowo.
1831:  Tutaj macie badanie, które jest metaanalizą, które pokazuje dokładnie to, co mówią pedagodzy.
1837:  swoją drogą również, że należy ludziom konkretnie udzielać wskazówek, informacji zwrotnej, ponieważ buduje to motywację wewnętrzną.
1844:  I teraz ja mam w sobie motywację do działania, mimo że pracuję głównie w domu, gdzie wszyscy mają dystraktory, gdzie wszyscy jesteśmy również podatni na prokrastynację, a ja jednak jestem w stanie zmotywować się, siąść do pracy i zacząć pracować.
1857:  Dlaczego?
1859:  Dlatego, że w toku swojego życia otrzymałem wystarczająco dużo uwag treściwych i kompetentnych, że wiem, jakie są moje słabe i mocne strony.
1867:  Wiem, co mam zrobić konkretnie, żeby osiągnąć cokolwiek.
1872:  I wiecie, to może oczywiście być łatwo postrzegane za bucerię.
1875:  To znaczy, jak ktoś mi mówi, że coś dobrze zrobiłem, ja mam ochotę powiedzieć, wiem.
1879:  Ale to nie jest dlatego, że jestem bucem, to jest dlatego, że ja faktycznie to wiem, ponieważ w toku doświadczeń poznałem swoje słabe i mocne strony.
1886:  Więc jeżeli ktoś chce rzeczywiście mnie pochwalić, to ja czekam, aż powie mi coś konkretnego, co konkretnie zrobiłem.
1892:  I wyróbcie sobie, jeżeli mogę o coś was jednego poprosić w tym vlogu, wyróbcie w sobie takie oczekiwanie.
1898:  Jeżeli ktoś wam mówi cokolwiek na temat tego, co zrobiliście, nie oczekujcie przymiotników, nie oczekujcie ocenek i procencików.
1906:  Spytajcie konkretnie, co sprawiło, że moja gra Ci się spodobała.
1912:  Co powoduje, że mój obraz Ci się nie podoba?
1915:  Co mógłbym zrobić lepiej, żeby ten koncert, który zagrałem, brzmiał tak samo dobrze, jak inne, które kiedyś usłyszałeś?
1922:  Co mam zrobić, żeby w lepszym sposób wspierać zespół?
1926:  Konkretne pytania.
1927:  które będą generować oby konkretne odpowiedzi, a jeżeli nie będą ich generować, to jest dla was wtedy najlepszy wniosek, okej, nie mam się powodu najmniejszego przejmować opinią tych ludzi, ponieważ to nie jest opinia kompetentna.
1940:  I w ten sposób zyskujecie dwie rzeczy naraz.
1942:  Po pierwsze, powolny, bo to jest powolny proces, wzrost motywacji wewnętrznej.
1947:  Mnie on zajął 20 lat.
1950:  To nie jest mało.
1952:  I dalej nie powiedziałbym, że jestem w 100% zmotywowany.
1956:  Są takie obszary, kiedy nie jestem pewny siebie.
1958:  Są takie obszary, kiedy wciąż myślę sobie, że ja w zasadzie nie wiem, czy osiągnę to, co chcę, czy nie osiągnę.
1965:  Ale równocześnie immunizujecie się również na krytykę.
1969:  Czyli druga rzecz, która nas kompletnie niszczy w czasach mediów społecznościowych, gdzie wszyscy jesteśmy wystawieni na to, jak nas ludzie oceniają, jak nas widzą i jak nas postrzegają.
1977:  Więc...
1978:  Spróbujcie znaleźć w tym siłę i moc, która rzeczywiście będzie definiowała motywację.
1982:  Nie będzie wzięta z zewnątrz, bo jakiś guru wam powiedział, że macie uwierzyć w siebie, tylko będzie wzięta ze środka, z tego, do czego nikt nie ma dostępu, tylko wy sami.
1991:  I tego wam najserdeczniej życzę.
1994:  Do następnego.
